1H4,"Henry IV, Part I"
1H6,"Henry VI, Part I"
2H4,"Henry IV, Part II"
2H6,"Henry VI, Part II"
3H6,"Henry VI, Part III"
Ado,Much Ado about Nothing
Ant,Antony and Cleopatra
AWW,All's Well That Ends Well
AYL,As You Like It
Cor,Coriolanus
Cym,Cymbeline
Err,Comedy of Errors
H5,Henry V
H8,Henry VIII
Ham,Hamlet
JC,Julius Caesar
Jn,King John
LLL,Love's Labour's Lost
Lr,King Lear
Mac,Macbeth
MM,Measure for Measure
MND,Midsummer Night's Dream
MV,Merchant of Venice
Oth,Othello
Per,Pericles
R2,Richard II
R3,Richard III
Rom,Romeo and Juliet
Shr,Taming of the Shrew
TGV,Two Gentlemen of Verona
Tim,Timon of Athens
Tit,Titus Andronicus
Tmp,Tempest
TN,Twelfth Night
TNK,Two Noble Kinsmen
Tro,Troilus and Cressida
Wiv,Merry Wives of Windsor
WT,Winter's Tale
