speaker,listener,total_words
Archbishop_1H4,SirMichael_1H4,316
Bardolph_1H4,DRAWERS.Francis_1H4,126
Bardolph_1H4,Falstaff_1H4,179
Bardolph_1H4,Gadshill_1H4,150
Bardolph_1H4,HenryV_H5,180
Bardolph_1H4,MistressQuickly_1H4,117
Bardolph_1H4,Peto_1H4,180
Bardolph_1H4,Poins_1H4,150
Bedford_H5,Falstaff_1H4,31
Bedford_H5,HenryIV_1H4,53
Bedford_H5,HenryV_H5,84
Bedford_H5,Hotspur_R2,31
Bedford_H5,SOLDIERS.HENRY_1H4,17
Bedford_H5,Westmoreland_1H4,53
Blunt_1H4,ATTENDANTS_1H4,62
Blunt_1H4,Douglas_1H4,236
Blunt_1H4,HenryIV_1H4,122
Blunt_1H4,HenryV_H5,60
Blunt_1H4,Hotspur_R2,235
Blunt_1H4,Northumberland_R2,62
Blunt_1H4,Vernon_1H4,173
Blunt_1H4,Worcester_1H4,173
Chamberlain_1H4,Gadshill_1H4,180
DRAWERS.Francis_1H4,HenryV_H5,138
DRAWERS.Francis_1H4,Poins_1H4,7
Douglas_1H4,Blunt_1H4,147
Douglas_1H4,HenryIV_1H4,77
Douglas_1H4,Hotspur_R2,287
Douglas_1H4,MESSENGERS.X_1H4,92
Douglas_1H4,SOLDIERS.HOTSPUR_1H4,62
Douglas_1H4,Vernon_1H4,125
Douglas_1H4,Worcester_1H4,206
Falstaff_1H4,Bardolph_1H4,4229
Falstaff_1H4,Bedford_H5,196
Falstaff_1H4,Blunt_1H4,288
Falstaff_1H4,DRAWERS.Francis_1H4,2432
Falstaff_1H4,Falstaff_1H4,904
Falstaff_1H4,Gadshill_1H4,2777
Falstaff_1H4,HenryIV_1H4,12
Falstaff_1H4,HenryV_H5,4689
Falstaff_1H4,Hotspur_R2,476
Falstaff_1H4,MistressQuickly_1H4,1986
Falstaff_1H4,Peto_1H4,3409
Falstaff_1H4,Poins_1H4,2944
Falstaff_1H4,TRAVELERS.CARRIERS_1H4,85
Falstaff_1H4,TRAVELERS.GENTLEMEN_1H4,85
Falstaff_1H4,Vernon_1H4,12
Falstaff_1H4,Westmoreland_1H4,145
Falstaff_1H4,Worcester_1H4,12
