speaker,listener,total_words
Alanson_1H6,ATTENDANTS.ENGLISH_1H6,5
Alanson_1H6,ATTENDANTS.FRENCH_1H6,91
Alanson_1H6,Bastard_1H6,255
Alanson_1H6,Bedford_H5,5
Alanson_1H6,Burgundy_1H6,42
Alanson_1H6,CardinalBeaufort_1H6,91
Alanson_1H6,Charles_1H6,399
Alanson_1H6,Pucelle_1H6,178
Alanson_1H6,Reignier_1H6,379
Alanson_1H6,SOLDIERS.ENGLISH.0_1H6,91
Alanson_1H6,SOLDIERS.FRENCH_1H6,145
Alanson_1H6,Talbot_1H6,5
Alanson_1H6,Warwick_2H4,91
Alanson_1H6,York_1H6,91
Basset_1H6,CardinalBeaufort_1H6,133
Basset_1H6,Exeter_H5,133
Basset_1H6,Gloucester_2H4,133
Basset_1H6,Governor_1H6,133
Basset_1H6,HenryVI_1H6,133
Basset_1H6,Somerset_1H6,133
Basset_1H6,Suffolk_1H6,133
Basset_1H6,Vernon_1H6,235
Basset_1H6,Warwick_2H4,133
Basset_1H6,York_1H6,133
Bastard_1H6,Alanson_1H6,280
Bastard_1H6,Burgundy_1H6,50
Bastard_1H6,Charles_1H6,257
Bastard_1H6,JohnTalbot_1H6,40
Bastard_1H6,Pucelle_1H6,108
Bastard_1H6,Reignier_1H6,208
Bastard_1H6,SERVANTS.TALBOT.1_1H6,40
Bastard_1H6,SOLDIERS.FRENCH_1H6,119
Bastard_1H6,Talbot_1H6,40
Bedford_H5,ATTENDANTS.ENGLISH_1H6,576
Bedford_H5,Alanson_1H6,14
Bedford_H5,Bastard_1H6,14
Bedford_H5,Burgundy_1H6,241
Bedford_H5,CardinalBeaufort_1H6,438
Bedford_H5,Charles_1H6,14
Bedford_H5,Exeter_H5,438
Bedford_H5,Gloucester_2H4,438
Bedford_H5,HERALDS.ENGLISH_1H6,438
Bedford_H5,MESSENGERS.ENGLISH.1_1H6,33
Bedford_H5,MESSENGERS.ENGLISH.3_1H6,124
Bedford_H5,MESSENGERS.FRENCH.1_1H6,27
Bedford_H5,Pucelle_1H6,14
Bedford_H5,Reignier_1H6,14
Bedford_H5,SOLDIERS.ENGLISH_1H6,94
Bedford_H5,Somerset_1H6,438
Bedford_H5,Talbot_1H6,241
Bedford_H5,WATCHMEN.1_1H6,57
Bedford_H5,WATCHMEN.2_1H6,57
Bedford_H5,Warwick_2H4,438
Boy_1H6,Boy_1H6,22
Boy_1H6,MasterGunner_1H6,22
Burgundy_1H6,ATTENDANTS.ENGLISH_1H6,51
Burgundy_1H6,Alanson_1H6,212
Burgundy_1H6,Bastard_1H6,212
Burgundy_1H6,Bedford_H5,213
Burgundy_1H6,Charles_1H6,212
Burgundy_1H6,JohnTalbot_1H6,27
Burgundy_1H6,MESSENGERS.FRENCH.1_1H6,42
Burgundy_1H6,Pucelle_1H6,212
Burgundy_1H6,Reignier_1H6,55
Burgundy_1H6,SERVANTS.TALBOT.1_1H6,27
Burgundy_1H6,SOLDIERS.ENGLISH_1H6,145
Burgundy_1H6,SOLDIERS.FRENCH.Scout_1H6,24
Burgundy_1H6,SOLDIERS.FRENCH_1H6,181
Burgundy_1H6,Talbot_1H6,271
Burgundy_1H6,WATCHMEN.1_1H6,48
Burgundy_1H6,WATCHMEN.2_1H6,48
CardinalBeaufort_1H6,ATTENDANTS.ENGLISH_1H6,143
CardinalBeaufort_1H6,ATTENDANTS.FRENCH_1H6,89
CardinalBeaufort_1H6,Alanson_1H6,89
CardinalBeaufort_1H6,Bastard_1H6,89
CardinalBeaufort_1H6,Bedford_H5,95
CardinalBeaufort_1H6,CardinalBeaufort_1H6,59
CardinalBeaufort_1H6,Charles_1H6,89
CardinalBeaufort_1H6,Exeter_H5,410
CardinalBeaufort_1H6,Gloucester_2H4,592
CardinalBeaufort_1H6,Governor_1H6,16
CardinalBeaufort_1H6,HERALDS.ENGLISH_1H6,143
CardinalBeaufort_1H6,HenryVI_1H6,315
CardinalBeaufort_1H6,Legate_1H6,32
CardinalBeaufort_1H6,MESSENGERS.ENGLISH.3_1H6,11
CardinalBeaufort_1H6,Mayor_1H6,145
CardinalBeaufort_1H6,OFFICERS_1H6,96
CardinalBeaufort_1H6,Reignier_1H6,89
CardinalBeaufort_1H6,SERVANTS.GLOUCESTER_1H6,231
CardinalBeaufort_1H6,SERVANTS.WINCHESTER_1H6,231
CardinalBeaufort_1H6,SOLDIERS.ENGLISH.0_1H6,159
CardinalBeaufort_1H6,Somerset_1H6,458
CardinalBeaufort_1H6,Suffolk_1H6,315
CardinalBeaufort_1H6,Talbot_1H6,16
CardinalBeaufort_1H6,Warwick_2H4,617
CardinalBeaufort_1H6,York_1H6,474
Charles_1H6,ATTENDANTS.ENGLISH_1H6,93
Charles_1H6,ATTENDANTS.FRENCH_1H6,129
Charles_1H6,Alanson_1H6,1134
Charles_1H6,Bastard_1H6,666
Charles_1H6,Bedford_H5,12
Charles_1H6,Burgundy_1H6,258
Charles_1H6,CardinalBeaufort_1H6,129
Charles_1H6,HERALDS.FRENCH.1_1H6,81
Charles_1H6,JohnTalbot_1H6,125
Charles_1H6,Lucy_1H6,81
Charles_1H6,Pucelle_1H6,688
Charles_1H6,Reignier_1H6,886
Charles_1H6,SERVANTS.TALBOT.1_1H6,125
Charles_1H6,SOLDIERS.ENGLISH.0_1H6,129
Charles_1H6,SOLDIERS.FRENCH.Scout_1H6,42
Charles_1H6,SOLDIERS.FRENCH_1H6,662
Charles_1H6,Talbot_1H6,137
Charles_1H6,Warwick_2H4,129
Charles_1H6,York_1H6,129
Countess_1H6,Countess_1H6,63
Countess_1H6,MESSENGERS.FRENCH.1_1H6,342
Countess_1H6,Porter_1H6,249
Countess_1H6,SOLDIERS.ENGLISH_1H6,73
Countess_1H6,Talbot_1H6,342
Exeter_H5,AMBASSADORS.ARMAGNAC.1_1H6,50
Exeter_H5,AMBASSADORS.EMPEROR.1_1H6,50
Exeter_H5,ATTENDANTS.ENGLISH_1H6,264
Exeter_H5,Basset_1H6,13
Exeter_H5,Bedford_H5,168
Exeter_H5,CardinalBeaufort_1H6,258
Exeter_H5,Exeter_H5,245
Exeter_H5,Gloucester_2H4,250
Exeter_H5,Governor_1H6,13
Exeter_H5,HERALDS.ENGLISH_1H6,195
Exeter_H5,HenryVI_1H6,82
Exeter_H5,Legate_1H6,50
Exeter_H5,MESSENGERS.ENGLISH.1_1H6,11
Exeter_H5,SOLDIERS.ENGLISH.0_1H6,19
Exeter_H5,Somerset_1H6,208
Exeter_H5,Suffolk_1H6,32
Exeter_H5,Vernon_1H6,13
Exeter_H5,Warwick_2H4,208
Exeter_H5,York_1H6,13
Fastolf_1H6,ATTENDANTS.ENGLISH_1H6,34
Fastolf_1H6,Bedford_H5,34
Fastolf_1H6,CardinalBeaufort_1H6,34
Fastolf_1H6,Exeter_H5,34
Fastolf_1H6,Gloucester_2H4,34
Fastolf_1H6,Governor_1H6,34
Fastolf_1H6,HenryVI_1H6,34
Fastolf_1H6,SOLDIERS.ENGLISH.Captain_1H6,34
Fastolf_1H6,Somerset_1H6,34
Fastolf_1H6,Suffolk_1H6,34
Fastolf_1H6,Talbot_1H6,34
Fastolf_1H6,Warwick_2H4,34
Fastolf_1H6,York_1H6,34
Gargrave_1H6,ATTENDANTS.ENGLISH_1H6,25
Gargrave_1H6,Glansdale_1H6,25
Gargrave_1H6,Salisbury_1H6,25
Gargrave_1H6,Talbot_1H6,25
General_1H6,SOLDIERS.ENGLISH_1H6,240
General_1H6,SOLDIERS.FRENCH_1H6,240
General_1H6,Talbot_1H6,240
Glansdale_1H6,ATTENDANTS.ENGLISH_1H6,13
Glansdale_1H6,Gargrave_1H6,13
Glansdale_1H6,Salisbury_1H6,13
Glansdale_1H6,Talbot_1H6,13
Gloucester_2H4,AMBASSADORS.ARMAGNAC.1_1H6,53
Gloucester_2H4,AMBASSADORS.EMPEROR.1_1H6,53
Gloucester_2H4,ATTENDANTS.ENGLISH_1H6,488
Gloucester_2H4,Basset_1H6,94
Gloucester_2H4,Bedford_H5,204
Gloucester_2H4,CardinalBeaufort_1H6,1374
Gloucester_2H4,Exeter_H5,1298
Gloucester_2H4,Fastolf_1H6,29
Gloucester_2H4,Governor_1H6,328
Gloucester_2H4,HERALDS.ENGLISH_1H6,231
Gloucester_2H4,HenryVI_1H6,1052
Gloucester_2H4,Legate_1H6,53
Gloucester_2H4,MESSENGERS.ENGLISH.1_1H6,29
Gloucester_2H4,Mayor_1H6,210
Gloucester_2H4,OFFICERS_1H6,77
Gloucester_2H4,SERVANTS.GLOUCESTER_1H6,578
Gloucester_2H4,SERVANTS.WINCHESTER_1H6,428
Gloucester_2H4,SOLDIERS.ENGLISH.0_1H6,105
Gloucester_2H4,SOLDIERS.ENGLISH_1H6,12
Gloucester_2H4,Somerset_1H6,1026
Gloucester_2H4,Suffolk_1H6,900
Gloucester_2H4,Talbot_1H6,258
Gloucester_2H4,Vernon_1H6,94
Gloucester_2H4,Warwick_2H4,1026
Gloucester_2H4,York_1H6,795
Gloucester_2H4 CardinalBeaufort_1H6 Exeter_H5 Suffolk_1H6 Warwick_2H4,CardinalBeaufort_1H6,12
Gloucester_2H4 CardinalBeaufort_1H6 Exeter_H5 Suffolk_1H6 Warwick_2H4,Exeter_H5,12
Gloucester_2H4 CardinalBeaufort_1H6 Exeter_H5 Suffolk_1H6 Warwick_2H4,Gloucester_2H4,12
Gloucester_2H4 CardinalBeaufort_1H6 Exeter_H5 Suffolk_1H6 Warwick_2H4,HenryVI_1H6,12
Gloucester_2H4 CardinalBeaufort_1H6 Exeter_H5 Suffolk_1H6 Warwick_2H4,Somerset_1H6,12
Gloucester_2H4 CardinalBeaufort_1H6 Exeter_H5 Suffolk_1H6 Warwick_2H4,Suffolk_1H6,12
Gloucester_2H4 CardinalBeaufort_1H6 Exeter_H5 Suffolk_1H6 Warwick_2H4,Warwick_2H4,12
Gloucester_2H4 CardinalBeaufort_1H6 Exeter_H5 Suffolk_1H6 Warwick_2H4,York_1H6,12
HenryVI_1H6,AMBASSADORS.ARMAGNAC.1_1H6,110
HenryVI_1H6,AMBASSADORS.EMPEROR.1_1H6,110
HenryVI_1H6,ATTENDANTS.ENGLISH_1H6,553
HenryVI_1H6,Basset_1H6,589
HenryVI_1H6,CardinalBeaufort_1H6,1254
HenryVI_1H6,Exeter_H5,1697
HenryVI_1H6,Fastolf_1H6,60
HenryVI_1H6,Gloucester_2H4,1697
HenryVI_1H6,Governor_1H6,609
HenryVI_1H6,Legate_1H6,110
HenryVI_1H6,Mayor_1H6,173
HenryVI_1H6,SERVANTS.GLOUCESTER_1H6,173
HenryVI_1H6,SERVANTS.WINCHESTER_1H6,173
HenryVI_1H6,SOLDIERS.ENGLISH.0_1H6,310
HenryVI_1H6,SOLDIERS.ENGLISH_1H6,125
HenryVI_1H6,Somerset_1H6,1144
HenryVI_1H6,Suffolk_1H6,1454
HenryVI_1H6,Talbot_1H6,270
HenryVI_1H6,Vernon_1H6,589
HenryVI_1H6,Warwick_2H4,1144
HenryVI_1H6,York_1H6,1144
JAILERS.0.1_1H6,JAILERS_1H6,40
JAILERS.0.1_1H6,Mortimer_1H4,40
JAILERS.0.1_1H6,York_1H6,11
JohnTalbot_1H6,Talbot_1H6,501
Lawyer_1H6,Somerset_1H6,33
Lawyer_1H6,Suffolk_1H6,33
Lawyer_1H6,Vernon_1H6,39
Lawyer_1H6,Warwick_2H4,39
Lawyer_1H6,York_1H6,39
Legate_1H6,CardinalBeaufort_1H6,9
Lucy_1H6,ATTENDANTS.ENGLISH_1H6,281
Lucy_1H6,Alanson_1H6,281
Lucy_1H6,Bastard_1H6,281
Lucy_1H6,Burgundy_1H6,281
Lucy_1H6,Charles_1H6,281
Lucy_1H6,HERALDS.FRENCH.1_1H6,281
Lucy_1H6,JohnTalbot_1H6,281
Lucy_1H6,Lucy_1H6,57
Lucy_1H6,Pucelle_1H6,281
Lucy_1H6,SERVANTS.TALBOT.1_1H6,281
Lucy_1H6,SOLDIERS.ENGLISH.SOMERSET_1H6,239
Lucy_1H6,SOLDIERS.ENGLISH.YORK_1H6,131
Lucy_1H6,SOLDIERS.FRENCH_1H6,281
