speaker,listener,total_words
ATTENDANTS.KING.0.1_AWW,ATTENDANTS.KING_AWW,49
ATTENDANTS.KING.0.1_AWW,Bertram_AWW,15
ATTENDANTS.KING.0.1_AWW,Countess_AWW,7
ATTENDANTS.KING.0.1_AWW,King_AWW,49
ATTENDANTS.KING.0.1_AWW,LORDS.DUMAINE.1_AWW,7
ATTENDANTS.KING.0.1_AWW,LORDS.DUMAINE.2_AWW,7
ATTENDANTS.KING.0.1_AWW,Lafew_AWW,22
ATTENDANTS.KING.0.1_AWW,Parolles_AWW,15
ATTENDANTS.KING.0.2_AWW,ATTENDANTS.KING_AWW,38
ATTENDANTS.KING.0.2_AWW,Bertram_AWW,18
ATTENDANTS.KING.0.2_AWW,King_AWW,38
ATTENDANTS.KING.0.2_AWW,Lafew_AWW,18
ATTENDANTS.KING.0.2_AWW,Parolles_AWW,18
Bertram_AWW,ATTENDANTS.KING.0.2_AWW,277
Bertram_AWW,ATTENDANTS.KING_AWW,871
Bertram_AWW,Countess_AWW,652
Bertram_AWW,Diana_AWW,582
Bertram_AWW,Duke_AWW,67
Bertram_AWW,Helen_AWW,507
Bertram_AWW,King_AWW,871
Bertram_AWW,LORDS.COURT.1_AWW,175
Bertram_AWW,LORDS.COURT.2_AWW,175
Bertram_AWW,LORDS.COURT.3_AWW,175
Bertram_AWW,LORDS.COURT.4_AWW,175
Bertram_AWW,LORDS.DUMAINE.1_AWW,1215
Bertram_AWW,LORDS.DUMAINE.2_AWW,1296
Bertram_AWW,Lafew_AWW,1008
Bertram_AWW,Parolles_AWW,1309
Bertram_AWW,SOLDIERS.Interpreter_AWW,312
Bertram_AWW,SOLDIERS_AWW,192
Bertram_AWW,Servant_AWW,125
Bertram_AWW,Widow_AWW,277
Countess_AWW,ATTENDANTS.KING.0.2_AWW,41
Countess_AWW,ATTENDANTS.KING_AWW,139
Countess_AWW,Bertram_AWW,502
Countess_AWW,Countess_AWW,123
Countess_AWW,Diana_AWW,41
Countess_AWW,Fool_AWW,620
Countess_AWW,GENTLEMEN.1_AWW,256
Countess_AWW,GENTLEMEN.2_AWW,256
Countess_AWW,Helen_AWW,1237
Countess_AWW,King_AWW,139
Countess_AWW,LORDS.DUMAINE.1_AWW,139
Countess_AWW,LORDS.DUMAINE.2_AWW,139
Countess_AWW,Lafew_AWW,718
Countess_AWW,Steward_AWW,671
Countess_AWW,Widow_AWW,41
Diana_AWW,ATTENDANTS.KING.0.2_AWW,570
Diana_AWW,ATTENDANTS.KING_AWW,570
Diana_AWW,Bertram_AWW,1140
Diana_AWW,CITIZENS_AWW,189
Diana_AWW,Countess_AWW,570
Diana_AWW,Helen_AWW,187
Diana_AWW,King_AWW,570
Diana_AWW,LORDS.DUMAINE.1_AWW,570
Diana_AWW,LORDS.DUMAINE.2_AWW,570
Diana_AWW,Lafew_AWW,570
Diana_AWW,Mariana_AWW,189
Diana_AWW,Parolles_AWW,348
Diana_AWW,SOLDIERS_AWW,80
Diana_AWW,Widow_AWW,778
Duke_AWW,Bertram_AWW,49
Duke_AWW,LORDS.DUMAINE.1_AWW,100
Duke_AWW,LORDS.DUMAINE.2_AWW,100
Duke_AWW,Parolles_AWW,49
Duke_AWW,SOLDIERS_AWW,149
Epilogue_AWW,ATTENDANTS.KING.0.2_AWW,64
Epilogue_AWW,ATTENDANTS.KING_AWW,64
Epilogue_AWW,Bertram_AWW,64
Epilogue_AWW,Countess_AWW,64
Epilogue_AWW,Diana_AWW,64
Epilogue_AWW,Helen_AWW,64
Epilogue_AWW,King_AWW,64
Epilogue_AWW,LORDS.DUMAINE.1_AWW,64
Epilogue_AWW,LORDS.DUMAINE.2_AWW,64
Epilogue_AWW,Lafew_AWW,64
Epilogue_AWW,Parolles_AWW,64
Epilogue_AWW,Widow_AWW,64
Fool_AWW,Countess_AWW,1643
Fool_AWW,Helen_AWW,246
Fool_AWW,Lafew_AWW,380
Fool_AWW,Parolles_AWW,332
Fool_AWW,Steward_AWW,624
GENTLEMEN.1_AWW,Countess_AWW,92
GENTLEMEN.1_AWW,GENTLEMEN.2_AWW,92
GENTLEMEN.1_AWW,Helen_AWW,92
GENTLEMEN.2_AWW,Countess_AWW,111
GENTLEMEN.2_AWW,GENTLEMEN.1_AWW,111
GENTLEMEN.2_AWW,Helen_AWW,111
GENTLEMEN.3_AWW,ATTENDANTS.KING_AWW,101
GENTLEMEN.3_AWW,ATTENDANTS_AWW,64
GENTLEMEN.3_AWW,Countess_AWW,101
GENTLEMEN.3_AWW,Diana_AWW,64
GENTLEMEN.3_AWW,Helen_AWW,64
GENTLEMEN.3_AWW,King_AWW,101
GENTLEMEN.3_AWW,LORDS.DUMAINE.1_AWW,101
GENTLEMEN.3_AWW,LORDS.DUMAINE.2_AWW,101
GENTLEMEN.3_AWW,Lafew_AWW,101
GENTLEMEN.3_AWW,Widow_AWW,64
Helen_AWW,ATTENDANTS.KING.0.2_AWW,129
Helen_AWW,ATTENDANTS.KING_AWW,1077
Helen_AWW,ATTENDANTS_AWW,319
Helen_AWW,Bertram_AWW,708
Helen_AWW,CITIZENS_AWW,282
Helen_AWW,Countess_AWW,870
Helen_AWW,Diana_AWW,1039
Helen_AWW,Fool_AWW,84
Helen_AWW,GENTLEMEN.1_AWW,99
Helen_AWW,GENTLEMEN.2_AWW,99
Helen_AWW,GENTLEMEN.3_AWW,229
Helen_AWW,Helen_AWW,704
Helen_AWW,King_AWW,1077
Helen_AWW,LORDS.COURT.1_AWW,337
Helen_AWW,LORDS.COURT.2_AWW,337
Helen_AWW,LORDS.COURT.3_AWW,337
Helen_AWW,LORDS.COURT.4_AWW,337
Helen_AWW,LORDS.DUMAINE.1_AWW,129
Helen_AWW,LORDS.DUMAINE.2_AWW,129
Helen_AWW,Lafew_AWW,480
Helen_AWW,Mariana_AWW,282
Helen_AWW,Page_AWW,94
Helen_AWW,Parolles_AWW,1133
Helen_AWW,SOLDIERS_AWW,37
Helen_AWW,Widow_AWW,1373
King_AWW,ATTENDANTS.KING.0.2_AWW,577
King_AWW,ATTENDANTS.KING_AWW,3484
King_AWW,Bertram_AWW,2522
King_AWW,Countess_AWW,1457
King_AWW,Diana_AWW,539
King_AWW,GENTLEMEN.3_AWW,143
King_AWW,Helen_AWW,1291
King_AWW,LORDS.COURT.1_AWW,607
King_AWW,LORDS.COURT.2_AWW,607
King_AWW,LORDS.COURT.3_AWW,607
King_AWW,LORDS.COURT.4_AWW,607
King_AWW,LORDS.DUMAINE.1_AWW,1642
King_AWW,LORDS.DUMAINE.2_AWW,1642
King_AWW,Lafew_AWW,2748
King_AWW,Parolles_AWW,1805
King_AWW,Widow_AWW,539
LORDS.COURT.1_AWW,ATTENDANTS.KING_AWW,7
LORDS.COURT.1_AWW,Bertram_AWW,7
LORDS.COURT.1_AWW,Helen_AWW,7
LORDS.COURT.1_AWW,King_AWW,7
LORDS.COURT.1_AWW,LORDS.COURT.2_AWW,7
