speaker,listener,total_words
Adam_AYL,DukeSenior_AYL,17
Adam_AYL,Jaques_AYL,17
Adam_AYL,LORDS.SENIOR.Amiens_AYL,17
Adam_AYL,LORDS.SENIOR_AYL,17
Adam_AYL,Oliver_AYL,63
Adam_AYL,Orlando_AYL,633
Audrey_AYL,Jaques_AYL,100
Audrey_AYL,Touchstone_AYL,199
Audrey_AYL,William_AYL,14
Celia_AYL,ATTENDANTS_AYL,142
Celia_AYL,Charles_AYL,142
Celia_AYL,Corin_AYL,277
Celia_AYL,DukeFrederick_AYL,263
Celia_AYL,LORDS.FREDERICK.LeBeau_AYL,242
Celia_AYL,LORDS.FREDERICK_AYL,263
Celia_AYL,Oliver_AYL,204
Celia_AYL,Orlando_AYL,285
Celia_AYL,Rosalind_AYL,2711
Celia_AYL,Silvius_AYL,9
Celia_AYL,Touchstone_AYL,697
Charles_AYL,ATTENDANTS_AYL,46
Charles_AYL,Celia_AYL,46
Charles_AYL,DukeFrederick_AYL,46
Charles_AYL,LORDS.FREDERICK.LeBeau_AYL,46
Charles_AYL,LORDS.FREDERICK_AYL,46
Charles_AYL,Oliver_AYL,395
Charles_AYL,Orlando_AYL,46
Charles_AYL,Rosalind_AYL,46
Charles_AYL,Touchstone_AYL,46
Corin_AYL,Audrey_AYL,13
Corin_AYL,Celia_AYL,326
Corin_AYL,Rosalind_AYL,338
Corin_AYL,Silvius_AYL,36
Corin_AYL,Touchstone_AYL,592
Dennis_AYL,Oliver_AYL,22
DukeFrederick_AYL,ATTENDANTS_AYL,219
DukeFrederick_AYL,Celia_AYL,450
DukeFrederick_AYL,Charles_AYL,153
DukeFrederick_AYL,LORDS.FREDERICK.LeBeau_AYL,219
DukeFrederick_AYL,LORDS.FREDERICK_AYL,687
DukeFrederick_AYL,Oliver_AYL,161
DukeFrederick_AYL,Orlando_AYL,219
DukeFrederick_AYL,Rosalind_AYL,450
DukeFrederick_AYL,Touchstone_AYL,219
DukeSenior_AYL,Adam_AYL,155
DukeSenior_AYL,Audrey_AYL,237
DukeSenior_AYL,Celia_AYL,229
DukeSenior_AYL,Hymen_AYL,195
DukeSenior_AYL,Jaques_AYL,709
DukeSenior_AYL,LORDS.SENIOR.Amiens_AYL,1034
DukeSenior_AYL,LORDS.SENIOR_AYL,746
DukeSenior_AYL,Oliver_AYL,288
DukeSenior_AYL,Orlando_AYL,592
DukeSenior_AYL,Phoebe_AYL,268
DukeSenior_AYL,Rosalind_AYL,209
DukeSenior_AYL,SecondBrother_AYL,156
DukeSenior_AYL,Silvius_AYL,268
DukeSenior_AYL,Touchstone_AYL,237
Hymen_AYL,Audrey_AYL,183
Hymen_AYL,Celia_AYL,183
Hymen_AYL,DukeSenior_AYL,183
Hymen_AYL,Jaques_AYL,183
Hymen_AYL,LORDS.SENIOR.Amiens_AYL,183
Hymen_AYL,Oliver_AYL,183
Hymen_AYL,Orlando_AYL,183
Hymen_AYL,Phoebe_AYL,183
Hymen_AYL,Rosalind_AYL,183
Hymen_AYL,Silvius_AYL,183
Hymen_AYL,Touchstone_AYL,183
Jaques_AYL,Audrey_AYL,471
Jaques_AYL,Celia_AYL,527
Jaques_AYL,DukeSenior_AYL,1300
Jaques_AYL,Hymen_AYL,172
Jaques_AYL,LORDS.SENIOR.Amiens_AYL,1605
Jaques_AYL,LORDS.SENIOR_AYL,1344
Jaques_AYL,OliverMartext_AYL,102
Jaques_AYL,Oliver_AYL,337
Jaques_AYL,Orlando_AYL,574
Jaques_AYL,Phoebe_AYL,337
Jaques_AYL,Rosalind_AYL,527
Jaques_AYL,SecondBrother_AYL,172
Jaques_AYL,Silvius_AYL,337
Jaques_AYL,Touchstone_AYL,471
LORDS.FREDERICK.0.1_AYL,DukeFrederick_AYL,37
LORDS.FREDERICK.0.1_AYL,LORDS.FREDERICK_AYL,37
LORDS.FREDERICK.0.2_AYL,DukeFrederick_AYL,71
LORDS.FREDERICK.0.2_AYL,LORDS.FREDERICK_AYL,71
LORDS.FREDERICK.LeBeau_AYL,ATTENDANTS_AYL,31
LORDS.FREDERICK.LeBeau_AYL,Celia_AYL,262
LORDS.FREDERICK.LeBeau_AYL,Charles_AYL,31
LORDS.FREDERICK.LeBeau_AYL,DukeFrederick_AYL,31
LORDS.FREDERICK.LeBeau_AYL,LORDS.FREDERICK_AYL,31
LORDS.FREDERICK.LeBeau_AYL,Orlando_AYL,232
LORDS.FREDERICK.LeBeau_AYL,Rosalind_AYL,262
LORDS.FREDERICK.LeBeau_AYL,Touchstone_AYL,262
LORDS.SENIOR.0.1_AYL,DukeSenior_AYL,383
LORDS.SENIOR.0.1_AYL,Jaques_AYL,19
LORDS.SENIOR.0.1_AYL,LORDS.SENIOR.Amiens_AYL,383
LORDS.SENIOR.0.1_AYL,LORDS.SENIOR_AYL,391
LORDS.SENIOR.0.2_AYL,DukeSenior_AYL,16
LORDS.SENIOR.0.2_AYL,Jaques_AYL,31
LORDS.SENIOR.0.2_AYL,LORDS.SENIOR.Amiens_AYL,16
LORDS.SENIOR.0.2_AYL,LORDS.SENIOR_AYL,47
LORDS.SENIOR.Amiens_AYL,Adam_AYL,137
LORDS.SENIOR.Amiens_AYL,DukeSenior_AYL,165
LORDS.SENIOR.Amiens_AYL,Jaques_AYL,280
LORDS.SENIOR.Amiens_AYL,LORDS.SENIOR_AYL,308
LORDS.SENIOR.Amiens_AYL,Orlando_AYL,137
LORDS.SENIOR.Amiens_AYL LORDS.SENIOR_AYL Jaques_AYL,Jaques_AYL,49
