speaker,listener,total_words
ATTENDANTS.0.1_Ado,ATTENDANTS_Ado,8
ATTENDANTS.0.1_Ado,Claudio_Ado,8
ATTENDANTS.0.1_Ado,DonPedro_Ado,8
ATTENDANTS.0.1_Ado,MUSICIANS_Ado,8
Antonio_Ado,Balthasar_Ado,28
Antonio_Ado,Beatrice_Ado,28
Antonio_Ado,Benedick_Ado,28
Antonio_Ado,Borachio_Ado,28
Antonio_Ado,Claudio_Ado,28
Antonio_Ado,DonJohn_Ado,28
Antonio_Ado,DonPedro_Ado,28
Antonio_Ado,Hero_Ado,28
Antonio_Ado,Leonato_Ado,28
Antonio_Ado,LeonatosBrother_Ado,28
Antonio_Ado,Margaret_Ado,28
Antonio_Ado,Ursula_Ado,28
Balthasar_Ado,Antonio_Ado,13
Balthasar_Ado,Beatrice_Ado,13
Balthasar_Ado,Benedick_Ado,231
Balthasar_Ado,Borachio_Ado,13
Balthasar_Ado,Claudio_Ado,231
Balthasar_Ado,DonJohn_Ado,13
Balthasar_Ado,DonPedro_Ado,231
Balthasar_Ado,Hero_Ado,13
Balthasar_Ado,Leonato_Ado,231
Balthasar_Ado,LeonatosBrother_Ado,13
Balthasar_Ado,Margaret_Ado,13
Balthasar_Ado,Ursula_Ado,13
Beatrice_Ado,ATTENDANTS_Ado,183
Beatrice_Ado,Antonio_Ado,224
Beatrice_Ado,Balthasar_Ado,370
Beatrice_Ado,Beatrice_Ado,100
Beatrice_Ado,Benedick_Ado,1316
Beatrice_Ado,Borachio_Ado,224
Beatrice_Ado,Claudio_Ado,844
Beatrice_Ado,DonJohn_Ado,383
Beatrice_Ado,DonPedro_Ado,844
Beatrice_Ado,FriarFrancis_Ado,183
Beatrice_Ado,Hero_Ado,2070
Beatrice_Ado,Leonato_Ado,1906
Beatrice_Ado,LeonatosBrother_Ado,957
Beatrice_Ado,MESSENGERS.LEONATO.1_Ado,523
Beatrice_Ado,Margaret_Ado,1121
Beatrice_Ado,Ursula_Ado,957
