speaker,listener,total_words
ATTENDANTS.ANTONY_Ant,Antony_JC,6
Agrippa_Ant,ATTENDANTS.OCTAVIA_Ant,5
Agrippa_Ant,Antony_JC,199
Agrippa_Ant,Dolabella_Ant,6
Agrippa_Ant,Enobarbus_Ant,346
Agrippa_Ant,GUARDS.Dercetus_Ant,43
Agrippa_Ant,Gallus_Ant,43
Agrippa_Ant,Lepidus_JC,214
Agrippa_Ant,Maecenas_Ant,327
Agrippa_Ant,Octavia_Ant,43
Agrippa_Ant,Octavius_JC,284
Agrippa_Ant,Proculeius_Ant,43
Agrippa_Ant,SOLDIERS.ANTONY.0_Ant,29
Agrippa_Ant,SOLDIERS.CAESAR_Ant,23
Agrippa_Ant,Ventidius_Ant,161
Agrippa_Ant Maecenas_Ant GUARDS.Dercetus_Ant,Agrippa_Ant,3
Agrippa_Ant Maecenas_Ant GUARDS.Dercetus_Ant,GUARDS.Dercetus_Ant,3
Agrippa_Ant Maecenas_Ant GUARDS.Dercetus_Ant,Maecenas_Ant,3
Agrippa_Ant Maecenas_Ant GUARDS.Dercetus_Ant,Octavius_JC,3
Alexas_Ant,Charmian_Ant,263
Alexas_Ant,Cleopatra_Ant,190
Alexas_Ant,Enobarbus_Ant,83
Alexas_Ant,Iras_Ant,263
Alexas_Ant,MESSENGERS.X.2_Ant,19
Alexas_Ant,Mardian_Ant,238
Alexas_Ant,SERVANTS.Lamprius_Ant,83
Alexas_Ant,SERVANTS.Lucillius_Ant,83
Alexas_Ant,SERVANTS.Rannius_Ant,83
Alexas_Ant,Soothsayer_Ant,83
Ambassador_Ant,ATTENDANTS.CAESAR_Ant,121
Ambassador_Ant,Agrippa_Ant,121
Ambassador_Ant,Antony_JC,11
Ambassador_Ant,Charmian_Ant,11
Ambassador_Ant,Cleopatra_Ant,11
Ambassador_Ant,Dolabella_Ant,121
Ambassador_Ant,Enobarbus_Ant,11
Ambassador_Ant,Iras_Ant,11
Ambassador_Ant,Octavius_JC,121
Ambassador_Ant,Thidias_Ant,121
Antony_JC,ATTENDANTS.ANTONY_Ant,560
Antony_JC,ATTENDANTS_Ant,719
Antony_JC,Agrippa_Ant,1272
Antony_JC,Alexas_Ant,234
Antony_JC,Ambassador_Ant,136
Antony_JC,Boy_Ant,258
Antony_JC,CAPTAINS_Ant,371
Antony_JC,Canidius_Ant,200
Antony_JC,Charmian_Ant,2858
Antony_JC,Cleopatra_Ant,3431
Antony_JC,Demetrius_Ant,234
Antony_JC,Diomedes_Ant,315
Antony_JC,EUNUCHS_Ant,234
Antony_JC,Enobarbus_Ant,3186
Antony_JC,Eros_Ant,1729
Antony_JC,GUARDS.Dercetus_Ant,31
Antony_JC,GUARDS_Ant,301
Antony_JC,Iras_Ant,2528
Antony_JC,Lepidus_JC,1272
Antony_JC,MESSENGERS.ANTONY.1_Ant,136
Antony_JC,MESSENGERS.ANTONY.2_Ant,51
Antony_JC,MESSENGERS.ANTONY.3_Ant,101
Antony_JC,MESSENGERS.X.1_Ant,209
Antony_JC,Maecenas_Ant,1110
Antony_JC,Mardian_Ant,493
Antony_JC,Menas_Ant,378
Antony_JC,Octavia_Ant,452
Antony_JC,Octavius_JC,1339
Antony_JC,Philo_Ant,234
Antony_JC,Pompey_Ant,378
Antony_JC,SERVANTS.ANTONY_Ant,270
Antony_JC,SERVANTS.X.2_Ant,471
Antony_JC,SERVANTS_Ant,401
Antony_JC,SOLDIERS.ANTONY.0_Ant,631
Antony_JC,SOLDIERS.ANTONY.X.1_Ant,7
Antony_JC,SOLDIERS.ANTONY.X.2_Ant,113
Antony_JC,SOLDIERS.ANTONY.X.3_Ant,95
Antony_JC,SOLDIERS.ANTONY_Ant,558
Antony_JC,SOLDIERS_Ant,120
Antony_JC,Scarus_Ant,729
Antony_JC,Soothsayer_Ant,174
Antony_JC,Thidias_Ant,424
Antony_JC,Ventidius_Ant,732
Boy_Ant,Agrippa_Ant,32
Boy_Ant,Antony_JC,32
Boy_Ant,CAPTAINS_Ant,32
Boy_Ant,Enobarbus_Ant,32
Boy_Ant,Lepidus_JC,32
