speaker,listener,total_words
AEDILES.X.2_Cor,CITIZENS.ROMAN_Cor,23
AEDILES.X.2_Cor,Cominius_Cor,13
AEDILES.X.2_Cor,Coriolanus_Cor,13
AEDILES.X.2_Cor,Menenius_Cor,13
AEDILES.X.2_Cor,SENATORS.ROMAN_Cor,13
AEDILES.X.2_Cor,SOLDIERS.ROMAN.0_Cor,61
AEDILES.X.2_Cor,TRIBUNES.Brutus_Cor,61
AEDILES.X.2_Cor,TRIBUNES.Sicinius_Cor,61
AEDILES.X.3_Cor,Menenius_Cor,44
AEDILES.X.3_Cor,SOLDIERS.ROMAN.0_Cor,44
AEDILES.X.3_Cor,TRIBUNES.Brutus_Cor,44
AEDILES.X.3_Cor,TRIBUNES.Sicinius_Cor,44
AEDILES_Cor,CITIZENS.ROMAN_Cor,5
AEDILES_Cor,Cominius_Cor,5
AEDILES_Cor,Coriolanus_Cor,5
AEDILES_Cor,Lartius_Cor,5
AEDILES_Cor,Menenius_Cor,5
AEDILES_Cor,SENATORS.ROMAN_Cor,5
AEDILES_Cor,SOLDIERS.ROMAN.0_Cor,5
AEDILES_Cor,TRIBUNES.Brutus_Cor,5
AEDILES_Cor,TRIBUNES.Sicinius_Cor,5
Adrian_Cor,Nicanor_Cor,200
Adrian_Cor,SOLDIERS.ROMAN.0_Cor,200
Aufidius_Cor,ATTENDANTS.ROMAN_Cor,35
Aufidius_Cor,ATTENDANTS.VOLSCIAN_Cor,98
Aufidius_Cor,CITIZENS.VOLSCIAN_Cor,355
Aufidius_Cor,CONSPIRATORS_Cor,688
Aufidius_Cor,Coriolanus_Cor,1051
Aufidius_Cor,LORDS.VOLSCIAN_Cor,379
Aufidius_Cor,Menenius_Cor,7
Aufidius_Cor,SENATORS.VOLSCIAN_Cor,268
Aufidius_Cor,SERVANTS.1_Cor,522
Aufidius_Cor,SERVANTS.2_Cor,522
Aufidius_Cor,SOLDIERS.ROMAN.0_Cor,2164
Aufidius_Cor,SOLDIERS.VOLSCIAN.Lieutenant_Cor,465
Aufidius_Cor,SOLDIERS.VOLSCIAN_Cor,312
