speaker,listener,total_words
ATTENDANTS.0.1_Cym,ATTENDANTS_Cym,27
ATTENDANTS.0.1_Cym,Cloten_Cym,27
ATTENDANTS.0.1_Cym,Cymbeline_Cym,27
ATTENDANTS.0.1_Cym,Queen_Cym,27
ATTENDANTS.0.2_Cym,ATTENDANTS_Cym,121
ATTENDANTS.0.2_Cym,Cymbeline_Cym,121
ATTENDANTS.0.2_Cym,Pisanio_Cym,121
ATTENDANTS.1_Cym,ATTENDANTS.2_Cym,619
ATTENDANTS.2_Cym,ATTENDANTS.1_Cym,102
ATTENDANTS.3_Cym,Posthumus_Cym,52
ATTENDANTS.3_Cym,SOLDIERS.ROMAN_Cym,52
ATTENDANTS.CLOTEN.1_Cym,ATTENDANTS.CLOTEN.2_Cym,245
ATTENDANTS.CLOTEN.1_Cym,Cloten_Cym,245
ATTENDANTS.CLOTEN.2_Cym,ATTENDANTS.CLOTEN.1_Cym,450
ATTENDANTS.CLOTEN.2_Cym,ATTENDANTS_Cym,7
ATTENDANTS.CLOTEN.2_Cym,Cloten_Cym,450
ATTENDANTS.CLOTEN.2_Cym,Cymbeline_Cym,7
ATTENDANTS.CLOTEN.2_Cym,Queen_Cym,7
Arviragus_Cym,ATTENDANTS_Cym,78
Arviragus_Cym,Belarius_Cym,1190
Arviragus_Cym,Cornelius_Cym,78
Arviragus_Cym,Cymbeline_Cym,78
Arviragus_Cym,Guiderius_Cym,1172
Arviragus_Cym,Iachimo_Cym,78
Arviragus_Cym,Imogen_Cym,774
Arviragus_Cym,LADIES.QUEEN_Cym,78
Arviragus_Cym,Lucius_Cym,78
Arviragus_Cym,Pisanio_Cym,78
Arviragus_Cym,Posthumus_Cym,78
Arviragus_Cym,SOLDIERS.BRITON.0_Cym,78
Arviragus_Cym,SOLDIERS.BRITON_Cym,78
Arviragus_Cym,SOLDIERS.ROMAN_Cym,78
Arviragus_Cym,Soothsayer_Cym,78
Belarius_Cym,ATTENDANTS_Cym,713
Belarius_Cym,Arviragus_Cym,2809
Belarius_Cym,Belarius_Cym,416
Belarius_Cym,Cloten_Cym,59
Belarius_Cym,Cornelius_Cym,652
Belarius_Cym,Cymbeline_Cym,744
Belarius_Cym,Guiderius_Cym,2658
Belarius_Cym,Iachimo_Cym,652
Belarius_Cym,Imogen_Cym,1250
Belarius_Cym,LADIES.QUEEN_Cym,652
Belarius_Cym,Lucius_Cym,652
Belarius_Cym,Pisanio_Cym,713
Belarius_Cym,Posthumus_Cym,652
Belarius_Cym,SOLDIERS.BRITON.0_Cym,713
Belarius_Cym,SOLDIERS.BRITON_Cym,683
Belarius_Cym,SOLDIERS.ROMAN_Cym,683
Belarius_Cym,Soothsayer_Cym,652
Cloten_Cym,ATTENDANTS.CLOTEN.1_Cym,604
Cloten_Cym,ATTENDANTS.CLOTEN.2_Cym,604
Cloten_Cym,ATTENDANTS_Cym,367
Cloten_Cym,Arviragus_Cym,20
Cloten_Cym,Belarius_Cym,20
Cloten_Cym,Cloten_Cym,786
Cloten_Cym,Cymbeline_Cym,321
Cloten_Cym,Guiderius_Cym,173
Cloten_Cym,Imogen_Cym,215
Cloten_Cym,LADIES.IMOGEN_Cym,34
Cloten_Cym,Lucius_Cym,242
Cloten_Cym,MUSICIANS_Cym,50
Cloten_Cym,Pisanio_Cym,414
Cloten_Cym,Queen_Cym,367
Cornelius_Cym,ATTENDANTS_Cym,430
Cornelius_Cym,Arviragus_Cym,430
Cornelius_Cym,Belarius_Cym,430
Cornelius_Cym,Cymbeline_Cym,430
Cornelius_Cym,Guiderius_Cym,430
Cornelius_Cym,Iachimo_Cym,155
Cornelius_Cym,Imogen_Cym,155
Cornelius_Cym,LADIES.QUEEN_Cym,430
Cornelius_Cym,Lucius_Cym,155
Cornelius_Cym,Pisanio_Cym,569
Cornelius_Cym,Posthumus_Cym,155
Cornelius_Cym,Queen_Cym,226
Cornelius_Cym,SOLDIERS.BRITON.0_Cym,430
Cornelius_Cym,SOLDIERS.BRITON_Cym,155
Cornelius_Cym,SOLDIERS.ROMAN_Cym,155
Cornelius_Cym,Soothsayer_Cym,155
Cymbeline_Cym,ATTENDANTS.0.1_Cym,35
Cymbeline_Cym,ATTENDANTS.CLOTEN.1_Cym,137
Cymbeline_Cym,ATTENDANTS.CLOTEN.2_Cym,137
Cymbeline_Cym,ATTENDANTS_Cym,2590
Cymbeline_Cym,Arviragus_Cym,1591
Cymbeline_Cym,Belarius_Cym,1591
Cymbeline_Cym,Cloten_Cym,647
Cymbeline_Cym,Cornelius_Cym,1376
Cymbeline_Cym,Guiderius_Cym,1591
Cymbeline_Cym,Iachimo_Cym,1130
Cymbeline_Cym,Imogen_Cym,1281
Cymbeline_Cym,LADIES.QUEEN_Cym,1376
Cymbeline_Cym,Lucius_Cym,1477
Cymbeline_Cym,Pisanio_Cym,1792
Cymbeline_Cym,Posthumus_Cym,1166
Cymbeline_Cym,Queen_Cym,668
Cymbeline_Cym,SOLDIERS.BRITON.0_Cym,1591
Cymbeline_Cym,SOLDIERS.BRITON_Cym,1130
Cymbeline_Cym,SOLDIERS.ROMAN_Cym,1130
Cymbeline_Cym,Soothsayer_Cym,1130
Frenchman_Cym,Dutchman_Cym,221
Frenchman_Cym,Iachimo_Cym,213
Frenchman_Cym,Philario_Cym,221
Frenchman_Cym,Posthumus_Cym,183
Frenchman_Cym,Spaniard_Cym,221
GHOSTS.BROTHERS.1_Cym,GHOSTS.BROTHERS.2_Cym,74
GHOSTS.BROTHERS.1_Cym,GHOSTS.Father_Cym,74
GHOSTS.BROTHERS.1_Cym,GHOSTS.Mother_Cym,74
GHOSTS.BROTHERS.1_Cym,Posthumus_Cym,74
GHOSTS.BROTHERS.1_Cym,SOLDIERS.BRITON.0_Cym,74
GHOSTS.BROTHERS.1_Cym GHOSTS.BROTHERS.2_Cym,GHOSTS.BROTHERS.1_Cym,14
GHOSTS.BROTHERS.1_Cym GHOSTS.BROTHERS.2_Cym,GHOSTS.BROTHERS.2_Cym,14
GHOSTS.BROTHERS.1_Cym GHOSTS.BROTHERS.2_Cym,GHOSTS.Father_Cym,14
GHOSTS.BROTHERS.1_Cym GHOSTS.BROTHERS.2_Cym,GHOSTS.Mother_Cym,14
GHOSTS.BROTHERS.1_Cym GHOSTS.BROTHERS.2_Cym,Posthumus_Cym,14
GHOSTS.BROTHERS.1_Cym GHOSTS.BROTHERS.2_Cym,SOLDIERS.BRITON.0_Cym,14
GHOSTS.BROTHERS.2_Cym,GHOSTS.BROTHERS.1_Cym,39
GHOSTS.BROTHERS.2_Cym,GHOSTS.Father_Cym,39
