speaker,listener,total_words
Abbess_Err,Adriana_Err,660
Abbess_Err,Angelo_Err,660
Abbess_Err,AntipholusOfEphesus_Err,267
Abbess_Err,AntipholusOfSyracuse_Err,267
Abbess_Err,Courtesan_Err,660
Abbess_Err,DromioOfEphesus_Err,267
Abbess_Err,DromioOfSyracuse_Err,267
Abbess_Err,Duke_Err,267
Abbess_Err,Egeon_Err,267
Abbess_Err,Headsman_Err,267
Abbess_Err,Luciana_Err,660
Abbess_Err,Merchant2_Err,660
Abbess_Err,Messenger_Err,267
Abbess_Err,OFFICERS_Err,267
Abbess_Err,OTHERS_Err,660
Adriana_Err,Abbess_Err,319
Adriana_Err,Angelo_Err,773
Adriana_Err,AntipholusOfEphesus_Err,444
Adriana_Err,AntipholusOfSyracuse_Err,739
Adriana_Err,Balthasar_Err,28
Adriana_Err,Courtesan_Err,1117
Adriana_Err,DromioOfEphesus_Err,536
Adriana_Err,DromioOfSyracuse_Err,887
Adriana_Err,Duke_Err,406
Adriana_Err,Egeon_Err,406
Adriana_Err,Headsman_Err,406
Adriana_Err,Luce_Err,28
Adriana_Err,Luciana_Err,2608
Adriana_Err,Merchant2_Err,745
Adriana_Err,Messenger_Err,153
Adriana_Err,OFFICERS.X_Err,372
Adriana_Err,OFFICERS_Err,406
Adriana_Err,OTHERS_Err,745
Adriana_Err,Pinch_Err,286
Adriana_Err,SERVANTS.PINCH_Err,126
Angelo_Err,Abbess_Err,44
Angelo_Err,Adriana_Err,129
Angelo_Err,AntipholusOfEphesus_Err,442
Angelo_Err,AntipholusOfSyracuse_Err,266
Angelo_Err,Balthasar_Err,33
Angelo_Err,Courtesan_Err,129
Angelo_Err,DromioOfEphesus_Err,134
Angelo_Err,DromioOfSyracuse_Err,161
Angelo_Err,Duke_Err,101
Angelo_Err,Egeon_Err,101
Angelo_Err,Headsman_Err,101
Angelo_Err,Luciana_Err,129
Angelo_Err,Merchant2_Err,698
Angelo_Err,Messenger_Err,101
Angelo_Err,OFFICERS.X_Err,375
Angelo_Err,OFFICERS_Err,101
Angelo_Err,OTHERS_Err,129
AntipholusOfEphesus_Err,Abbess_Err,93
AntipholusOfEphesus_Err,Adriana_Err,1081
AntipholusOfEphesus_Err,Angelo_Err,1884
AntipholusOfEphesus_Err,AntipholusOfSyracuse_Err,106
AntipholusOfEphesus_Err,Balthasar_Err,592
AntipholusOfEphesus_Err,Courtesan_Err,1066
AntipholusOfEphesus_Err,DromioOfEphesus_Err,1822
AntipholusOfEphesus_Err,DromioOfSyracuse_Err,250
AntipholusOfEphesus_Err,Duke_Err,731
AntipholusOfEphesus_Err,Egeon_Err,731
AntipholusOfEphesus_Err,Headsman_Err,731
AntipholusOfEphesus_Err,Luce_Err,66
AntipholusOfEphesus_Err,Luciana_Err,1066
AntipholusOfEphesus_Err,Merchant2_Err,1292
AntipholusOfEphesus_Err,Messenger_Err,731
AntipholusOfEphesus_Err,OFFICERS.X_Err,1085
AntipholusOfEphesus_Err,OFFICERS_Err,731
AntipholusOfEphesus_Err,OTHERS_Err,731
AntipholusOfEphesus_Err,Pinch_Err,335
AntipholusOfEphesus_Err,SERVANTS.PINCH_Err,53
AntipholusOfSyracuse_Err,Abbess_Err,162
AntipholusOfSyracuse_Err,Adriana_Err,426
AntipholusOfSyracuse_Err,Angelo_Err,278
AntipholusOfSyracuse_Err,AntipholusOfEphesus_Err,204
AntipholusOfSyracuse_Err,AntipholusOfSyracuse_Err,586
AntipholusOfSyracuse_Err,Courtesan_Err,249
