speaker,listener,total_words
Abergavenny_H8,Brandon_H8,21
Abergavenny_H8,Buckingham_H8,136
Abergavenny_H8,GUARDS_H8,21
Abergavenny_H8,Norfolk_H8,136
Abergavenny_H8,Sergeant_H8,21
Anne_H8,ATTENDANTS_H8,17
Anne_H8,Chamberlain_H8,144
Anne_H8,GENTLEMEN_H8,24
Anne_H8,Guilford_H8,24
Anne_H8,LADIES_H8,24
Anne_H8,Lovell_H8,24
Anne_H8,OldLady_H8,445
Anne_H8,SERVANTS_H8,17
Anne_H8,Sands_H8,24
Anne_H8,Wolsey_H8,17
BishopOfLincoln_H8,ATTENDANTS_H8,61
BishopOfLincoln_H8,BISHOPS_H8,61
BishopOfLincoln_H8,Campeius_H8,61
BishopOfLincoln_H8,Crier_H8,61
BishopOfLincoln_H8,HenryVIII_H8,61
BishopOfLincoln_H8,LORDS_H8,61
BishopOfLincoln_H8,Scribe_H8,61
BishopOfLincoln_H8,Wolsey_H8,61
Brandon_H8,Abergavenny_H8,108
Brandon_H8,Buckingham_H8,108
Brandon_H8,GUARDS_H8,108
Brandon_H8,Norfolk_H8,108
Brandon_H8,Sergeant_H8,108
Buckingham_H8,Abergavenny_H8,1020
Buckingham_H8,Brandon_H8,148
Buckingham_H8,COMMONERS_H8,752
Buckingham_H8,GENTLEMEN.1_H8,752
Buckingham_H8,GENTLEMEN.2_H8,752
Buckingham_H8,GUARDS_H8,900
Buckingham_H8,Lovell_H8,752
Buckingham_H8,Norfolk_H8,1020
Buckingham_H8,Sands_H8,752
Buckingham_H8,Sergeant_H8,148
Buckingham_H8,Vaux_H8,752
Butts_H8,Cranmer_H8,77
Butts_H8,HenryVIII_H8,50
Butts_H8,Keeper_H8,77
Butts_H8,SERVANTS_H8,77
Campeius_H8,ATTENDANTS_H8,112
Campeius_H8,BISHOPS_H8,112
Campeius_H8,BishopOfLincoln_H8,112
Campeius_H8,Crier_H8,112
Campeius_H8,Gardiner_H8,86
Campeius_H8,HenryVIII_H8,260
Campeius_H8,Katherine_H8,279
Campeius_H8,LADIES.KATHERINE_H8,212
Campeius_H8,LORDS_H8,112
Campeius_H8,Scribe_H8,112
Campeius_H8,Usher_H8,67
Campeius_H8,Wolsey_H8,472
Capuchius_H8,Griffith_H8,92
Capuchius_H8,Katherine_H8,92
Capuchius_H8,LADIES.KATHERINE.Patience_H8,92
Chamberlain_H8,ATTENDANTS_H8,153
Chamberlain_H8,Anne_H8,452
Chamberlain_H8,Chamberlain_H8,115
Chamberlain_H8,Chancellor_H8,32
Chamberlain_H8,Cranmer_H8,32
Chamberlain_H8,Cromwell_H8,32
Chamberlain_H8,GENTLEMEN_H8,260
Chamberlain_H8,GUARDS_H8,32
Chamberlain_H8,Gardiner_H8,32
Chamberlain_H8,Guilford_H8,260
Chamberlain_H8,HenryVIII_H8,136
Chamberlain_H8,Keeper_H8,32
Chamberlain_H8,LADIES_H8,260
Chamberlain_H8,Lovell_H8,446
Chamberlain_H8,MASKERS_H8,136
Chamberlain_H8,Norfolk_H8,340
Chamberlain_H8,OldLady_H8,192
Chamberlain_H8,Porter_H8,192
Chamberlain_H8,SERVANTS.PORTER.1_H8,192
Chamberlain_H8,SERVANTS.X.1_H8,8
Chamberlain_H8,SERVANTS_H8,185
Chamberlain_H8,Sands_H8,568
Chamberlain_H8,Suffolk_H8,340
Chamberlain_H8,Surrey_H8,204
Chamberlain_H8,Wolsey_H8,200
Chancellor_H8,Chamberlain_H8,269
Chancellor_H8,Cranmer_H8,269
Chancellor_H8,Cromwell_H8,269
Chancellor_H8,GUARDS_H8,56
Chancellor_H8,Gardiner_H8,269
Chancellor_H8,HenryVIII_H8,56
Chancellor_H8,Keeper_H8,269
Chancellor_H8,Norfolk_H8,269
Chancellor_H8,SERVANTS_H8,269
Chancellor_H8,Suffolk_H8,269
Chancellor_H8,Surrey_H8,269
Chancellor_H8 Suffolk_H8 Norfolk_H8 Surrey_H8 Chamberlain_H8 Gardiner_H8 Cromwell_H8,Chamberlain_H8,4
Chancellor_H8 Suffolk_H8 Norfolk_H8 Surrey_H8 Chamberlain_H8 Gardiner_H8 Cromwell_H8,Chancellor_H8,4
Chancellor_H8 Suffolk_H8 Norfolk_H8 Surrey_H8 Chamberlain_H8 Gardiner_H8 Cromwell_H8,Cranmer_H8,4
Chancellor_H8 Suffolk_H8 Norfolk_H8 Surrey_H8 Chamberlain_H8 Gardiner_H8 Cromwell_H8,Cromwell_H8,4
Chancellor_H8 Suffolk_H8 Norfolk_H8 Surrey_H8 Chamberlain_H8 Gardiner_H8 Cromwell_H8,Gardiner_H8,4
Chancellor_H8 Suffolk_H8 Norfolk_H8 Surrey_H8 Chamberlain_H8 Gardiner_H8 Cromwell_H8,Keeper_H8,4
Chancellor_H8 Suffolk_H8 Norfolk_H8 Surrey_H8 Chamberlain_H8 Gardiner_H8 Cromwell_H8,Norfolk_H8,4
Chancellor_H8 Suffolk_H8 Norfolk_H8 Surrey_H8 Chamberlain_H8 Gardiner_H8 Cromwell_H8,SERVANTS_H8,4
Chancellor_H8 Suffolk_H8 Norfolk_H8 Surrey_H8 Chamberlain_H8 Gardiner_H8 Cromwell_H8,Suffolk_H8,4
Chancellor_H8 Suffolk_H8 Norfolk_H8 Surrey_H8 Chamberlain_H8 Gardiner_H8 Cromwell_H8,Surrey_H8,4
Cranmer_H8,ALDERMEN_H8,539
Cranmer_H8,Chamberlain_H8,412
Cranmer_H8,Chancellor_H8,412
Cranmer_H8,Cromwell_H8,412
Cranmer_H8,ElizabethI.Infant_H8,539
Cranmer_H8,GUARDS_H8,652
Cranmer_H8,Gardiner_H8,412
Cranmer_H8,Garter_H8,539
Cranmer_H8,HenryVIII_H8,739
Cranmer_H8,Keeper_H8,514
Cranmer_H8,LADIES_H8,539
Cranmer_H8,LORDS_H8,539
Cranmer_H8,LordMayor_H8,539
Cranmer_H8,Norfolk_H8,951
Cranmer_H8,SERVANTS_H8,568
Cranmer_H8,Suffolk_H8,951
Cranmer_H8,Surrey_H8,412
Crier_H8,ATTENDANTS_H8,34
Crier_H8,BISHOPS_H8,34
Crier_H8,BishopOfLincoln_H8,34
Crier_H8,Campeius_H8,34
Crier_H8,HenryVIII_H8,34
Crier_H8,Katherine_H8,34
Crier_H8,LORDS_H8,34
Crier_H8,Scribe_H8,34
Crier_H8,Usher_H8,34
Crier_H8,Wolsey_H8,34
Cromwell_H8,Chamberlain_H8,198
Cromwell_H8,Chancellor_H8,143
Cromwell_H8,Cranmer_H8,143
Cromwell_H8,GUARDS_H8,40
Cromwell_H8,Gardiner_H8,143
Cromwell_H8,Keeper_H8,143
Cromwell_H8,Norfolk_H8,198
Cromwell_H8,SERVANTS_H8,143
Cromwell_H8,Suffolk_H8,198
Cromwell_H8,Surrey_H8,198
Cromwell_H8,Wolsey_H8,243
Denny_H8,HenryVIII_H8,30
Denny_H8,Lovell_H8,30
