speaker,listener,total_words
AMBASSADORS_Ham,ATTENDANTS_Ham,46
AMBASSADORS_Ham,Claudius_Ham,46
AMBASSADORS_Ham,Fortinbras_Ham,46
AMBASSADORS_Ham,Gertrude_Ham,46
AMBASSADORS_Ham,Hamlet_Ham,46
AMBASSADORS_Ham,Horatio_Ham,46
AMBASSADORS_Ham,Laertes_Ham,46
AMBASSADORS_Ham,Osric_Ham,46
AMBASSADORS_Ham,SOLDIERS.FORTINBRAS_Ham,46
ATTENDANTS.0.1_Ham,ATTENDANTS_Ham,14
ATTENDANTS.0.1_Ham,Horatio_Ham,14
ATTENDANTS.1_Ham,Gertrude_Ham,118
ATTENDANTS.1_Ham,Horatio_Ham,118
ATTENDANTS.2_Ham,Hamlet_Ham,77
ATTENDANTS.2_Ham,Horatio_Ham,77
ATTENDANTS.GUARDS_Ham,Hamlet_Ham,8
ATTENDANTS_Ham,Claudius_Ham,8
ATTENDANTS_Ham,Doctor_Ham,3
ATTENDANTS_Ham,Gertrude_Ham,8
ATTENDANTS_Ham,Gravedigger_Ham,3
ATTENDANTS_Ham,Hamlet_Ham,8
ATTENDANTS_Ham,Horatio_Ham,8
ATTENDANTS_Ham,Laertes_Ham,8
ATTENDANTS_Ham,Ophelia_Ham,3
Barnardo_Ham,Francisco_Ham,58
Barnardo_Ham,Ghost_Ham,42
Barnardo_Ham,Horatio_Ham,212
Barnardo_Ham,Marcellus_Ham,212
Barnardo_Ham Marcellus_Ham,Barnardo_Ham,7
Barnardo_Ham Marcellus_Ham,Hamlet_Ham,7
Barnardo_Ham Marcellus_Ham,Horatio_Ham,7
Barnardo_Ham Marcellus_Ham,Marcellus_Ham,7
Claudius_Ham,ATTENDANTS.GUARDS_Ham,285
Claudius_Ham,ATTENDANTS_Ham,1029
Claudius_Ham,Claudius_Ham,21
Claudius_Ham,Cornelius_Ham,507
Claudius_Ham,Doctor_Ham,89
Claudius_Ham,Gertrude_Ham,2766
Claudius_Ham,Gravedigger_Ham,89
Claudius_Ham,Guildenstern_Ham,691
Claudius_Ham,Hamlet_Ham,1347
Claudius_Ham,Horatio_Ham,678
Claudius_Ham,Laertes_Ham,2803
Claudius_Ham,MESSENGERS.1_Ham,320
Claudius_Ham,MESSENGERS.2_Ham,96
Claudius_Ham,Ophelia_Ham,515
Claudius_Ham,Osric_Ham,275
Claudius_Ham,PLAYERS.King_Ham,30
Claudius_Ham,PLAYERS.Lucianus_Ham,8
