speaker,listener,total_words
Antony_JC,Brutus_JC,823
Antony_JC,COMMONERS_JC,21
Antony_JC,Caesar_JC,2340
Antony_JC,Calphurnia_JC,52
Antony_JC,Casca_JC,633
Antony_JC,Cassius_JC,746
Antony_JC,Cicero_JC,45
Antony_JC,Cinna_JC,588
Antony_JC,Decius_JC,633
Antony_JC,Flavius_JC,45
Antony_JC,Lepidus_JC,57
Antony_JC,Ligarius_JC,7
Antony_JC,Marullus_JC,45
Antony_JC,Messenger_JC,147
Antony_JC,Metellus_JC,588
Antony_JC,Octavius_JC,624
Antony_JC,PLEBEIANS.0_JC,2126
Antony_JC,PLEBEIANS_JC,1352
Antony_JC,Portia_JC,45
Antony_JC,Publius_JC,7
Antony_JC,SERVANTS.CAESAR.1_JC,7
Antony_JC,SERVANTS.OCTAVIUS.1_JC,204
Antony_JC,SOLDIERS.ANTONY_JC,339
Antony_JC,SOLDIERS.BRUTUS.Cato_JC,70
Antony_JC,SOLDIERS.BRUTUS.Lucilius_JC,260
Antony_JC,SOLDIERS.BRUTUS.Messala_JC,190
Antony_JC,SOLDIERS.BRUTUS.Strato_JC,70
Antony_JC,SOLDIERS.BRUTUS.Titinius_JC,120
Antony_JC,SOLDIERS.BRUTUS_JC,120
Antony_JC,Soothsayer_JC,21
Antony_JC,Trebonius_JC,588
Artemidorus_JC,Antony_JC,42
Artemidorus_JC,Artemidorus_JC,142
Artemidorus_JC,Brutus_JC,42
Artemidorus_JC,Caesar_JC,42
Artemidorus_JC,Casca_JC,42
Artemidorus_JC,Cassius_JC,42
Artemidorus_JC,Cinna_JC,42
Artemidorus_JC,Decius_JC,42
Artemidorus_JC,Lepidus_JC,42
Artemidorus_JC,Metellus_JC,42
Artemidorus_JC,PETITIONERS_JC,42
Artemidorus_JC,Popilius_JC,42
Artemidorus_JC,Publius_JC,42
Artemidorus_JC,SENATORS_JC,42
Artemidorus_JC,Soothsayer_JC,42
Artemidorus_JC,Trebonius_JC,42
Brutus_JC,Antony_JC,694
Brutus_JC,Artemidorus_JC,155
Brutus_JC,Brutus_JC,456
Brutus_JC,COMMONERS_JC,11
Brutus_JC,Caesar_JC,979
Brutus_JC,Calphurnia_JC,115
Brutus_JC,Casca_JC,1675
Brutus_JC,Cassius_JC,4195
Brutus_JC,Cicero_JC,85
Brutus_JC,Cinna_JC,1502
Brutus_JC,Decius_JC,1587
Brutus_JC,Flavius_JC,85
Brutus_JC,Lepidus_JC,155
Brutus_JC,Ligarius_JC,145
Brutus_JC,Lucius_JC,1273
Brutus_JC,Marullus_JC,85
Brutus_JC,Messenger_JC,98
Brutus_JC,Metellus_JC,1502
Brutus_JC,Octavius_JC,98
Brutus_JC,PETITIONERS_JC,155
Brutus_JC,PLEBEIANS.0_JC,3281
Brutus_JC,PLEBEIANS_JC,561
Brutus_JC,Pindarus_JC,320
Brutus_JC,Poet_JC,38
Brutus_JC,Portia_JC,246
Brutus_JC,Publius_JC,185
Brutus_JC,SENATORS_JC,155
Brutus_JC,SERVANTS.ANTONY.1_JC,52
Brutus_JC,SERVANTS.CAESAR.1_JC,7
Brutus_JC,SOLDIERS.ANTONY_JC,98
Brutus_JC,SOLDIERS.BRUTUS.Cato_JC,197
Brutus_JC,SOLDIERS.BRUTUS.Claudius_JC,535
Brutus_JC,SOLDIERS.BRUTUS.Clitus_JC,377
Brutus_JC,SOLDIERS.BRUTUS.Dardanus_JC,377
Brutus_JC,SOLDIERS.BRUTUS.Flavius_JC,197
Brutus_JC,SOLDIERS.BRUTUS.Labeo_JC,184
Brutus_JC,SOLDIERS.BRUTUS.Lucilius_JC,893
Brutus_JC,SOLDIERS.BRUTUS.Messala_JC,1059
Brutus_JC,SOLDIERS.BRUTUS.Strato_JC,590
Brutus_JC,SOLDIERS.BRUTUS.Titinius_JC,1353
Brutus_JC,SOLDIERS.BRUTUS.Varro_JC,535
Brutus_JC,SOLDIERS.BRUTUS.Volumnius_JC,561
Brutus_JC,SOLDIERS.BRUTUS_JC,643
Brutus_JC,SOLDIERS.CASSIUS_JC,146
Brutus_JC,Soothsayer_JC,166
Brutus_JC,Trebonius_JC,1390
COMMONERS.Carpenter_JC,COMMONERS.Cobbler_JC,8
COMMONERS.Carpenter_JC,COMMONERS_JC,8
COMMONERS.Carpenter_JC,Flavius_JC,8
COMMONERS.Carpenter_JC,Marullus_JC,8
COMMONERS.Cobbler_JC,COMMONERS.Carpenter_JC,190
COMMONERS.Cobbler_JC,COMMONERS_JC,190
COMMONERS.Cobbler_JC,Flavius_JC,190
COMMONERS.Cobbler_JC,Marullus_JC,190
Caesar_JC,Antony_JC,472
Caesar_JC,Artemidorus_JC,349
Caesar_JC,Brutus_JC,899
Caesar_JC,COMMONERS_JC,145
Caesar_JC,Caesar_JC,31
Caesar_JC,Calphurnia_JC,1032
Caesar_JC,Casca_JC,875
Caesar_JC,Cassius_JC,707
Caesar_JC,Cicero_JC,358
Caesar_JC,Cinna_JC,517
Caesar_JC,Decius_JC,1148
Caesar_JC,Flavius_JC,358
Caesar_JC,Lepidus_JC,349
Caesar_JC,Ligarius_JC,168
Caesar_JC,Lucius_JC,24
Caesar_JC,Marullus_JC,358
Caesar_JC,Metellus_JC,517
Caesar_JC,PETITIONERS_JC,349
Caesar_JC,PLEBEIANS.0_JC,24
Caesar_JC,Popilius_JC,26
Caesar_JC,Portia_JC,358
Caesar_JC,Publius_JC,517
Caesar_JC,SENATORS_JC,349
Caesar_JC,SERVANTS.CAESAR.1_JC,541
Caesar_JC,SOLDIERS.BRUTUS.Claudius_JC,24
Caesar_JC,SOLDIERS.BRUTUS.Varro_JC,24
Caesar_JC,Soothsayer_JC,494
Caesar_JC,Trebonius_JC,194
Calphurnia_JC,Antony_JC,6
Calphurnia_JC,Brutus_JC,6
Calphurnia_JC,COMMONERS_JC,6
Calphurnia_JC,Caesar_JC,254
Calphurnia_JC,Casca_JC,6
Calphurnia_JC,Cassius_JC,6
Calphurnia_JC,Cicero_JC,6
Calphurnia_JC,Decius_JC,12
Calphurnia_JC,Flavius_JC,6
Calphurnia_JC,Marullus_JC,6
Calphurnia_JC,Portia_JC,6
Calphurnia_JC,SERVANTS.CAESAR.1_JC,75
Calphurnia_JC,Soothsayer_JC,6
Casca_JC,Antony_JC,20
Casca_JC,Artemidorus_JC,16
Casca_JC,Brutus_JC,797
Casca_JC,COMMONERS_JC,20
Casca_JC,Caesar_JC,56
Casca_JC,Calphurnia_JC,20
Casca_JC,Cassius_JC,1023
Casca_JC,Cicero_JC,306
Casca_JC,Cinna_JC,136
Casca_JC,Decius_JC,144
Casca_JC,Flavius_JC,20
Casca_JC,Lepidus_JC,16
Casca_JC,Marullus_JC,20
Casca_JC,Metellus_JC,124
Casca_JC,PETITIONERS_JC,16
Casca_JC,Portia_JC,20
Casca_JC,Publius_JC,16
Casca_JC,SENATORS_JC,16
Casca_JC,Soothsayer_JC,36
Casca_JC,Trebonius_JC,108
Cassius_JC,Antony_JC,359
Cassius_JC,Artemidorus_JC,163
Cassius_JC,Brutus_JC,3417
Cassius_JC,COMMONERS_JC,17
Cassius_JC,Caesar_JC,464
Cassius_JC,Calphurnia_JC,57
Cassius_JC,Casca_JC,1778
Cassius_JC,Cicero_JC,57
Cassius_JC,Cinna_JC,917
Cassius_JC,Decius_JC,796
Cassius_JC,Flavius_JC,57
Cassius_JC,Lepidus_JC,163
Cassius_JC,Lucius_JC,139
Cassius_JC,Marullus_JC,57
Cassius_JC,Messenger_JC,82
Cassius_JC,Metellus_JC,739
Cassius_JC,Octavius_JC,82
Cassius_JC,PETITIONERS_JC,163
Cassius_JC,PLEBEIANS.0_JC,1640
Cassius_JC,Pindarus_JC,331
Cassius_JC,Poet_JC,39
Cassius_JC,Popilius_JC,22
Cassius_JC,Portia_JC,57
Cassius_JC,Publius_JC,163
Cassius_JC,SENATORS_JC,163
Cassius_JC,SOLDIERS.ANTONY_JC,82
Cassius_JC,SOLDIERS.BRUTUS.Lucilius_JC,520
Cassius_JC,SOLDIERS.BRUTUS.Messala_JC,584
Cassius_JC,SOLDIERS.BRUTUS.Titinius_JC,794
Cassius_JC,SOLDIERS.BRUTUS_JC,467
Cassius_JC,SOLDIERS.CASSIUS_JC,48
Cassius_JC,Soothsayer_JC,180
