speaker,listener,total_words
Arthur_Jn,ATTENDANTS.ENGLISH_Jn,12
Arthur_Jn,ATTENDANTS.FRENCH_Jn,84
Arthur_Jn,Arthur_Jn,109
Arthur_Jn,Austria_Jn,84
Arthur_Jn,Bastard_Jn,43
Arthur_Jn,Blanche_Jn,31
Arthur_Jn,Chatillion_Jn,31
Arthur_Jn,Constance_Jn,95
Arthur_Jn,Dauphin_Jn,84
Arthur_Jn,EXECUTIONERS_Jn,115
Arthur_Jn,Hubert_Jn,997
Arthur_Jn,KingJohn_Jn,43
Arthur_Jn,KingPhilip_Jn,84
Arthur_Jn,Pembroke_Jn,31
Arthur_Jn,QueenEleanor_Jn,43
Arthur_Jn,SOLDIERS.ENGLISH_Jn,31
Arthur_Jn,SOLDIERS.FRENCH_Jn,84
Arthur_Jn,Salisbury_Jn,42
Austria_Jn,ATTENDANTS.FRENCH_Jn,231
Austria_Jn,ATTENDANTS_Jn,74
Austria_Jn,Arthur_Jn,305
Austria_Jn,Bastard_Jn,134
Austria_Jn,Blanche_Jn,134
Austria_Jn,CITIZENS_Jn,33
Austria_Jn,Chatillion_Jn,66
Austria_Jn,Constance_Jn,305
Austria_Jn,Dauphin_Jn,305
Austria_Jn,HERALDS.ENGLISH_Jn,27
Austria_Jn,HERALDS.FRENCH_Jn,27
Austria_Jn,KingJohn_Jn,134
Austria_Jn,KingPhilip_Jn,305
Austria_Jn,Pandulph_Jn,42
Austria_Jn,Pembroke_Jn,60
Austria_Jn,QueenEleanor_Jn,134
Austria_Jn,SOLDIERS.ENGLISH_Jn,60
Austria_Jn,SOLDIERS.FRENCH_Jn,231
Austria_Jn,Salisbury_Jn,134
Bastard_Jn,ATTENDANTS.ENGLISH_Jn,57
Bastard_Jn,ATTENDANTS.FRENCH_Jn,803
Bastard_Jn,ATTENDANTS_Jn,90
Bastard_Jn,Arthur_Jn,1533
Bastard_Jn,Austria_Jn,893
Bastard_Jn,Bastard_Jn,384
Bastard_Jn,Bigot_Jn,1022
Bastard_Jn,Blanche_Jn,893
Bastard_Jn,CITIZENS_Jn,691
Bastard_Jn,Chatillion_Jn,207
Bastard_Jn,Constance_Jn,893
Bastard_Jn,Dauphin_Jn,1381
Bastard_Jn,Essex_Jn,1057
Bastard_Jn,Gurney_Jn,139
Bastard_Jn,HERALDS.ENGLISH_Jn,596
Bastard_Jn,HERALDS.FRENCH_Jn,596
Bastard_Jn,Hubert_Jn,890
Bastard_Jn,KingJohn_Jn,3002
Bastard_Jn,KingPhilip_Jn,893
Bastard_Jn,LadyFaulconbridge_Jn,412
Bastard_Jn,MESSENGERS.ENGLISH.1_Jn,202
Bastard_Jn,Melun_Jn,488
Bastard_Jn,Pandulph_Jn,558
Bastard_Jn,Pembroke_Jn,1825
Bastard_Jn,Peter_Jn,131
Bastard_Jn,PrinceHenry_Jn,357
Bastard_Jn,QueenEleanor_Jn,2007
Bastard_Jn,RobertFaulconbridge_Jn,1057
Bastard_Jn,SOLDIERS.ENGLISH_Jn,1291
Bastard_Jn,SOLDIERS.FRENCH_Jn,1291
Bastard_Jn,Salisbury_Jn,2972
Bigot_Jn,Arthur_Jn,73
Bigot_Jn,Bastard_Jn,63
Bigot_Jn,Hubert_Jn,44
Bigot_Jn,Pembroke_Jn,73
Bigot_Jn,Salisbury_Jn,73
Blanche_Jn,ATTENDANTS.FRENCH_Jn,153
Blanche_Jn,ATTENDANTS_Jn,274
Blanche_Jn,Arthur_Jn,427
Blanche_Jn,Austria_Jn,427
Blanche_Jn,Bastard_Jn,427
Blanche_Jn,CITIZENS_Jn,134
Blanche_Jn,Chatillion_Jn,19
Blanche_Jn,Constance_Jn,427
Blanche_Jn,Dauphin_Jn,427
Blanche_Jn,HERALDS.ENGLISH_Jn,134
Blanche_Jn,HERALDS.FRENCH_Jn,134
Blanche_Jn,KingJohn_Jn,427
Blanche_Jn,KingPhilip_Jn,427
Blanche_Jn,Pandulph_Jn,274
