speaker,listener,total_words
Armado_LLL,Armado_LLL,262
Armado_LLL,Berowne_LLL,482
Armado_LLL,Boy_LLL,1820
Armado_LLL,Boyet_LLL,482
Armado_LLL,Costard_LLL,1101
Armado_LLL,Dull_LLL,488
Armado_LLL,Dumaine_LLL,482
Armado_LLL,Holofernes_LLL,461
Armado_LLL,Jaquenetta_LLL,48
Armado_LLL,Katherine_LLL,482
Armado_LLL,King_LLL,482
Armado_LLL,Longaville_LLL,482
Armado_LLL,Marcade_LLL,171
Armado_LLL,Maria_LLL,482
Armado_LLL,Nathaniel_LLL,461
Armado_LLL,Princess_LLL,482
Armado_LLL,Rosaline_LLL,482
Berowne_LLL,Armado_LLL,101
Berowne_LLL,BLACKAMOORS_LLL,163
Berowne_LLL,Berowne_LLL,581
Berowne_LLL,Boy_LLL,231
Berowne_LLL,Boyet_LLL,1806
Berowne_LLL,Costard_LLL,761
Berowne_LLL,Dull_LLL,133
Berowne_LLL,Dumaine_LLL,4851
Berowne_LLL,Holofernes_LLL,108
Berowne_LLL,Jaquenetta_LLL,136
Berowne_LLL,Katherine_LLL,1806
Berowne_LLL,King_LLL,5018
Berowne_LLL,LORDS_LLL,72
Berowne_LLL,Longaville_LLL,4988
Berowne_LLL,MUSICIANS_LLL,163
Berowne_LLL,Marcade_LLL,361
Berowne_LLL,Maria_LLL,1806
Berowne_LLL,Nathaniel_LLL,33
Berowne_LLL,Princess_LLL,1806
Berowne_LLL,Rosaline_LLL,1806
Boy_LLL,Armado_LLL,1371
Boy_LLL,BLACKAMOORS_LLL,94
Boy_LLL,Berowne_LLL,129
Boy_LLL,Boyet_LLL,129
Boy_LLL,Costard_LLL,411
Boy_LLL,Dull_LLL,203
Boy_LLL,Dumaine_LLL,129
Boy_LLL,Holofernes_LLL,203
Boy_LLL,Katherine_LLL,129
Boy_LLL,King_LLL,129
Boy_LLL,Longaville_LLL,129
Boy_LLL,MUSICIANS_LLL,94
Boy_LLL,Maria_LLL,129
Boy_LLL,Nathaniel_LLL,203
Boy_LLL,Princess_LLL,129
Boy_LLL,Rosaline_LLL,129
Boyet_LLL,Armado_LLL,70
Boyet_LLL,BLACKAMOORS_LLL,167
Boyet_LLL,Berowne_LLL,437
Boyet_LLL,Boy_LLL,162
Boyet_LLL,Costard_LLL,812
Boyet_LLL,Dumaine_LLL,418
Boyet_LLL,Forester_LLL,485
Boyet_LLL,Holofernes_LLL,61
Boyet_LLL,Katherine_LLL,2040
Boyet_LLL,King_LLL,408
Boyet_LLL,LORDS_LLL,713
Boyet_LLL,Longaville_LLL,469
Boyet_LLL,MUSICIANS_LLL,167
Boyet_LLL,Maria_LLL,2223
Boyet_LLL,Nathaniel_LLL,29
Boyet_LLL,Princess_LLL,2040
Boyet_LLL,Rosaline_LLL,2156
Costard_LLL,Armado_LLL,606
Costard_LLL,Berowne_LLL,1135
Costard_LLL,Boy_LLL,606
