speaker,listener,total_words
ATTENDANTS.ALBANY_Lr,ATTENDANTS.0_Lr,50
ATTENDANTS.ALBANY_Lr,ATTENDANTS.LEAR.0.3_Lr,50
ATTENDANTS.ALBANY_Lr,Albany_Lr,50
ATTENDANTS.ALBANY_Lr,Edgar_Lr,50
ATTENDANTS.ALBANY_Lr,Edmund_Lr,50
ATTENDANTS.ALBANY_Lr,Herald_Lr,50
ATTENDANTS.ALBANY_Lr,SOLDIERS.CAPTAINS.2_Lr,50
ATTENDANTS.ALBANY_Lr,SOLDIERS_Lr,50
ATTENDANTS.CORDELIA.1_Lr,ATTENDANTS.0_Lr,223
ATTENDANTS.CORDELIA.1_Lr,ATTENDANTS.LEAR.0.3_Lr,223
ATTENDANTS.CORDELIA.1_Lr,Albany_Lr,10
ATTENDANTS.CORDELIA.1_Lr,Cordelia_Lr,28
ATTENDANTS.CORDELIA.1_Lr,Doctor_Lr,18
ATTENDANTS.CORDELIA.1_Lr,Edgar_Lr,148
ATTENDANTS.CORDELIA.1_Lr,Gloucester_Lr,138
ATTENDANTS.CORDELIA.1_Lr,Goneril_Lr,10
ATTENDANTS.CORDELIA.1_Lr,Herald_Lr,10
ATTENDANTS.CORDELIA.1_Lr,Kent_Lr,85
ATTENDANTS.CORDELIA.1_Lr,Lear_Lr,73
ATTENDANTS.CORDELIA.1_Lr,Regan_Lr,10
ATTENDANTS.CORDELIA.1_Lr,SERVANTS.CORDELIA_Lr,63
ATTENDANTS.CORDELIA.1_Lr,SOLDIERS.CAPTAINS.2_Lr,10
ATTENDANTS.CORDELIA.1_Lr,SOLDIERS_Lr,10
ATTENDANTS.LEAR.0.3_Lr,ATTENDANTS.0_Lr,132
ATTENDANTS.LEAR.0.3_Lr,ATTENDANTS.LEAR_Lr,132
ATTENDANTS.LEAR.0.3_Lr,Kent_Lr,132
ATTENDANTS.LEAR.0.3_Lr,Lear_Lr,132
ATTENDANTS.X.1_Lr,ATTENDANTS.0_Lr,6
ATTENDANTS.X.1_Lr,ATTENDANTS.LEAR.0.3_Lr,6
ATTENDANTS.X.1_Lr,Fool_Lr,6
ATTENDANTS.X.1_Lr,Lear_Lr,6
ATTENDANTS.X.2_Lr,ATTENDANTS.0_Lr,30
ATTENDANTS.X.2_Lr,ATTENDANTS.LEAR.0.3_Lr,30
ATTENDANTS.X.2_Lr,Fool_Lr,30
ATTENDANTS.X.2_Lr,Kent_Lr,30
ATTENDANTS.X.2_Lr,Lear_Lr,18
ATTENDANTS.X.3_Lr,ATTENDANTS.0_Lr,145
ATTENDANTS.X.3_Lr,ATTENDANTS.LEAR.0.3_Lr,145
ATTENDANTS.X.3_Lr,Kent_Lr,145
ATTENDANTS.X.4_Lr,ATTENDANTS.0_Lr,288
ATTENDANTS.X.4_Lr,ATTENDANTS.LEAR.0.3_Lr,288
ATTENDANTS.X.4_Lr,Kent_Lr,288
Albany_Lr,ATTENDANTS.0_Lr,1358
Albany_Lr,ATTENDANTS.ALBANY_Lr,72
Albany_Lr,ATTENDANTS.CORDELIA.1_Lr,154
Albany_Lr,ATTENDANTS.LEAR.0.3_Lr,1358
Albany_Lr,ATTENDANTS.LEAR_Lr,25
Albany_Lr,ATTENDANTS.REGAN_Lr,108
Albany_Lr,Cordelia_Lr,154
Albany_Lr,Edgar_Lr,493
Albany_Lr,Edmund_Lr,738
Albany_Lr,Fool_Lr,49
Albany_Lr,Goneril_Lr,1072
Albany_Lr,Herald_Lr,472
Albany_Lr,Kent_Lr,298
Albany_Lr,Lear_Lr,186
Albany_Lr,MESSENGERS.X.1_Lr,99
Albany_Lr,MESSENGERS.X.3_Lr,130
Albany_Lr,Regan_Lr,597
Albany_Lr,SOLDIERS.CAPTAINS.2_Lr,777
Albany_Lr,SOLDIERS.GONERIL_Lr,108
Albany_Lr,SOLDIERS.REGAN_Lr,108
Albany_Lr,SOLDIERS_Lr,777
Albany_Lr Cornwall_Lr,ATTENDANTS_Lr,6
Albany_Lr Cornwall_Lr,Albany_Lr,6
Albany_Lr Cornwall_Lr,Cordelia_Lr,6
Albany_Lr Cornwall_Lr,Cornwall_Lr,6
Albany_Lr Cornwall_Lr,Edmund_Lr,6
Albany_Lr Cornwall_Lr,Goneril_Lr,6
Albany_Lr Cornwall_Lr,Kent_Lr,6
Albany_Lr Cornwall_Lr,Lear_Lr,6
Albany_Lr Cornwall_Lr,Regan_Lr,6
Burgundy_Lr,ATTENDANTS.0_Lr,93
Burgundy_Lr,ATTENDANTS_Lr,93
Burgundy_Lr,Albany_Lr,93
Burgundy_Lr,Cordelia_Lr,93
Burgundy_Lr,Cornwall_Lr,93
Burgundy_Lr,Edmund_Lr,93
Burgundy_Lr,France_Lr,93
Burgundy_Lr,Gloucester_Lr,93
Burgundy_Lr,Goneril_Lr,93
Burgundy_Lr,Lear_Lr,93
Burgundy_Lr,Regan_Lr,93
Cordelia_Lr,ATTENDANTS.0_Lr,865
Cordelia_Lr,ATTENDANTS.CORDELIA.1_Lr,371
Cordelia_Lr,ATTENDANTS.CORDELIA_Lr,215
Cordelia_Lr,ATTENDANTS.LEAR.0.3_Lr,633
Cordelia_Lr,ATTENDANTS_Lr,316
Cordelia_Lr,Albany_Lr,316
Cordelia_Lr,Burgundy_Lr,129
Cordelia_Lr,Cornwall_Lr,316
Cordelia_Lr,Doctor_Lr,586
Cordelia_Lr,Edmund_Lr,363
Cordelia_Lr,France_Lr,232
