speaker,listener,total_words
Abhorson_MM,Barnardine_MM,47
Abhorson_MM,Duke_MM,23
Abhorson_MM,OFFICERS.1_MM,109
Abhorson_MM,Pompey_MM,207
Abhorson_MM,Provost_MM,42
Angelo_MM,ATTENDANTS_MM,478
Angelo_MM,Angelo_MM,432
Angelo_MM,CITIZENS_MM,380
Angelo_MM,Duke_MM,456
Angelo_MM,Elbow_MM,106
Angelo_MM,Escalus_MM,1060
Angelo_MM,FriarPeter_MM,372
Angelo_MM,Froth_MM,106
Angelo_MM,Isabella_MM,1436
Angelo_MM,Justice_MM,330
Angelo_MM,Lucio_MM,796
Angelo_MM,Mariana_MM,330
Angelo_MM,OFFICERS.0.1_MM,167
Angelo_MM,OFFICERS.0.2_MM,167
Angelo_MM,OFFICERS_MM,486
Angelo_MM,Pompey_MM,106
Angelo_MM,Provost_MM,905
Angelo_MM,SERVANTS.1_MM,154
Angelo_MM,SERVANTS_MM,330
Angelo_MM,Varrius_MM,380
Angelo_MM Escalus_MM,ATTENDANTS_MM,11
Angelo_MM Escalus_MM,Angelo_MM,11
Angelo_MM Escalus_MM,CITIZENS_MM,11
Angelo_MM Escalus_MM,Duke_MM,11
Angelo_MM Escalus_MM,Escalus_MM,11
Angelo_MM Escalus_MM,Lucio_MM,11
Angelo_MM Escalus_MM,OFFICERS_MM,11
Angelo_MM Escalus_MM,Provost_MM,11
Angelo_MM Escalus_MM,Varrius_MM,11
Barnardine_MM,Abhorson_MM,148
Barnardine_MM,Duke_MM,85
Barnardine_MM,Pompey_MM,148
Bawd_MM,Bawd_MM,39
Bawd_MM,Claudio_MM,12
Bawd_MM,Duke_MM,85
Bawd_MM,Escalus_MM,85
Bawd_MM,GENTLEMEN.1_MM,86
Bawd_MM,GENTLEMEN.2_MM,86
Bawd_MM,Juliet_MM,12
Bawd_MM,Lucio_MM,86
Bawd_MM,OFFICERS_MM,97
Bawd_MM,Pompey_MM,87
Bawd_MM,Provost_MM,97
Boy_MM,Mariana_MM,52
Claudio_MM,Duke_MM,87
Claudio_MM,GENTLEMEN.2_MM,462
Claudio_MM,Isabella_MM,376
