speaker,listener,total_words
Bottom_MND,ATTENDANTS_MND,574
Bottom_MND,Bottom_MND,229
Bottom_MND,Demetrius_MND,836
Bottom_MND,FAIRIES.TITANIA.Cobweb_MND,244
Bottom_MND,FAIRIES.TITANIA.Mote_MND,408
Bottom_MND,FAIRIES.TITANIA.Mustardseed_MND,408
Bottom_MND,FAIRIES.TITANIA.Peaseblossom_MND,408
Bottom_MND,Flute_MND,1270
Bottom_MND,Helena_MND,836
Bottom_MND,Hermia_MND,836
Bottom_MND,Hippolyta_MND,574
Bottom_MND,Lysander_MND,836
Bottom_MND,Oberon_MND,262
Bottom_MND,Philostrate_MND,574
Bottom_MND,Quince_MND,1142
Bottom_MND,RobinGoodfellow_MND,72
Bottom_MND,Snout_MND,1435
Bottom_MND,Snug_MND,1142
Bottom_MND,Starveling_MND,1404
Bottom_MND,Theseus_MND,574
Bottom_MND,Titania_MND,1160
Demetrius_MND,ATTENDANTS_MND,408
Demetrius_MND,Bottom_MND,344
Demetrius_MND,Egeus_MND,186
Demetrius_MND,FAIRIES.OBERON_MND,220
Demetrius_MND,Flute_MND,66
Demetrius_MND,Helena_MND,1037
Demetrius_MND,Hermia_MND,788
Demetrius_MND,Hippolyta_MND,408
Demetrius_MND,Lysander_MND,926
Demetrius_MND,Oberon_MND,722
Demetrius_MND,Philostrate_MND,222
Demetrius_MND,Quince_MND,15
Demetrius_MND,RobinGoodfellow_MND,628
Demetrius_MND,Snout_MND,30
Demetrius_MND,Snug_MND,122
Demetrius_MND,Starveling_MND,122
Demetrius_MND,Theseus_MND,408
Demetrius_MND,Titania_MND,26
Egeus_MND,ATTENDANTS_MND,383
Egeus_MND,Bottom_MND,110
Egeus_MND,Demetrius_MND,383
Egeus_MND,Helena_MND,110
Egeus_MND,Hermia_MND,383
Egeus_MND,Hippolyta_MND,383
Egeus_MND,Lysander_MND,383
Egeus_MND,Theseus_MND,383
FAIRIES.TITANIA.0.1_MND,FAIRIES.TITANIA_MND,63
FAIRIES.TITANIA.0.1_MND,Titania_MND,63
FAIRIES.TITANIA.0.2_MND,FAIRIES.TITANIA_MND,16
FAIRIES.TITANIA.0.2_MND,Titania_MND,16
FAIRIES.TITANIA.1_MND,RobinGoodfellow_MND,227
FAIRIES.TITANIA.Cobweb_MND,Bottom_MND,13
FAIRIES.TITANIA.Cobweb_MND,Demetrius_MND,3
FAIRIES.TITANIA.Cobweb_MND,FAIRIES.TITANIA.Mote_MND,13
FAIRIES.TITANIA.Cobweb_MND,FAIRIES.TITANIA.Mustardseed_MND,13
