speaker,listener,total_words
ATTENDANTS.BASSANIO.Leonardo_MV,Bassanio_MV,17
ATTENDANTS.BASSANIO.Leonardo_MV,Gratiano_MV,8
ATTENDANTS.PORTIA.Balthazar_MV,Nerissa_MV,10
ATTENDANTS.PORTIA.Balthazar_MV,Portia_MV,10
ATTENDANTS.PORTIA.Stephano_MV,ATTENDANTS.DUKE.0_MV,65
ATTENDANTS.PORTIA.Stephano_MV,Jessica_MV,65
ATTENDANTS.PORTIA.Stephano_MV,Lorenzo_MV,65
Antonio_MV,ATTENDANTS.BASSANIO_MV,110
Antonio_MV,ATTENDANTS.DUKE.0_MV,446
Antonio_MV,ATTENDANTS.DUKE_MV,549
Antonio_MV,ATTENDANTS.PORTIA.Stephano_MV,110
Antonio_MV,Bassanio_MV,1401
Antonio_MV,Duke_MV,549
Antonio_MV,Gratiano_MV,828
Antonio_MV,Jailer_MV,167
Antonio_MV,Jessica_MV,110
Antonio_MV,Lorenzo_MV,179
Antonio_MV,MUSICIANS_MV,110
Antonio_MV,Nerissa_MV,417
Antonio_MV,Portia_MV,417
Antonio_MV,Salarino_MV,150
Antonio_MV,Salerio_MV,595
Antonio_MV,Shylock_MV,855
Antonio_MV,Solanio_MV,317
Arragon_MV,ATTENDANTS.ARRAGON_MV,602
Arragon_MV,ATTENDANTS.PORTIA_MV,602
Arragon_MV,Nerissa_MV,602
Arragon_MV,Portia_MV,602
Bassanio_MV,ATTENDANTS.BASSANIO.1_MV,50
Bassanio_MV,ATTENDANTS.BASSANIO.2_MV,166
Bassanio_MV,ATTENDANTS.BASSANIO.Leonardo_MV,214
Bassanio_MV,ATTENDANTS.BASSANIO_MV,1696
Bassanio_MV,ATTENDANTS.DUKE.0_MV,837
Bassanio_MV,ATTENDANTS.DUKE_MV,276
Bassanio_MV,ATTENDANTS.PORTIA.Stephano_MV,410
Bassanio_MV,ATTENDANTS.PORTIA_MV,1286
Bassanio_MV,Antonio_MV,1446
Bassanio_MV,Duke_MV,276
Bassanio_MV,Gratiano_MV,2401
Bassanio_MV,Jessica_MV,840
Bassanio_MV,LanceletGobbo_MV,166
Bassanio_MV,Lorenzo_MV,871
Bassanio_MV,MUSICIANS_MV,410
Bassanio_MV,Nerissa_MV,2074
Bassanio_MV,OldGobbo_MV,166
Bassanio_MV,Portia_MV,2064
Bassanio_MV,Salarino_MV,24
Bassanio_MV,Salerio_MV,954
Bassanio_MV,Shylock_MV,386
Bassanio_MV,Solanio_MV,24
Duke_MV,ATTENDANTS.DUKE.0_MV,155
Duke_MV,ATTENDANTS.DUKE_MV,700
Duke_MV,Antonio_MV,700
Duke_MV,Bassanio_MV,700
Duke_MV,Gratiano_MV,700
Duke_MV,Nerissa_MV,426
Duke_MV,Portia_MV,155
