speaker,listener,total_words
ATTENDANTS_Mac,Banquo_Mac,15
ATTENDANTS_Mac,LadyMacbeth_Mac,21
ATTENDANTS_Mac,Lennox_Mac,21
ATTENDANTS_Mac,Macbeth_Mac,21
ATTENDANTS_Mac,Ross_Mac,21
Angus_Mac,Banquo_Mac,97
Angus_Mac,Caithness_Mac,68
Angus_Mac,Lennox_Mac,68
Angus_Mac,Macbeth_Mac,97
Angus_Mac,Menteith_Mac,68
Angus_Mac,Ross_Mac,97
Angus_Mac,SOLDIERS.MALCOLM_Mac,68
Banquo_Mac,ATTENDANTS_Mac,174
Banquo_Mac,Angus_Mac,202
Banquo_Mac,Banquo_Mac,104
Banquo_Mac,Donalbain_Mac,149
Banquo_Mac,Duncan_Mac,79
Banquo_Mac,Fleance_Mac,252
Banquo_Mac,LadyMacbeth_Mac,186
Banquo_Mac,Lennox_Mac,244
Banquo_Mac,MURDERERS.1_Mac,43
Banquo_Mac,MURDERERS.2_Mac,43
Banquo_Mac,MURDERERS.3_Mac,43
Banquo_Mac,Macbeth_Mac,683
Banquo_Mac,Macduff_Mac,157
Banquo_Mac,Malcolm_Mac,149
Banquo_Mac,Ross_Mac,367
Banquo_Mac,SERVANTS.X.1_Mac,121
Banquo_Mac,SERVANTS.X.2_Mac,95
Banquo_Mac,WITCHES.1_Mac,196
Banquo_Mac,WITCHES.2_Mac,196
Banquo_Mac,WITCHES.3_Mac,196
Caithness_Mac,Angus_Mac,85
Caithness_Mac,Lennox_Mac,85
Caithness_Mac,Menteith_Mac,85
Caithness_Mac,SOLDIERS.MALCOLM_Mac,85
Doctor1_Mac,Macduff_Mac,43
Doctor1_Mac,Malcolm_Mac,43
Doctor2_Mac,ATTENDANTS_Mac,65
Doctor2_Mac,Gentlewoman_Mac,299
Doctor2_Mac,LadyMacbeth_Mac,127
Doctor2_Mac,Macbeth_Mac,65
Doctor2_Mac,Seyton_Mac,65
Donalbain_Mac,Banquo_Mac,42
Donalbain_Mac,LadyMacbeth_Mac,42
Donalbain_Mac,Lennox_Mac,42
Donalbain_Mac,Macbeth_Mac,42
Donalbain_Mac,Macduff_Mac,42
Donalbain_Mac,Malcolm_Mac,76
Donalbain_Mac,Ross_Mac,42
Duncan_Mac,ATTENDANTS_Mac,611
Duncan_Mac,Angus_Mac,408
Duncan_Mac,Banquo_Mac,357
Duncan_Mac,Donalbain_Mac,611
Duncan_Mac,LadyMacbeth_Mac,144
Duncan_Mac,Lennox_Mac,611
Duncan_Mac,Macbeth_Mac,145
Duncan_Mac,Macduff_Mac,164
Duncan_Mac,Malcolm_Mac,611
Duncan_Mac,Ross_Mac,408
Duncan_Mac,SOLDIERS.Captain_Mac,84
Fleance_Mac,Banquo_Mac,22
Gentlewoman_Mac,Doctor2_Mac,239
Gentlewoman_Mac,LadyMacbeth_Mac,105
Hecate_Mac,WITCHES.1_Mac,321
Hecate_Mac,WITCHES.2_Mac,321
Hecate_Mac,WITCHES.3_Mac,321
LadyMacbeth_Mac,ATTENDANTS_Mac,454
LadyMacbeth_Mac,Angus_Mac,86
LadyMacbeth_Mac,Banquo_Mac,303
LadyMacbeth_Mac,Doctor2_Mac,229
LadyMacbeth_Mac,Donalbain_Mac,94
LadyMacbeth_Mac,Duncan_Mac,86
LadyMacbeth_Mac,Gentlewoman_Mac,229
LadyMacbeth_Mac,LadyMacbeth_Mac,548
LadyMacbeth_Mac,Lennox_Mac,462
LadyMacbeth_Mac,MESSENGERS.1_Mac,229
LadyMacbeth_Mac,Macbeth_Mac,1272
LadyMacbeth_Mac,Macduff_Mac,130
LadyMacbeth_Mac,Malcolm_Mac,94
LadyMacbeth_Mac,Ross_Mac,462
LadyMacbeth_Mac,SERVANTS.X.2_Mac,22
LadyMacbeth_Mac,SERVANTS.X.3_Mac,24
LadyMacduff_Mac,MURDERERS_Mac,17
LadyMacduff_Mac,MacduffsSon_Mac,398
LadyMacduff_Mac,Ross_Mac,140
Lennox_Mac,ATTENDANTS_Mac,63
Lennox_Mac,Angus_Mac,84
Lennox_Mac,Banquo_Mac,85
Lennox_Mac,Caithness_Mac,64
Lennox_Mac,Donalbain_Mac,73
Lennox_Mac,Duncan_Mac,20
Lennox_Mac,LadyMacbeth_Mac,96
Lennox_Mac,Lord_Mac,297
Lennox_Mac,Macbeth_Mac,245
Lennox_Mac,Macduff_Mac,66
Lennox_Mac,Malcolm_Mac,73
Lennox_Mac,Menteith_Mac,64
Lennox_Mac,Ross_Mac,116
