speaker,listener,total_words
Bianca_Oth,ATTENDANTS.0_Oth,349
Bianca_Oth,Cassio_Oth,318
Bianca_Oth,Emilia_Oth,31
Bianca_Oth,Gratiano_Oth,77
Bianca_Oth,Iago_Oth,200
Bianca_Oth,Lodovico_Oth,77
Bianca_Oth,OFFICERS.0_Oth,349
Bianca_Oth,Othello_Oth,123
Bianca_Oth,Roderigo_Oth,46
Brabantio_Oth,ATTENDANTS_Oth,285
Brabantio_Oth,Cassio_Oth,861
Brabantio_Oth,Desdemona_Oth,302
Brabantio_Oth,Duke_Oth,576
Brabantio_Oth,Iago_Oth,1069
Brabantio_Oth,OFFICERS.0_Oth,861
Brabantio_Oth,OFFICERS_Oth,861
Brabantio_Oth,Othello_Oth,861
Brabantio_Oth,Roderigo_Oth,1312
Brabantio_Oth,SENATORS_Oth,576
Brabantio_Oth,SERVANTS.BRABANTIO_Oth,243
Cassio_Oth,ATTENDANTS.0_Oth,1501
Cassio_Oth,ATTENDANTS_Oth,162
Cassio_Oth,Bianca_Oth,279
Cassio_Oth,Clown_Oth,77
Cassio_Oth,Desdemona_Oth,487
Cassio_Oth,Emilia_Oth,503
Cassio_Oth,GENTLEMEN.1_Oth,489
Cassio_Oth,GENTLEMEN.2_Oth,408
Cassio_Oth,GENTLEMEN.3_Oth,489
Cassio_Oth,GENTLEMEN_Oth,228
Cassio_Oth,Gratiano_Oth,215
Cassio_Oth,Iago_Oth,1702
Cassio_Oth,Lodovico_Oth,215
Cassio_Oth,MESSENGERS.X.2_Oth,415
Cassio_Oth,MUSICIANS_Oth,23
Cassio_Oth,Montano_Oth,901
Cassio_Oth,OFFICERS.0_Oth,2432
Cassio_Oth,OFFICERS_Oth,252
Cassio_Oth,Othello_Oth,565
Cassio_Oth,Roderigo_Oth,328
Cassio_Oth,SERVANTS_Oth,290
Cassio_Oth Gratiano_Oth Montano_Oth Bianca_Oth,ATTENDANTS.0_Oth,5
Cassio_Oth Gratiano_Oth Montano_Oth Bianca_Oth,Desdemona_Oth,5
Cassio_Oth Gratiano_Oth Montano_Oth Bianca_Oth,Emilia_Oth,5
Cassio_Oth Gratiano_Oth Montano_Oth Bianca_Oth,Gratiano_Oth,5
Cassio_Oth Gratiano_Oth Montano_Oth Bianca_Oth,Iago_Oth,5
Cassio_Oth Gratiano_Oth Montano_Oth Bianca_Oth,Montano_Oth,5
Cassio_Oth Gratiano_Oth Montano_Oth Bianca_Oth,OFFICERS.0_Oth,5
