speaker,listener,total_words
Antiochus_Per,Antiochus_Per,63
Antiochus_Per,Daughter_Per,319
Antiochus_Per,FOLLOWERS.ANTIOCHUS_Per,395
Antiochus_Per,Pericles_Per,395
Antiochus_Per,Thaliard_Per,165
Bawd_Per,Bolt_Per,868
Bawd_Per,Lysimachus_Per,181
Bawd_Per,Marina_Per,801
Bawd_Per,PIRATES_Per,15
Bawd_Per,Pander_Per,532
Bawd_Per,SERVANTS.CERIMON.0.2_Per,1078
Bolt_Per,Bawd_Per,535
Bolt_Per,Lysimachus_Per,87
Bolt_Per,Marina_Per,688
Bolt_Per,PIRATES_Per,83
Bolt_Per,Pander_Per,264
Bolt_Per,SERVANTS.CERIMON.0.2_Per,827
Cerimon_Per,ATTENDANTS.PERICLES_Per,138
Cerimon_Per,GENTLEMEN.EPHESUS.1_Per,676
Cerimon_Per,GENTLEMEN.EPHESUS.2_Per,676
Cerimon_Per,Helicanus_Per,138
Cerimon_Per,LORDS.MYTILENE.0.1_Per,138
Cerimon_Per,Lysimachus_Per,138
Cerimon_Per,Marina_Per,138
Cerimon_Per,PRIESTESSES_Per,138
Cerimon_Per,Pericles_Per,138
Cerimon_Per,Philemon_Per,19
Cerimon_Per,SERVANTS.CERIMON.0.2_Per,322
Cerimon_Per,SERVANTS.CERIMON_Per,524
Cerimon_Per,SUPPLIANTS.1_Per,63
Cerimon_Per,SUPPLIANTS.2_Per,63
Cerimon_Per,Thaisa_Per,211
Cleon_Per,ATTENDANTS.PERICLES_Per,65
Cleon_Per,CITIZENS.TARSUS_Per,672
Cleon_Per,Dionyza_Per,984
Cleon_Per,LORDS.TARSUS.1_Per,162
Cleon_Per,Lychorida_Per,133
Cleon_Per,Marina.Infant_Per,133
Cleon_Per,Pericles_Per,198
Cleon_Per,SERVANTS.CERIMON.0.2_Per,312
Cleon_Per Dionyza_Per CITIZENS.TARSUS_Per,ATTENDANTS.PERICLES_Per,16
Cleon_Per Dionyza_Per CITIZENS.TARSUS_Per,CITIZENS.TARSUS_Per,16
Cleon_Per Dionyza_Per CITIZENS.TARSUS_Per,Cleon_Per,16
Cleon_Per Dionyza_Per CITIZENS.TARSUS_Per,Dionyza_Per,16
Cleon_Per Dionyza_Per CITIZENS.TARSUS_Per,Pericles_Per,16
Daughter_Per,Antiochus_Per,21
Daughter_Per,FOLLOWERS.ANTIOCHUS_Per,21
Daughter_Per,Pericles_Per,21
Diana_Per,LORDS.MYTILENE.0.1_Per,90
Diana_Per,Pericles_Per,90
Diana_Per,SERVANTS.CERIMON.0.2_Per,90
Dionyza_Per,CITIZENS.TARSUS_Per,92
Dionyza_Per,Cleon_Per,441
Dionyza_Per,Leonine_Per,370
Dionyza_Per,Lychorida_Per,47
Dionyza_Per,Marina.Infant_Per,47
Dionyza_Per,Marina_Per,261
Dionyza_Per,Pericles_Per,47
Dionyza_Per,SERVANTS.CERIMON.0.2_Per,719
FISHERMEN.1_Per,FISHERMEN.2_Per,294
FISHERMEN.1_Per,FISHERMEN.3_Per,294
FISHERMEN.1_Per,Pericles_Per,426
FISHERMEN.2_Per,FISHERMEN.1_Per,303
FISHERMEN.2_Per,FISHERMEN.3_Per,303
FISHERMEN.2_Per,Pericles_Per,303
FISHERMEN.3_Per,FISHERMEN.1_Per,189
FISHERMEN.3_Per,FISHERMEN.2_Per,189
FISHERMEN.3_Per,Pericles_Per,189
GENTLEMEN.EPHESUS.1_Per,Cerimon_Per,121
GENTLEMEN.EPHESUS.1_Per,GENTLEMEN.EPHESUS.2_Per,121
