speaker,listener,total_words
AbbotOfWestminster_R2,Aumerle_R2,83
AbbotOfWestminster_R2,BishopOfCarlisle_R2,83
AbbotOfWestminster_R2,OFFICERS.0.1_R2,83
Aumerle_R2,ATTENDANTS.HENRY_R2,31
Aumerle_R2,AbbotOfWestminster_R2,280
Aumerle_R2,Bagot_R2,398
Aumerle_R2,BishopOfCarlisle_R2,407
Aumerle_R2,DuchessOfYork_R2,126
Aumerle_R2,Fitzwater_R2,262
Aumerle_R2,Gaunt_R2,23
Aumerle_R2,Green_R2,136
Aumerle_R2,HERALDS.X_R2,262
Aumerle_R2,HenryIV_1H4,456
Aumerle_R2,Hotspur_R2,319
Aumerle_R2,LORDS.1_R2,262
Aumerle_R2,LORDS_R2,26
Aumerle_R2,LordMarshal_R2,54
Aumerle_R2,Northumberland_R2,293
Aumerle_R2,OFFICERS.0.1_R2,272
Aumerle_R2,OFFICERS.0_R2,262
Aumerle_R2,OFFICERS_R2,262
Aumerle_R2,RichardII_R2,294
Aumerle_R2,SOLDIERS.HENRY_R2,31
Aumerle_R2,SOLDIERS.RICHARD_R2,127
Aumerle_R2,Salisbury_R2,76
Aumerle_R2,Scroop_R2,52
Aumerle_R2,Surrey_R2,262
Aumerle_R2,York_R2,192
Bagot_R2,AbbotOfWestminster_R2,114
Bagot_R2,Aumerle_R2,114
Bagot_R2,BishopOfCarlisle_R2,114
Bagot_R2,Bushy_R2,88
Bagot_R2,Fitzwater_R2,114
Bagot_R2,Green_R2,88
Bagot_R2,HERALDS.X_R2,114
Bagot_R2,HenryIV_1H4,114
Bagot_R2,Hotspur_R2,114
Bagot_R2,LORDS.1_R2,114
Bagot_R2,Northumberland_R2,114
Bagot_R2,OFFICERS.0_R2,114
Bagot_R2,OFFICERS_R2,114
Bagot_R2,Surrey_R2,114
Berkeley_R2,HenryIV_1H4,87
Berkeley_R2,Hotspur_R2,87
Berkeley_R2,Northumberland_R2,87
Berkeley_R2,Ross_R2,87
Berkeley_R2,Willoughby_R2,87
BishopOfCarlisle_R2,AbbotOfWestminster_R2,444
BishopOfCarlisle_R2,Aumerle_R2,588
BishopOfCarlisle_R2,Bagot_R2,423
BishopOfCarlisle_R2,Fitzwater_R2,423
BishopOfCarlisle_R2,HERALDS.X_R2,423
BishopOfCarlisle_R2,HenryIV_1H4,423
BishopOfCarlisle_R2,Hotspur_R2,423
BishopOfCarlisle_R2,LORDS.1_R2,423
BishopOfCarlisle_R2,Northumberland_R2,423
BishopOfCarlisle_R2,OFFICERS.0.1_R2,21
BishopOfCarlisle_R2,OFFICERS.0_R2,423
BishopOfCarlisle_R2,OFFICERS_R2,423
BishopOfCarlisle_R2,RichardII_R2,144
BishopOfCarlisle_R2,SOLDIERS.RICHARD_R2,144
BishopOfCarlisle_R2,Salisbury_R2,82
BishopOfCarlisle_R2,Scroop_R2,82
BishopOfCarlisle_R2,Surrey_R2,423
BishopOfCarlisle_R2,York_R2,325
Bushy_R2,Aumerle_R2,32
Bushy_R2,Bagot_R2,315
Bushy_R2,Green_R2,163
Bushy_R2,HenryIV_1H4,19
Bushy_R2,LORDS_R2,19
Bushy_R2,Northumberland_R2,19
