speaker,listener,total_words
Apothecary_Rom,Juliet_Rom,71
Apothecary_Rom,Romeo_Rom,71
Benvolio_Rom,ATTENDANTS_Rom,130
Benvolio_Rom,Boy_Rom,130
Benvolio_Rom,CITIZENS_Rom,266
Benvolio_Rom,Capulet_Rom,272
Benvolio_Rom,Cousin_Rom,12
Benvolio_Rom,GUESTS_Rom,12
Benvolio_Rom,Juliet_Rom,12
Benvolio_Rom,LadyCapulet_Rom,272
Benvolio_Rom,LadyMontague_Rom,515
Benvolio_Rom,MASKERS_Rom,130
Benvolio_Rom,Mercutio_Rom,458
Benvolio_Rom,Montague_Rom,515
Benvolio_Rom,Nurse_Rom,21
Benvolio_Rom,Petruchio_Rom,46
Benvolio_Rom,PrinceEscalus_Rom,260
Benvolio_Rom,Romeo_Rom,737
Benvolio_Rom,SERVANTS.CAPULET.Gregory_Rom,44
Benvolio_Rom,SERVANTS.CAPULET.Peter_Rom,9
Benvolio_Rom,SERVANTS.CAPULET.Sampson_Rom,44
Benvolio_Rom,SERVANTS.CAPULET.X.1_Rom,76
Benvolio_Rom,SERVANTS.CAPULET_Rom,58
Benvolio_Rom,SERVANTS.MONTAGUE.1_Rom,44
Benvolio_Rom,SERVANTS.MONTAGUE.Abram_Rom,44
Benvolio_Rom,SERVANTS.MONTAGUE_Rom,140
Benvolio_Rom,SERVANTS_Rom,260
Benvolio_Rom,Tybalt_Rom,388
CITIZENS.0.1_Rom,Benvolio_Rom,41
CITIZENS.0.1_Rom,CITIZENS_Rom,41
CITIZENS.0.1_Rom,Tybalt_Rom,41
CITIZENS_Rom,Benvolio_Rom,24
CITIZENS_Rom,SERVANTS.CAPULET.Gregory_Rom,24
CITIZENS_Rom,SERVANTS.CAPULET.Sampson_Rom,24
CITIZENS_Rom,SERVANTS.MONTAGUE.1_Rom,24
CITIZENS_Rom,SERVANTS.MONTAGUE.Abram_Rom,24
CITIZENS_Rom,Tybalt_Rom,24
Capulet_Rom,ATTENDANTS.PRINCE_Rom,90
Capulet_Rom,ATTENDANTS_Rom,601
Capulet_Rom,Benvolio_Rom,635
Capulet_Rom,Boy_Rom,601
Capulet_Rom,CITIZENS_Rom,34
Capulet_Rom,Cousin_Rom,601
Capulet_Rom,FriarLawrence_Rom,280
Capulet_Rom,GUESTS_Rom,601
Capulet_Rom,Juliet_Rom,1977
Capulet_Rom,LadyCapulet_Rom,2359
Capulet_Rom,LadyMontague_Rom,20
Capulet_Rom,MASKERS_Rom,601
Capulet_Rom,MUSICIANS_Rom,190
Capulet_Rom,Mercutio_Rom,601
Capulet_Rom,Montague_Rom,59
Capulet_Rom,Nurse_Rom,1807
Capulet_Rom,Paris_Rom,945
Capulet_Rom,PrinceEscalus_Rom,90
Capulet_Rom,Romeo_Rom,691
Capulet_Rom,SERVANTS.CAPULET.Gregory_Rom,34
Capulet_Rom,SERVANTS.CAPULET.Sampson_Rom,34
Capulet_Rom,SERVANTS.CAPULET.X.1_Rom,328
Capulet_Rom,SERVANTS.CAPULET_Rom,805
Capulet_Rom,SERVANTS.MONTAGUE.1_Rom,34
Capulet_Rom,SERVANTS.MONTAGUE.Abram_Rom,34
Capulet_Rom,SERVANTS.MONTAGUE.Balthasar_Rom,90
Capulet_Rom,SERVANTS.PARIS.1_Rom,90
Capulet_Rom,SERVANTS.TYBALT.1_Rom,269
Capulet_Rom,Tybalt_Rom,560
Capulet_Rom,WATCHMEN.0.2_Rom,90
Capulet_Rom,WATCHMEN.0.3_Rom,90
Capulet_Rom,WATCHMEN_Rom,90
Chorus_Rom,Chorus_Rom,254
Cousin_Rom,ATTENDANTS_Rom,29
Cousin_Rom,Benvolio_Rom,29
Cousin_Rom,Boy_Rom,29
Cousin_Rom,Capulet_Rom,29
Cousin_Rom,GUESTS_Rom,29
Cousin_Rom,Juliet_Rom,29
Cousin_Rom,LadyCapulet_Rom,29
Cousin_Rom,MASKERS_Rom,29
Cousin_Rom,Mercutio_Rom,29
Cousin_Rom,Nurse_Rom,29
Cousin_Rom,Romeo_Rom,29
Cousin_Rom,SERVANTS.CAPULET_Rom,29
Cousin_Rom,SERVANTS.TYBALT.1_Rom,29
Cousin_Rom,Tybalt_Rom,29
FriarJohn_Rom,FriarLawrence_Rom,117
FriarJohn_Rom,Juliet_Rom,127
FriarLawrence_Rom,ATTENDANTS.PRINCE_Rom,428
FriarLawrence_Rom,Capulet_Rom,680
FriarLawrence_Rom,FriarJohn_Rom,97
FriarLawrence_Rom,FriarLawrence_Rom,310
FriarLawrence_Rom,Juliet_Rom,1731
FriarLawrence_Rom,LadyCapulet_Rom,680
FriarLawrence_Rom,MUSICIANS_Rom,252
FriarLawrence_Rom,Montague_Rom,428
FriarLawrence_Rom,Nurse_Rom,745
FriarLawrence_Rom,Paris_Rom,1059
FriarLawrence_Rom,PrinceEscalus_Rom,428
FriarLawrence_Rom,Romeo_Rom,2135
FriarLawrence_Rom,SERVANTS.MONTAGUE.Balthasar_Rom,714
FriarLawrence_Rom,SERVANTS.PARIS.1_Rom,428
FriarLawrence_Rom,WATCHMEN.0.2_Rom,428
FriarLawrence_Rom,WATCHMEN.0.3_Rom,428
FriarLawrence_Rom,WATCHMEN_Rom,428
Juliet_Rom,ATTENDANTS_Rom,82
Juliet_Rom,Benvolio_Rom,82
Juliet_Rom,Boy_Rom,82
Juliet_Rom,Capulet_Rom,240
Juliet_Rom,Cousin_Rom,82
Juliet_Rom,FriarLawrence_Rom,681
Juliet_Rom,GUESTS_Rom,82
Juliet_Rom,Juliet_Rom,1106
Juliet_Rom,LadyCapulet_Rom,768
Juliet_Rom,MASKERS_Rom,82
Juliet_Rom,Mercutio_Rom,82
Juliet_Rom,Nurse_Rom,1797
Juliet_Rom,Paris_Rom,292
Juliet_Rom,Romeo_Rom,1725
Juliet_Rom,SERVANTS.CAPULET_Rom,82
Juliet_Rom,SERVANTS.MONTAGUE.Balthasar_Rom,145
Juliet_Rom,SERVANTS.PARIS.1_Rom,28
Juliet_Rom,WATCHMEN_Rom,28
LadyCapulet_Rom,ATTENDANTS.PRINCE_Rom,51
LadyCapulet_Rom,Benvolio_Rom,134
LadyCapulet_Rom,CITIZENS_Rom,134
LadyCapulet_Rom,Capulet_Rom,378
LadyCapulet_Rom,FriarLawrence_Rom,107
LadyCapulet_Rom,Juliet_Rom,1003
LadyCapulet_Rom,LadyMontague_Rom,119
LadyCapulet_Rom,MUSICIANS_Rom,56
LadyCapulet_Rom,Montague_Rom,119
LadyCapulet_Rom,Nurse_Rom,643
LadyCapulet_Rom,Paris_Rom,127
LadyCapulet_Rom,PrinceEscalus_Rom,170
LadyCapulet_Rom,Romeo_Rom,51
LadyCapulet_Rom,SERVANTS.CAPULET.Gregory_Rom,15
LadyCapulet_Rom,SERVANTS.CAPULET.Sampson_Rom,15
LadyCapulet_Rom,SERVANTS.CAPULET.X.2_Rom,15
LadyCapulet_Rom,SERVANTS.MONTAGUE.1_Rom,15
LadyCapulet_Rom,SERVANTS.MONTAGUE.Abram_Rom,15
LadyCapulet_Rom,SERVANTS.MONTAGUE.Balthasar_Rom,51
LadyCapulet_Rom,SERVANTS.PARIS.1_Rom,51
LadyCapulet_Rom,SERVANTS_Rom,119
LadyCapulet_Rom,Tybalt_Rom,134
LadyCapulet_Rom,WATCHMEN.0.2_Rom,51
LadyCapulet_Rom,WATCHMEN.0.3_Rom,51
LadyCapulet_Rom,WATCHMEN_Rom,51
LadyMontague_Rom,Benvolio_Rom,37
LadyMontague_Rom,CITIZENS_Rom,13
LadyMontague_Rom,Capulet_Rom,13
LadyMontague_Rom,LadyCapulet_Rom,13
LadyMontague_Rom,Montague_Rom,37
LadyMontague_Rom,SERVANTS.CAPULET.Gregory_Rom,13
LadyMontague_Rom,SERVANTS.CAPULET.Sampson_Rom,13
LadyMontague_Rom,SERVANTS.MONTAGUE.1_Rom,13
LadyMontague_Rom,SERVANTS.MONTAGUE.Abram_Rom,13
LadyMontague_Rom,Tybalt_Rom,13
MUSICIANS.0.1_Rom,Juliet_Rom,108
MUSICIANS.0.1_Rom,MUSICIANS_Rom,108
MUSICIANS.0.1_Rom,Nurse_Rom,28
MUSICIANS.0.1_Rom,SERVANTS.CAPULET.Peter_Rom,70
MUSICIANS.0.2_Rom,Juliet_Rom,49
MUSICIANS.0.2_Rom,MUSICIANS_Rom,49
MUSICIANS.0.2_Rom,SERVANTS.CAPULET.Peter_Rom,27
MUSICIANS.0.3_Rom,Juliet_Rom,11
MUSICIANS.0.3_Rom,MUSICIANS_Rom,11
MUSICIANS.0.3_Rom,SERVANTS.CAPULET.Peter_Rom,11
Mercutio_Rom,ATTENDANTS_Rom,672
Mercutio_Rom,Benvolio_Rom,2617
Mercutio_Rom,Boy_Rom,672
Mercutio_Rom,MASKERS_Rom,672
Mercutio_Rom,Nurse_Rom,187
Mercutio_Rom,Petruchio_Rom,246
Mercutio_Rom,Romeo_Rom,1943
Mercutio_Rom,SERVANTS.CAPULET.Peter_Rom,187
Mercutio_Rom,SERVANTS.CAPULET_Rom,246
Mercutio_Rom,SERVANTS.MONTAGUE_Rom,727
Mercutio_Rom,Tybalt_Rom,246
Montague_Rom,ATTENDANTS.PRINCE_Rom,102
Montague_Rom,Benvolio_Rom,291
Montague_Rom,CITIZENS_Rom,40
Montague_Rom,Capulet_Rom,142
Montague_Rom,FriarLawrence_Rom,102
Montague_Rom,Juliet_Rom,102
Montague_Rom,LadyCapulet_Rom,142
Montague_Rom,LadyMontague_Rom,291
Montague_Rom,Paris_Rom,102
Montague_Rom,PrinceEscalus_Rom,128
Montague_Rom,Romeo_Rom,125
Montague_Rom,SERVANTS.CAPULET.Gregory_Rom,14
Montague_Rom,SERVANTS.CAPULET.Sampson_Rom,14
Montague_Rom,SERVANTS.MONTAGUE.1_Rom,14
Montague_Rom,SERVANTS.MONTAGUE.Abram_Rom,14
Montague_Rom,SERVANTS.MONTAGUE.Balthasar_Rom,102
Montague_Rom,SERVANTS.PARIS.1_Rom,102
Montague_Rom,SERVANTS_Rom,26
Montague_Rom,Tybalt_Rom,40
Montague_Rom,WATCHMEN.0.2_Rom,102
Montague_Rom,WATCHMEN.0.3_Rom,102
Montague_Rom,WATCHMEN_Rom,102
Nurse_Rom,ATTENDANTS_Rom,61
Nurse_Rom,Benvolio_Rom,149
Nurse_Rom,Boy_Rom,61
Nurse_Rom,Capulet_Rom,210
Nurse_Rom,Cousin_Rom,61
Nurse_Rom,FriarLawrence_Rom,296
Nurse_Rom,GUESTS_Rom,61
Nurse_Rom,Juliet_Rom,2080
Nurse_Rom,LadyCapulet_Rom,891
Nurse_Rom,MASKERS_Rom,61
Nurse_Rom,MUSICIANS_Rom,84
Nurse_Rom,Mercutio_Rom,149
Nurse_Rom,Paris_Rom,59
Nurse_Rom,Romeo_Rom,925
Nurse_Rom,SERVANTS.CAPULET.Peter_Rom,601
Nurse_Rom,SERVANTS.CAPULET_Rom,61
Paris_Rom,Capulet_Rom,147
Paris_Rom,FriarLawrence_Rom,297
Paris_Rom,Juliet_Rom,616
Paris_Rom,LadyCapulet_Rom,107
Paris_Rom,MUSICIANS_Rom,67
Paris_Rom,Nurse_Rom,67
Paris_Rom,Romeo_Rom,116
Paris_Rom,SERVANTS.CAPULET.X.1_Rom,40
Paris_Rom,SERVANTS.MONTAGUE.Balthasar_Rom,116
Paris_Rom,SERVANTS.PARIS.1_Rom,298
Petruchio_Rom,Benvolio_Rom,5
Petruchio_Rom,Mercutio_Rom,5
Petruchio_Rom,Romeo_Rom,5
Petruchio_Rom,SERVANTS.CAPULET_Rom,5
Petruchio_Rom,SERVANTS.MONTAGUE_Rom,5
Petruchio_Rom,Tybalt_Rom,5
PrinceEscalus_Rom,ATTENDANTS.PRINCE_Rom,562
PrinceEscalus_Rom,Benvolio_Rom,347
PrinceEscalus_Rom,CITIZENS_Rom,347
PrinceEscalus_Rom,Capulet_Rom,694
PrinceEscalus_Rom,FriarLawrence_Rom,363
PrinceEscalus_Rom,Juliet_Rom,363
PrinceEscalus_Rom,LadyCapulet_Rom,694
PrinceEscalus_Rom,LadyMontague_Rom,347
PrinceEscalus_Rom,Montague_Rom,670
PrinceEscalus_Rom,Paris_Rom,363
PrinceEscalus_Rom,Romeo_Rom,363
PrinceEscalus_Rom,SERVANTS.CAPULET.Gregory_Rom,199
PrinceEscalus_Rom,SERVANTS.CAPULET.Sampson_Rom,199
PrinceEscalus_Rom,SERVANTS.MONTAGUE.1_Rom,199
PrinceEscalus_Rom,SERVANTS.MONTAGUE.Abram_Rom,199
PrinceEscalus_Rom,SERVANTS.MONTAGUE.Balthasar_Rom,363
PrinceEscalus_Rom,SERVANTS.PARIS.1_Rom,363
PrinceEscalus_Rom,SERVANTS_Rom,148
PrinceEscalus_Rom,Tybalt_Rom,347
PrinceEscalus_Rom,WATCHMEN.0.2_Rom,363
PrinceEscalus_Rom,WATCHMEN.0.3_Rom,363
PrinceEscalus_Rom,WATCHMEN_Rom,363
Romeo_Rom,ATTENDANTS_Rom,589
Romeo_Rom,Apothecary_Rom,237
Romeo_Rom,Benvolio_Rom,1970
Romeo_Rom,Boy_Rom,589
Romeo_Rom,Capulet_Rom,278
Romeo_Rom,Cousin_Rom,278
Romeo_Rom,FriarLawrence_Rom,1011
Romeo_Rom,GUESTS_Rom,278
Romeo_Rom,Juliet_Rom,2580
Romeo_Rom,LadyCapulet_Rom,278
Romeo_Rom,MASKERS_Rom,589
Romeo_Rom,Mercutio_Rom,975
Romeo_Rom,Nurse_Rom,701
Romeo_Rom,Paris_Rom,832
Romeo_Rom,Petruchio_Rom,134
Romeo_Rom,Romeo_Rom,446
Romeo_Rom,SERVANTS.CAPULET.Peter_Rom,284
Romeo_Rom,SERVANTS.CAPULET.X.1_Rom,183
Romeo_Rom,SERVANTS.CAPULET_Rom,412
Romeo_Rom,SERVANTS.MONTAGUE.Balthasar_Rom,1136
Romeo_Rom,SERVANTS.MONTAGUE_Rom,153
Romeo_Rom,SERVANTS.PARIS.1_Rom,353
Romeo_Rom,SERVANTS.TYBALT.1_Rom,117
Romeo_Rom,Tybalt_Rom,338
SERVANTS.CAPULET.0.1_Rom,ATTENDANTS_Rom,94
SERVANTS.CAPULET.0.1_Rom,Benvolio_Rom,94
SERVANTS.CAPULET.0.1_Rom,Boy_Rom,94
SERVANTS.CAPULET.0.1_Rom,Capulet_Rom,62
SERVANTS.CAPULET.0.1_Rom,Juliet_Rom,15
SERVANTS.CAPULET.0.1_Rom,LadyCapulet_Rom,47
SERVANTS.CAPULET.0.1_Rom,MASKERS_Rom,94
SERVANTS.CAPULET.0.1_Rom,Mercutio_Rom,94
SERVANTS.CAPULET.0.1_Rom,Nurse_Rom,47
SERVANTS.CAPULET.0.1_Rom,Romeo_Rom,94
SERVANTS.CAPULET.0.1_Rom,SERVANTS.CAPULET_Rom,156
SERVANTS.CAPULET.0.2_Rom,ATTENDANTS_Rom,25
SERVANTS.CAPULET.0.2_Rom,Benvolio_Rom,25
SERVANTS.CAPULET.0.2_Rom,Boy_Rom,25
SERVANTS.CAPULET.0.2_Rom,Capulet_Rom,22
SERVANTS.CAPULET.0.2_Rom,Juliet_Rom,22
SERVANTS.CAPULET.0.2_Rom,MASKERS_Rom,25
SERVANTS.CAPULET.0.2_Rom,Mercutio_Rom,25
SERVANTS.CAPULET.0.2_Rom,Romeo_Rom,25
SERVANTS.CAPULET.0.2_Rom,SERVANTS.CAPULET_Rom,47
SERVANTS.CAPULET.0.3_Rom,ATTENDANTS_Rom,33
SERVANTS.CAPULET.0.3_Rom,Benvolio_Rom,33
SERVANTS.CAPULET.0.3_Rom,Boy_Rom,33
SERVANTS.CAPULET.0.3_Rom,MASKERS_Rom,33
SERVANTS.CAPULET.0.3_Rom,Mercutio_Rom,33
SERVANTS.CAPULET.0.3_Rom,Romeo_Rom,33
SERVANTS.CAPULET.0.3_Rom,SERVANTS.CAPULET_Rom,33
SERVANTS.CAPULET.0_Rom,ATTENDANTS_Rom,7
SERVANTS.CAPULET.0_Rom,Benvolio_Rom,7
SERVANTS.CAPULET.0_Rom,Boy_Rom,7
SERVANTS.CAPULET.0_Rom,Capulet_Rom,7
SERVANTS.CAPULET.0_Rom,Cousin_Rom,7
SERVANTS.CAPULET.0_Rom,GUESTS_Rom,7
SERVANTS.CAPULET.0_Rom,Juliet_Rom,7
SERVANTS.CAPULET.0_Rom,LadyCapulet_Rom,7
SERVANTS.CAPULET.0_Rom,MASKERS_Rom,7
SERVANTS.CAPULET.0_Rom,Mercutio_Rom,7
SERVANTS.CAPULET.0_Rom,Nurse_Rom,7
SERVANTS.CAPULET.0_Rom,Romeo_Rom,7
SERVANTS.CAPULET.0_Rom,SERVANTS.CAPULET_Rom,7
SERVANTS.CAPULET.0_Rom,SERVANTS.TYBALT.1_Rom,7
SERVANTS.CAPULET.0_Rom,Tybalt_Rom,7
SERVANTS.CAPULET.Gregory_Rom,Benvolio_Rom,16
SERVANTS.CAPULET.Gregory_Rom,SERVANTS.CAPULET.Sampson_Rom,199
SERVANTS.CAPULET.Gregory_Rom,SERVANTS.MONTAGUE.1_Rom,66
SERVANTS.CAPULET.Gregory_Rom,SERVANTS.MONTAGUE.Abram_Rom,66
SERVANTS.CAPULET.Peter_Rom,Benvolio_Rom,3
SERVANTS.CAPULET.Peter_Rom,Juliet_Rom,258
SERVANTS.CAPULET.Peter_Rom,MUSICIANS_Rom,258
SERVANTS.CAPULET.Peter_Rom,Mercutio_Rom,3
SERVANTS.CAPULET.Peter_Rom,Nurse_Rom,58
SERVANTS.CAPULET.Peter_Rom,Romeo_Rom,58
SERVANTS.CAPULET.Sampson_Rom,Benvolio_Rom,22
SERVANTS.CAPULET.Sampson_Rom,SERVANTS.CAPULET.Gregory_Rom,340
SERVANTS.CAPULET.Sampson_Rom,SERVANTS.MONTAGUE.1_Rom,156
SERVANTS.CAPULET.Sampson_Rom,SERVANTS.MONTAGUE.Abram_Rom,156
SERVANTS.CAPULET.X.1_Rom,Benvolio_Rom,98
SERVANTS.CAPULET.X.1_Rom,Romeo_Rom,98
SERVANTS.CAPULET.X.1_Rom,SERVANTS.CAPULET.X.1_Rom,77
SERVANTS.CAPULET.X.2_Rom,Juliet_Rom,46
SERVANTS.CAPULET.X.2_Rom,LadyCapulet_Rom,46
SERVANTS.CAPULET.X.2_Rom,Nurse_Rom,46
SERVANTS.MONTAGUE.Abram_Rom,Benvolio_Rom,4
SERVANTS.MONTAGUE.Abram_Rom,SERVANTS.CAPULET.Gregory_Rom,39
SERVANTS.MONTAGUE.Abram_Rom,SERVANTS.CAPULET.Sampson_Rom,39
SERVANTS.MONTAGUE.Abram_Rom,SERVANTS.MONTAGUE.1_Rom,39
SERVANTS.MONTAGUE.Balthasar_Rom,ATTENDANTS.PRINCE_Rom,61
SERVANTS.MONTAGUE.Balthasar_Rom,Capulet_Rom,61
SERVANTS.MONTAGUE.Balthasar_Rom,FriarLawrence_Rom,162
SERVANTS.MONTAGUE.Balthasar_Rom,Juliet_Rom,298
SERVANTS.MONTAGUE.Balthasar_Rom,LadyCapulet_Rom,61
SERVANTS.MONTAGUE.Balthasar_Rom,Montague_Rom,61
SERVANTS.MONTAGUE.Balthasar_Rom,Paris_Rom,199
SERVANTS.MONTAGUE.Balthasar_Rom,PrinceEscalus_Rom,61
SERVANTS.MONTAGUE.Balthasar_Rom,Romeo_Rom,298
SERVANTS.MONTAGUE.Balthasar_Rom,SERVANTS.PARIS.1_Rom,98
SERVANTS.MONTAGUE.Balthasar_Rom,WATCHMEN.0.2_Rom,61
SERVANTS.MONTAGUE.Balthasar_Rom,WATCHMEN.0.3_Rom,61
SERVANTS.MONTAGUE.Balthasar_Rom,WATCHMEN_Rom,61
SERVANTS.PARIS.1_Rom,ATTENDANTS.PRINCE_Rom,51
SERVANTS.PARIS.1_Rom,Capulet_Rom,51
SERVANTS.PARIS.1_Rom,FriarLawrence_Rom,51
SERVANTS.PARIS.1_Rom,Juliet_Rom,98
SERVANTS.PARIS.1_Rom,LadyCapulet_Rom,51
SERVANTS.PARIS.1_Rom,Montague_Rom,51
SERVANTS.PARIS.1_Rom,Paris_Rom,98
SERVANTS.PARIS.1_Rom,PrinceEscalus_Rom,51
SERVANTS.PARIS.1_Rom,Romeo_Rom,78
SERVANTS.PARIS.1_Rom,SERVANTS.MONTAGUE.Balthasar_Rom,78
SERVANTS.PARIS.1_Rom,WATCHMEN.0.2_Rom,51
SERVANTS.PARIS.1_Rom,WATCHMEN.0.3_Rom,51
SERVANTS.PARIS.1_Rom,WATCHMEN_Rom,64
Tybalt_Rom,ATTENDANTS_Rom,159
Tybalt_Rom,Benvolio_Rom,350
Tybalt_Rom,Boy_Rom,159
Tybalt_Rom,Capulet_Rom,159
Tybalt_Rom,Cousin_Rom,159
Tybalt_Rom,GUESTS_Rom,159
Tybalt_Rom,Juliet_Rom,159
Tybalt_Rom,LadyCapulet_Rom,159
Tybalt_Rom,MASKERS_Rom,159
Tybalt_Rom,Mercutio_Rom,285
Tybalt_Rom,Nurse_Rom,159
Tybalt_Rom,Petruchio_Rom,126
Tybalt_Rom,Romeo_Rom,243
Tybalt_Rom,SERVANTS.CAPULET.Gregory_Rom,51
Tybalt_Rom,SERVANTS.CAPULET.Sampson_Rom,51
Tybalt_Rom,SERVANTS.CAPULET_Rom,285
Tybalt_Rom,SERVANTS.MONTAGUE.1_Rom,51
Tybalt_Rom,SERVANTS.MONTAGUE.Abram_Rom,51
Tybalt_Rom,SERVANTS.MONTAGUE_Rom,126
Tybalt_Rom,SERVANTS.TYBALT.1_Rom,65
WATCHMEN.0.1_Rom,ATTENDANTS.PRINCE_Rom,50
WATCHMEN.0.1_Rom,Capulet_Rom,50
WATCHMEN.0.1_Rom,FriarLawrence_Rom,61
WATCHMEN.0.1_Rom,Juliet_Rom,188
WATCHMEN.0.1_Rom,LadyCapulet_Rom,50
WATCHMEN.0.1_Rom,Paris_Rom,188
WATCHMEN.0.1_Rom,PrinceEscalus_Rom,50
WATCHMEN.0.1_Rom,Romeo_Rom,188
WATCHMEN.0.1_Rom,SERVANTS.MONTAGUE.Balthasar_Rom,188
WATCHMEN.0.1_Rom,SERVANTS.PARIS.1_Rom,188
WATCHMEN.0.1_Rom,WATCHMEN.0.2_Rom,73
WATCHMEN.0.1_Rom,WATCHMEN.0.3_Rom,61
WATCHMEN.0.1_Rom,WATCHMEN_Rom,188
WATCHMEN.0.2_Rom,Juliet_Rom,13
WATCHMEN.0.2_Rom,Paris_Rom,13
WATCHMEN.0.2_Rom,Romeo_Rom,13
WATCHMEN.0.2_Rom,SERVANTS.MONTAGUE.Balthasar_Rom,13
WATCHMEN.0.2_Rom,SERVANTS.PARIS.1_Rom,13
WATCHMEN.0.2_Rom,WATCHMEN_Rom,13
WATCHMEN.0.3_Rom,FriarLawrence_Rom,32
WATCHMEN.0.3_Rom,Juliet_Rom,32
WATCHMEN.0.3_Rom,Paris_Rom,32
