speaker,listener,total_words
Baptista_Shr,Bianca_Shr,738
Baptista_Shr,Biondello_Shr,879
Baptista_Shr,Gremio_Shr,1475
Baptista_Shr,Grumio_Shr,252
Baptista_Shr,Hortensio_Shr,804
Baptista_Shr,Katherine_Shr,588
Baptista_Shr,Lord_Shr,1763
Baptista_Shr,Lucentio_Shr,1195
Baptista_Shr,Merchant_Shr,349
Baptista_Shr,Officer_Shr,78
Baptista_Shr,Page_Shr,1763
Baptista_Shr,Petruchio_Shr,794
Baptista_Shr,SERVANTS.BAPTISTA_Shr,452
Baptista_Shr,SERVANTS.LORD.0_Shr,1763
Baptista_Shr,SERVANTS.LORD_Shr,1763
Baptista_Shr,SERVANTS.PETRUCHIO.0.2_Shr,400
Baptista_Shr,SERVANTS.PETRUCHIO_Shr,107
Baptista_Shr,SERVANTS_Shr,111
Baptista_Shr,Sly_Shr,1763
Baptista_Shr,Tranio_Shr,1606
Baptista_Shr,Vincentio_Shr,207
Baptista_Shr,Widow_Shr,17
Bianca_Shr,Baptista_Shr,143
Bianca_Shr,Biondello_Shr,83
Bianca_Shr,Gremio_Shr,143
Bianca_Shr,Grumio_Shr,74
Bianca_Shr,Hortensio_Shr,507
Bianca_Shr,Katherine_Shr,297
Bianca_Shr,Lord_Shr,723
Bianca_Shr,Lucentio_Shr,559
Bianca_Shr,Merchant_Shr,83
Bianca_Shr,Officer_Shr,13
Bianca_Shr,Page_Shr,723
Bianca_Shr,Petruchio_Shr,96
Bianca_Shr,SERVANTS.BAPTISTA.1_Shr,12
Bianca_Shr,SERVANTS.BAPTISTA_Shr,23
Bianca_Shr,SERVANTS.LORD.0_Shr,723
Bianca_Shr,SERVANTS.LORD_Shr,723
Bianca_Shr,SERVANTS.PETRUCHIO.0.2_Shr,161
Bianca_Shr,SERVANTS.PETRUCHIO_Shr,13
Bianca_Shr,SERVANTS_Shr,83
Bianca_Shr,Sly_Shr,723
Bianca_Shr,Tranio_Shr,195
Bianca_Shr,Vincentio_Shr,96
Bianca_Shr,Widow_Shr,83
Biondello_Shr,Baptista_Shr,482
Biondello_Shr,Bianca_Shr,499
Biondello_Shr,Gremio_Shr,632
Biondello_Shr,Grumio_Shr,194
Biondello_Shr,Hortensio_Shr,60
Biondello_Shr,Katherine_Shr,134
Biondello_Shr,Lord_Shr,1031
Biondello_Shr,Lucentio_Shr,838
Biondello_Shr,Merchant_Shr,128
Biondello_Shr,Officer_Shr,25
Biondello_Shr,Page_Shr,1031
Biondello_Shr,Petruchio_Shr,194
Biondello_Shr,SERVANTS.BAPTISTA_Shr,424
Biondello_Shr,SERVANTS.LORD.0_Shr,1031
Biondello_Shr,SERVANTS.LORD_Shr,1031
Biondello_Shr,SERVANTS.PETRUCHIO.0.2_Shr,551
Biondello_Shr,SERVANTS.PETRUCHIO_Shr,134
Biondello_Shr,SERVANTS_Shr,45
Biondello_Shr,Sly_Shr,1031
Biondello_Shr,Tranio_Shr,670
Biondello_Shr,Vincentio_Shr,179
Curtis_Shr,Grumio_Shr,243
Curtis_Shr,Lord_Shr,243
Curtis_Shr,Page_Shr,243
Curtis_Shr,SERVANTS.LORD.0_Shr,243
Curtis_Shr,SERVANTS.LORD_Shr,243
Curtis_Shr,SERVANTS.PETRUCHIO.0.2_Shr,58
Curtis_Shr,SERVANTS.PETRUCHIO.Nathaniel_Shr,58
Curtis_Shr,SERVANTS.PETRUCHIO.Peter_Shr,58
Curtis_Shr,Sly_Shr,243
Gremio_Shr,Baptista_Shr,749
Gremio_Shr,Bianca_Shr,124
Gremio_Shr,Biondello_Shr,260
Gremio_Shr,Grumio_Shr,545
Gremio_Shr,Hortensio_Shr,870
Gremio_Shr,Katherine_Shr,211
Gremio_Shr,Lord_Shr,1702
Gremio_Shr,Lucentio_Shr,1198
Gremio_Shr,Merchant_Shr,90
Gremio_Shr,Officer_Shr,94
Gremio_Shr,Page_Shr,1702
Gremio_Shr,Petruchio_Shr,705
Gremio_Shr,SERVANTS.BAPTISTA_Shr,109
Gremio_Shr,SERVANTS.LORD.0_Shr,1702
Gremio_Shr,SERVANTS.LORD_Shr,1702
Gremio_Shr,SERVANTS.PETRUCHIO.0.2_Shr,152
Gremio_Shr,SERVANTS.PETRUCHIO_Shr,108
Gremio_Shr,SERVANTS_Shr,34
Gremio_Shr,Sly_Shr,1702
Gremio_Shr,Tranio_Shr,1335
Gremio_Shr,Vincentio_Shr,117
Gremio_Shr,Widow_Shr,11
Gremio_Shr Tranio_Shr,Baptista_Shr,16
Gremio_Shr Tranio_Shr,Gremio_Shr,16
Gremio_Shr Tranio_Shr,Katherine_Shr,16
Gremio_Shr Tranio_Shr,Lord_Shr,16
Gremio_Shr Tranio_Shr,Page_Shr,16
Gremio_Shr Tranio_Shr,Petruchio_Shr,16
Gremio_Shr Tranio_Shr,SERVANTS.LORD.0_Shr,16
Gremio_Shr Tranio_Shr,SERVANTS.LORD_Shr,16
Gremio_Shr Tranio_Shr,Sly_Shr,16
Gremio_Shr Tranio_Shr,Tranio_Shr,16
Grumio_Shr,Baptista_Shr,16
Grumio_Shr,Bianca_Shr,16
Grumio_Shr,Curtis_Shr,805
Grumio_Shr,Gremio_Shr,81
Grumio_Shr,Hortensio_Shr,752
Grumio_Shr,Katherine_Shr,484
Grumio_Shr,Lord_Shr,1879
Grumio_Shr,Lucentio_Shr,81
Grumio_Shr,Page_Shr,1879
Grumio_Shr,Petruchio_Shr,920
Grumio_Shr,SERVANTS.BAPTISTA_Shr,16
Grumio_Shr,SERVANTS.LORD.0_Shr,1879
Grumio_Shr,SERVANTS.LORD_Shr,1879
Grumio_Shr,SERVANTS.PETRUCHIO.0.2_Shr,386
Grumio_Shr,SERVANTS.PETRUCHIO.Joseph_Shr,153
Grumio_Shr,SERVANTS.PETRUCHIO.Nathaniel_Shr,158
Grumio_Shr,SERVANTS.PETRUCHIO.Nicholas_Shr,153
Grumio_Shr,SERVANTS.PETRUCHIO.Peter_Shr,158
Grumio_Shr,SERVANTS.PETRUCHIO.Phillip_Shr,153
Grumio_Shr,Sly_Shr,1879
Grumio_Shr,Tailor_Shr,273
Grumio_Shr,Tranio_Shr,16
Grumio_Shr Biondello_Shr,Biondello_Shr,13
Grumio_Shr Biondello_Shr,Gremio_Shr,13
Grumio_Shr Biondello_Shr,Grumio_Shr,13
Grumio_Shr Biondello_Shr,Hortensio_Shr,13
Grumio_Shr Biondello_Shr,Lord_Shr,13
Grumio_Shr Biondello_Shr,Lucentio_Shr,13
Grumio_Shr Biondello_Shr,Page_Shr,13
Grumio_Shr Biondello_Shr,Petruchio_Shr,13
Grumio_Shr Biondello_Shr,SERVANTS.LORD.0_Shr,13
Grumio_Shr Biondello_Shr,SERVANTS.LORD_Shr,13
Grumio_Shr Biondello_Shr,Sly_Shr,13
Grumio_Shr Biondello_Shr,Tranio_Shr,13
HUNTSMEN.0.1_Shr,HUNTSMEN_Shr,51
HUNTSMEN.0.1_Shr,Lord_Shr,51
HUNTSMEN.0.1_Shr,SERVANTS.LORD_Shr,51
HUNTSMEN.0.1_Shr,Sly_Shr,51
HUNTSMEN.0.2_Shr,HUNTSMEN_Shr,38
HUNTSMEN.0.2_Shr,Lord_Shr,38
HUNTSMEN.0.2_Shr,SERVANTS.LORD_Shr,38
HUNTSMEN.0.2_Shr,Sly_Shr,38
HUNTSMEN.0.3_Shr,HUNTSMEN_Shr,45
HUNTSMEN.0.3_Shr,Lord_Shr,45
