speaker,listener,total_words
Antonio_TGV,Pantino_TGV,324
Antonio_TGV,Proteus_TGV,149
Duke_TGV,Julia_TGV,348
Duke_TGV,OUTLAWS.1_TGV,189
Duke_TGV,OUTLAWS.2_TGV,189
Duke_TGV,OUTLAWS.3_TGV,189
Duke_TGV,Proteus_TGV,838
Duke_TGV,Speed_TGV,165
Duke_TGV,Sylvia_TGV,354
Duke_TGV,Thurio_TGV,929
Duke_TGV,Valentine_TGV,1162
Eglamour_TGV,Eglamour_TGV,104
Eglamour_TGV,Sylvia_TGV,140
Host_TGV,Julia_TGV,215
Host_TGV,MUSICIANS_TGV,189
Host_TGV,Proteus_TGV,189
Host_TGV,Thurio_TGV,189
Julia_TGV,Crab_TGV,15
Julia_TGV,Host_TGV,281
Julia_TGV,Julia_TGV,633
Julia_TGV,Lance_TGV,15
Julia_TGV,Lucetta_TGV,1139
Julia_TGV,MUSICIANS_TGV,184
Julia_TGV,Proteus_TGV,669
Julia_TGV,Sylvia_TGV,935
Julia_TGV,Thurio_TGV,280
Julia_TGV,Valentine_TGV,189
Lance_TGV,Crab_TGV,1441
Lance_TGV,Julia_TGV,102
Lance_TGV,Lance_TGV,250
Lance_TGV,Pantino_TGV,121
Lance_TGV,Proteus_TGV,165
Lance_TGV,Speed_TGV,892
Lance_TGV,Valentine_TGV,63
Lucetta_TGV,Julia_TGV,732
OUTLAWS.1_TGV,OUTLAWS.2_TGV,179
OUTLAWS.1_TGV,OUTLAWS.3_TGV,179
OUTLAWS.1_TGV,Speed_TGV,139
OUTLAWS.1_TGV,Sylvia_TGV,61
OUTLAWS.1_TGV,Valentine_TGV,139
OUTLAWS.1_TGV OUTLAWS.2_TGV OUTLAWS.3_TGV,Duke_TGV,10
OUTLAWS.1_TGV OUTLAWS.2_TGV OUTLAWS.3_TGV,Julia_TGV,10
OUTLAWS.1_TGV OUTLAWS.2_TGV OUTLAWS.3_TGV,OUTLAWS.1_TGV,10
OUTLAWS.1_TGV OUTLAWS.2_TGV OUTLAWS.3_TGV,OUTLAWS.2_TGV,10
OUTLAWS.1_TGV OUTLAWS.2_TGV OUTLAWS.3_TGV,OUTLAWS.3_TGV,10
OUTLAWS.1_TGV OUTLAWS.2_TGV OUTLAWS.3_TGV,Proteus_TGV,10
OUTLAWS.1_TGV OUTLAWS.2_TGV OUTLAWS.3_TGV,Sylvia_TGV,10
OUTLAWS.1_TGV OUTLAWS.2_TGV OUTLAWS.3_TGV,Thurio_TGV,10
OUTLAWS.1_TGV OUTLAWS.2_TGV OUTLAWS.3_TGV,Valentine_TGV,10
OUTLAWS.2_TGV,OUTLAWS.1_TGV,144
OUTLAWS.2_TGV,OUTLAWS.3_TGV,144
OUTLAWS.2_TGV,Speed_TGV,121
OUTLAWS.2_TGV,Sylvia_TGV,8
OUTLAWS.2_TGV,Valentine_TGV,121
OUTLAWS.3_TGV,OUTLAWS.1_TGV,259
OUTLAWS.3_TGV,OUTLAWS.2_TGV,259
OUTLAWS.3_TGV,Speed_TGV,210
OUTLAWS.3_TGV,Sylvia_TGV,49
OUTLAWS.3_TGV,Valentine_TGV,210
Pantino_TGV,Antonio_TGV,220
Pantino_TGV,Crab_TGV,147
Pantino_TGV,Lance_TGV,147
Pantino_TGV,Proteus_TGV,32
Proteus_TGV,Antonio_TGV,157
Proteus_TGV,Crab_TGV,222
Proteus_TGV,Duke_TGV,649
Proteus_TGV,Host_TGV,302
Proteus_TGV,Julia_TGV,1246
Proteus_TGV,Lance_TGV,644
Proteus_TGV,MUSICIANS_TGV,173
Proteus_TGV,Pantino_TGV,200
Proteus_TGV,Proteus_TGV,715
Proteus_TGV,Speed_TGV,779
Proteus_TGV,Sylvia_TGV,583
Proteus_TGV,Thurio_TGV,717
Proteus_TGV,Valentine_TGV,1431
SERVANTS.1_TGV,Proteus_TGV,12
SERVANTS.1_TGV,Speed_TGV,12
