speaker,listener,total_words
ATTENDANTS.OLIVIA.1_TN,Malvolio_TN,26
ATTENDANTS.OLIVIA.1_TN,Maria_TN,26
ATTENDANTS.OLIVIA.1_TN,Olivia_TN,26
ATTENDANTS.ORSINO.Curio_TN,ATTENDANTS.ORSINO_TN,56
ATTENDANTS.ORSINO.Curio_TN,MUSICIANS_TN,56
ATTENDANTS.ORSINO.Curio_TN,Orsino_TN,56
ATTENDANTS.ORSINO.Curio_TN,Viola_TN,43
ATTENDANTS.ORSINO.Valentine_TN,ATTENDANTS.ORSINO.Curio_TN,81
ATTENDANTS.ORSINO.Valentine_TN,ATTENDANTS.ORSINO_TN,81
ATTENDANTS.ORSINO.Valentine_TN,MUSICIANS_TN,81
ATTENDANTS.ORSINO.Valentine_TN,Orsino_TN,81
ATTENDANTS.ORSINO.Valentine_TN,Viola_TN,41
AndrewAguecheek_TN,ATTENDANTS.OLIVIA_TN,185
AndrewAguecheek_TN,ATTENDANTS.ORSINO.Curio_TN,185
AndrewAguecheek_TN,ATTENDANTS.ORSINO_TN,185
AndrewAguecheek_TN,Antonio_TN,218
AndrewAguecheek_TN,Fabian_TN,579
AndrewAguecheek_TN,Feste_TN,440
AndrewAguecheek_TN,Malvolio_TN,71
AndrewAguecheek_TN,Maria_TN,374
AndrewAguecheek_TN,OFFICERS.1_TN,218
AndrewAguecheek_TN,OFFICERS.2_TN,218
AndrewAguecheek_TN,Olivia_TN,217
AndrewAguecheek_TN,Orsino_TN,185
AndrewAguecheek_TN,Priest_TN,185
AndrewAguecheek_TN,Sebastian_TN,64
AndrewAguecheek_TN,TobyBelch_TN,1407
AndrewAguecheek_TN,Viola_TN,283
Antonio_TN,ATTENDANTS.OLIVIA_TN,32
Antonio_TN,ATTENDANTS.ORSINO.Curio_TN,248
Antonio_TN,ATTENDANTS.ORSINO_TN,248
Antonio_TN,AndrewAguecheek_TN,315
Antonio_TN,Antonio_TN,49
Antonio_TN,Fabian_TN,531
Antonio_TN,OFFICERS.1_TN,500
Antonio_TN,OFFICERS.2_TN,500
Antonio_TN,Olivia_TN,32
Antonio_TN,Orsino_TN,248
Antonio_TN,Priest_TN,32
Antonio_TN,Sebastian_TN,412
Antonio_TN,TobyBelch_TN,315
Antonio_TN,Viola_TN,563
Captain_TN,SAILORS_TN,304
Captain_TN,Viola_TN,304
Fabian_TN,ATTENDANTS.OLIVIA_TN,230
Fabian_TN,ATTENDANTS.ORSINO.Curio_TN,230
