speaker,listener,total_words
ATTENDANTS.1_TNK,ATTENDANTS_TNK,4
ATTENDANTS.1_TNK,Emilia_TNK,28
ATTENDANTS.1_TNK,Hippolyta_TNK,4
ATTENDANTS.1_TNK,Pirithous_TNK,4
ATTENDANTS.1_TNK,SOLDIERS.0_TNK,28
ATTENDANTS.1_TNK,Theseus_TNK,4
Arcite_TNK,ATTENDANTS_TNK,530
Arcite_TNK,COUNTRYMEN_TNK,51
Arcite_TNK,Emilia_TNK,600
Arcite_TNK,Executioner_TNK,56
Arcite_TNK,GUARDS_TNK,56
Arcite_TNK,Hippolyta_TNK,530
Arcite_TNK,Jailer_TNK,66
Arcite_TNK,KNIGHTS.ARCITE_TNK,453
Arcite_TNK,KNIGHTS.PALAMON_TNK,509
Arcite_TNK,MESSENGERS.X.3_TNK,56
Arcite_TNK,Palamon_TNK,3776
Arcite_TNK,Pirithous_TNK,530
Arcite_TNK,SOLDIERS.0_TNK,4314
Arcite_TNK,Servant_TNK,31
Arcite_TNK,Theseus_TNK,530
Arcite_TNK,Valerius_TNK,111
Arcite_TNK,Woman_TNK,70
Boy_TNK,ATTENDANTS_TNK,149
Boy_TNK,Artesius_TNK,149
Boy_TNK,Emilia_TNK,149
Boy_TNK,Hippolyta_TNK,149
Boy_TNK,Hymen_TNK,149
Boy_TNK,NYMPHS_TNK,149
Boy_TNK,Pirithous_TNK,149
Boy_TNK,Theseus_TNK,149
Brother_TNK,Daughter_TNK,73
Brother_TNK,FRIENDS.1_TNK,73
Brother_TNK,FRIENDS.2_TNK,73
Brother_TNK,Jailer_TNK,73
Brother_TNK,OTHERS_TNK,73
Brother_TNK,SOLDIERS.0_TNK,73
Brother_TNK,Wooer_TNK,73
COUNTRYMEN.0.1_TNK,Arcite_TNK,105
COUNTRYMEN.0.1_TNK,COUNTRYMEN_TNK,153
COUNTRYMEN.0.1_TNK,COUNTRYWOMEN_TNK,36
COUNTRYMEN.0.1_TNK,Daughter_TNK,11
COUNTRYMEN.0.1_TNK,SOLDIERS.0_TNK,153
COUNTRYMEN.0.1_TNK,Schoolmaster_TNK,48
COUNTRYMEN.0.1_TNK,Taborer_TNK,36
COUNTRYMEN.0.2_TNK,Arcite_TNK,225
COUNTRYMEN.0.2_TNK,COUNTRYMEN_TNK,323
COUNTRYMEN.0.2_TNK,COUNTRYWOMEN_TNK,87
COUNTRYMEN.0.2_TNK,Daughter_TNK,10
COUNTRYMEN.0.2_TNK,SOLDIERS.0_TNK,323
COUNTRYMEN.0.2_TNK,Schoolmaster_TNK,98
COUNTRYMEN.0.2_TNK,Taborer_TNK,87
COUNTRYMEN.0.3_TNK,Arcite_TNK,152
COUNTRYMEN.0.3_TNK,COUNTRYMEN_TNK,224
COUNTRYMEN.0.3_TNK,COUNTRYWOMEN_TNK,66
COUNTRYMEN.0.3_TNK,Daughter_TNK,49
COUNTRYMEN.0.3_TNK,SOLDIERS.0_TNK,224
COUNTRYMEN.0.3_TNK,Schoolmaster_TNK,72
COUNTRYMEN.0.3_TNK,Taborer_TNK,66
COUNTRYMEN.0.4_TNK,Arcite_TNK,101
COUNTRYMEN.0.4_TNK,COUNTRYMEN_TNK,160
COUNTRYMEN.0.4_TNK,COUNTRYWOMEN_TNK,59
COUNTRYMEN.0.4_TNK,SOLDIERS.0_TNK,160
COUNTRYMEN.0.4_TNK,Schoolmaster_TNK,59
COUNTRYMEN.0.4_TNK,Taborer_TNK,59
COUNTRYMEN.0.5_TNK,COUNTRYMEN_TNK,5
COUNTRYMEN.0.5_TNK,COUNTRYWOMEN_TNK,5
COUNTRYMEN.0.5_TNK,SOLDIERS.0_TNK,5
COUNTRYMEN.0.5_TNK,Schoolmaster_TNK,5
COUNTRYMEN.0.5_TNK,Taborer_TNK,5
COUNTRYWOMEN.0.1_TNK,COUNTRYMEN_TNK,7
COUNTRYWOMEN.0.1_TNK,COUNTRYWOMEN_TNK,7
COUNTRYWOMEN.0.1_TNK,SOLDIERS.0_TNK,7
COUNTRYWOMEN.0.1_TNK,Schoolmaster_TNK,7
COUNTRYWOMEN.0.1_TNK,Taborer_TNK,7
Daughter_TNK,Arcite_TNK,47
Daughter_TNK,Brother_TNK,418
Daughter_TNK,COUNTRYMEN_TNK,228
Daughter_TNK,COUNTRYWOMEN_TNK,228
Daughter_TNK,Doctor_TNK,962
Daughter_TNK,FRIENDS.1_TNK,418
Daughter_TNK,FRIENDS.2_TNK,418
Daughter_TNK,Jailer_TNK,1606
Daughter_TNK,Maid_TNK,525
Daughter_TNK,OTHERS_TNK,418
Daughter_TNK,Palamon_TNK,47
Daughter_TNK,SOLDIERS.0_TNK,3338
Daughter_TNK,Schoolmaster_TNK,228
Daughter_TNK,Taborer_TNK,228
Daughter_TNK,Wooer_TNK,1642
Doctor_TNK,Daughter_TNK,165
Doctor_TNK,Jailer_TNK,710
Doctor_TNK,MESSENGERS.X.2_TNK,56
Doctor_TNK,Maid_TNK,112
Doctor_TNK,SOLDIERS.0_TNK,845
Doctor_TNK,Wooer_TNK,845
Emilia_TNK,ATTENDANTS.1_TNK,90
Emilia_TNK,ATTENDANTS_TNK,1107
Emilia_TNK,Arcite_TNK,927
Emilia_TNK,Artesius_TNK,189
Emilia_TNK,Boy_TNK,189
Emilia_TNK,COUNTRYMEN_TNK,18
Emilia_TNK,COUNTRYWOMEN_TNK,18
Emilia_TNK,Daughter_TNK,18
Emilia_TNK,Executioner_TNK,33
Emilia_TNK,GUARDS_TNK,33
Emilia_TNK,Hippolyta_TNK,1592
Emilia_TNK,Hymen_TNK,189
Emilia_TNK,Jailer_TNK,33
Emilia_TNK,KNIGHTS.PALAMON_TNK,33
Emilia_TNK,MAIDS_TNK,387
Emilia_TNK,MESSENGERS.X.1_TNK,7
Emilia_TNK,MESSENGERS.X.3_TNK,33
Emilia_TNK,NYMPHS_TNK,189
Emilia_TNK,Palamon_TNK,753
Emilia_TNK,Pirithous_TNK,1164
Emilia_TNK,QUEENS.1_TNK,189
Emilia_TNK,QUEENS.2_TNK,189
Emilia_TNK,QUEENS.3_TNK,189
Emilia_TNK,SOLDIERS.0_TNK,2781
Emilia_TNK,Schoolmaster_TNK,18
Emilia_TNK,Servant_TNK,362
Emilia_TNK,Theseus_TNK,1107
Emilia_TNK,Woman_TNK,254
Epilogue_TNK,ATTENDANTS_TNK,207
Epilogue_TNK,Arcite_TNK,207
Epilogue_TNK,SOLDIERS.0_TNK,207
FRIENDS.1_TNK,Brother_TNK,37
FRIENDS.1_TNK,Daughter_TNK,37
FRIENDS.1_TNK,FRIENDS.2_TNK,83
FRIENDS.1_TNK,Jailer_TNK,199
FRIENDS.1_TNK,OTHERS_TNK,37
FRIENDS.1_TNK,SOLDIERS.0_TNK,199
FRIENDS.1_TNK,Wooer_TNK,62
FRIENDS.2_TNK,Brother_TNK,20
FRIENDS.2_TNK,Daughter_TNK,20
FRIENDS.2_TNK,FRIENDS.1_TNK,180
FRIENDS.2_TNK,Jailer_TNK,180
FRIENDS.2_TNK,OTHERS_TNK,20
FRIENDS.2_TNK,SOLDIERS.0_TNK,180
FRIENDS.2_TNK,Wooer_TNK,42
Herald_TNK,ATTENDANTS_TNK,77
Herald_TNK,Arcite_TNK,77
Herald_TNK,Palamon_TNK,77
Herald_TNK,SOLDIERS.0_TNK,77
Herald_TNK,SOLDIERS_TNK,77
Herald_TNK,Theseus_TNK,77
Hippolyta_TNK,ATTENDANTS.1_TNK,56
Hippolyta_TNK,ATTENDANTS_TNK,486
Hippolyta_TNK,Arcite_TNK,188
Hippolyta_TNK,Artesius_TNK,189
Hippolyta_TNK,Boy_TNK,189
Hippolyta_TNK,COUNTRYMEN_TNK,7
Hippolyta_TNK,COUNTRYWOMEN_TNK,7
Hippolyta_TNK,Daughter_TNK,7
Hippolyta_TNK,Emilia_TNK,881
Hippolyta_TNK,Hymen_TNK,189
Hippolyta_TNK,MESSENGERS.X.1_TNK,56
Hippolyta_TNK,NYMPHS_TNK,189
Hippolyta_TNK,Palamon_TNK,122
Hippolyta_TNK,Pirithous_TNK,618
Hippolyta_TNK,QUEENS.1_TNK,189
Hippolyta_TNK,QUEENS.2_TNK,189
Hippolyta_TNK,QUEENS.3_TNK,189
Hippolyta_TNK,SOLDIERS.0_TNK,297
