speaker,listener,total_words
ATTENDANTS.TIMON.0.1_Tim,ATTENDANTS.TIMON_Tim,9
ATTENDANTS.TIMON.0.1_Tim,Alcibiades_Tim,9
ATTENDANTS.TIMON.0.1_Tim,Apemantus_Tim,9
ATTENDANTS.TIMON.0.1_Tim,FRIENDS.Lucius_Tim,9
ATTENDANTS.TIMON.0.1_Tim,FRIENDS.Ventidius_Tim,9
ATTENDANTS.TIMON.0.1_Tim,LORDS_Tim,9
ATTENDANTS.TIMON.0.1_Tim,SENATORS_Tim,9
ATTENDANTS.TIMON.0.1_Tim,Timon_Tim,9
Alcibiades_Tim,ATTENDANTS.ALCIBIADES_Tim,750
Alcibiades_Tim,ATTENDANTS.TIMON_Tim,48
Alcibiades_Tim,Apemantus_Tim,69
Alcibiades_Tim,FRIENDS.Lucius_Tim,48
Alcibiades_Tim,FRIENDS.Ventidius_Tim,48
Alcibiades_Tim,Flavius_Tim,39
Alcibiades_Tim,Jeweler_Tim,21
Alcibiades_Tim,LORDS_Tim,48
Alcibiades_Tim,Merchant_Tim,21
Alcibiades_Tim,Painter_Tim,21
Alcibiades_Tim,Phrynia_Tim,291
Alcibiades_Tim,Poet_Tim,21
Alcibiades_Tim,SENATORS.1_Tim,253
Alcibiades_Tim,SENATORS.2_Tim,253
Alcibiades_Tim,SENATORS_Tim,661
Alcibiades_Tim,SERVANTS.TIMON.0_Tim,661
Alcibiades_Tim,SERVANTS.TIMON_Tim,21
Alcibiades_Tim,SOLDIERS.1_Tim,171
Alcibiades_Tim,SOLDIERS_Tim,370
Alcibiades_Tim,Timandra_Tim,291
Alcibiades_Tim,Timon_Tim,360
Apemantus_Tim,ATTENDANTS.ALCIBIADES_Tim,48
Apemantus_Tim,ATTENDANTS.TIMON_Tim,605
Apemantus_Tim,Alcibiades_Tim,653
Apemantus_Tim,Apemantus_Tim,38
Apemantus_Tim,BANDITS.1_Tim,15
Apemantus_Tim,BANDITS.2_Tim,15
Apemantus_Tim,BANDITS.3_Tim,15
Apemantus_Tim,Cupid_Tim,146
Apemantus_Tim,FRIENDS.Lucius_Tim,605
Apemantus_Tim,FRIENDS.Ventidius_Tim,605
Apemantus_Tim,Flavius_Tim,614
Apemantus_Tim,Fool_Tim,238
Apemantus_Tim,Jeweler_Tim,364
Apemantus_Tim,LADIES_Tim,146
Apemantus_Tim,LORDS_Tim,696
Apemantus_Tim,Merchant_Tim,364
Apemantus_Tim,Painter_Tim,364
Apemantus_Tim,Poet_Tim,364
Apemantus_Tim,SENATORS_Tim,969
Apemantus_Tim,SERVANTS.Caphis_Tim,238
Apemantus_Tim,SERVANTS.ISIDORE.1_Tim,238
Apemantus_Tim,SERVANTS.Page_Tim,61
Apemantus_Tim,SERVANTS.TIMON.0_Tim,822
Apemantus_Tim,SERVANTS.TIMON_Tim,364
Apemantus_Tim,SERVANTS.VARRO.1_Tim,238
Apemantus_Tim,Timon_Tim,1914
BANDITS.1_Tim,BANDITS.2_Tim,116
BANDITS.1_Tim,BANDITS.3_Tim,116
BANDITS.1_Tim,SERVANTS.TIMON.0_Tim,116
BANDITS.1_Tim,Timon_Tim,116
