speaker,listener,total_words
Aaron_Tit,ATTENDANTS_Tit,83
Aaron_Tit,Aemilius_Tit,71
Aaron_Tit,Bassianus_Tit,103
Aaron_Tit,Chiron_Tit,1618
Aaron_Tit,Demetrius_Tit,1618
Aaron_Tit,GOTHS.0.2_Tit,946
Aaron_Tit,GOTHS.0_Tit,71
Aaron_Tit,GOTHS_Tit,946
Aaron_Tit,Infant_Tit,1889
Aaron_Tit,Lavinia_Tit,302
Aaron_Tit,Lucius_Tit,1115
Aaron_Tit,Marcus_Tit,253
Aaron_Tit,Martius_Tit,73
Aaron_Tit,Nurse_Tit,846
Aaron_Tit,Quintus_Tit,73
Aaron_Tit,ROMANS.0_Tit,3448
Aaron_Tit,SERVANTS_Tit,11
Aaron_Tit,Saturninus_Tit,83
Aaron_Tit,TRIBUNES_Tit,71
Aaron_Tit,Tamora_Tit,308
Aaron_Tit,Titus_Tit,284
Aaron_Tit,YoungLucius_Tit,82
Aemilius_Tit,ATTENDANTS_Tit,112
Aemilius_Tit,Aaron_Tit,53
Aemilius_Tit,Chiron_Tit,74
Aemilius_Tit,Demetrius_Tit,74
Aemilius_Tit,GOTHS.0.2_Tit,91
Aemilius_Tit,GOTHS_Tit,91
Aemilius_Tit,Infant_Tit,91
Aemilius_Tit,Lavinia_Tit,38
Aemilius_Tit,Lucius_Tit,91
Aemilius_Tit,Marcus_Tit,38
Aemilius_Tit,ROMANS.0_Tit,165
Aemilius_Tit,SERVANTS_Tit,38
Aemilius_Tit,Saturninus_Tit,112
Aemilius_Tit,TRIBUNES_Tit,38
Aemilius_Tit,Tamora_Tit,112
Aemilius_Tit,Titus_Tit,38
Aemilius_Tit,YoungLucius_Tit,38
Bassianus_Tit,ATTENDANTS_Tit,7
Bassianus_Tit,Aaron_Tit,283
Bassianus_Tit,Captain_Tit,94
Bassianus_Tit,Chiron_Tit,290
Bassianus_Tit,Demetrius_Tit,290
Bassianus_Tit,GUARDS_Tit,63
Bassianus_Tit,Lavinia_Tit,409
Bassianus_Tit,Lucius_Tit,290
Bassianus_Tit,Marcus_Tit,458
Bassianus_Tit,Martius_Tit,290
Bassianus_Tit,Mutius_Tit,94
Bassianus_Tit,Quintus_Tit,290
Bassianus_Tit,ROMANS.0_Tit,409
Bassianus_Tit,ROMANS_Tit,262
Bassianus_Tit,SENATORS_Tit,216
Bassianus_Tit,Saturninus_Tit,427
Bassianus_Tit,TRIBUNES_Tit,216
Bassianus_Tit,Tamora_Tit,409
Bassianus_Tit,Titus_Tit,290
Captain_Tit,ROMANS_Tit,49
Chiron_Tit,Aaron_Tit,317
Chiron_Tit,Bassianus_Tit,121
Chiron_Tit,Caius_Tit,11
Chiron_Tit,Captain_Tit,14
Chiron_Tit,Demetrius_Tit,533
Chiron_Tit,GOTHS.0.2_Tit,45
Chiron_Tit,Infant_Tit,46
Chiron_Tit,Lavinia_Tit,171
Chiron_Tit,Nurse_Tit,46
Chiron_Tit,Publius_Tit,11
Chiron_Tit,ROMANS.0_Tit,533
Chiron_Tit,ROMANS_Tit,14
Chiron_Tit,SERVANTS_Tit,17
Chiron_Tit,Tamora_Tit,156
Chiron_Tit,Titus_Tit,48
Chiron_Tit,Valentine_Tit,11
Chiron_Tit,YoungLucius_Tit,17
CountryFellow_Tit,ATTENDANTS_Tit,69
CountryFellow_Tit,Caius_Tit,171
CountryFellow_Tit,Chiron_Tit,69
CountryFellow_Tit,Demetrius_Tit,69
CountryFellow_Tit,Marcus_Tit,171
CountryFellow_Tit,Publius_Tit,171
CountryFellow_Tit,ROMANS.0_Tit,240
CountryFellow_Tit,Saturninus_Tit,69
CountryFellow_Tit,Sempronius_Tit,171
CountryFellow_Tit,Tamora_Tit,69
CountryFellow_Tit,Titus_Tit,171
CountryFellow_Tit,YoungLucius_Tit,171
Demetrius_Tit,ATTENDANTS_Tit,28
Demetrius_Tit,Aaron_Tit,678
Demetrius_Tit,Bassianus_Tit,168
Demetrius_Tit,Captain_Tit,86
Demetrius_Tit,Chiron_Tit,942
Demetrius_Tit,GOTHS.0.2_Tit,26
Demetrius_Tit,Infant_Tit,156
Demetrius_Tit,Lavinia_Tit,238
Demetrius_Tit,Lucius_Tit,28
Demetrius_Tit,Marcus_Tit,28
Demetrius_Tit,Martius_Tit,28
Demetrius_Tit,Nurse_Tit,156
Demetrius_Tit,Quintus_Tit,28
Demetrius_Tit,ROMANS.0_Tit,942
Demetrius_Tit,ROMANS_Tit,86
Demetrius_Tit,SERVANTS_Tit,10
Demetrius_Tit,Saturninus_Tit,28
Demetrius_Tit,Tamora_Tit,280
Demetrius_Tit,Titus_Tit,140
Demetrius_Tit,YoungLucius_Tit,10
GOTHS.0.1_Tit,Aaron_Tit,12
GOTHS.0.1_Tit,GOTHS.0.2_Tit,12
GOTHS.0.1_Tit,GOTHS_Tit,80
GOTHS.0.1_Tit,Infant_Tit,12
GOTHS.0.1_Tit,Lucius_Tit,80
GOTHS.0.1_Tit,Marcus_Tit,12
GOTHS.0.1_Tit,ROMANS.0_Tit,80
GOTHS.0.2_Tit,Aaron_Tit,190
GOTHS.0.2_Tit,GOTHS_Tit,190
GOTHS.0.2_Tit,Infant_Tit,190
GOTHS.0.2_Tit,Lucius_Tit,190
GOTHS.0.2_Tit,ROMANS.0_Tit,190
GOTHS.0_Tit,Aaron_Tit,36
GOTHS.0_Tit,Aemilius_Tit,24
GOTHS.0_Tit,GOTHS.0.2_Tit,36
GOTHS.0_Tit,GOTHS_Tit,36
GOTHS.0_Tit,Infant_Tit,36
GOTHS.0_Tit,Lucius_Tit,36
GOTHS.0_Tit,ROMANS.0_Tit,36
GOTHS_Tit,Lucius_Tit,13
GOTHS_Tit,ROMANS.0_Tit,13
Lavinia_Tit,ATTENDANTS_Tit,15
Lavinia_Tit,Aaron_Tit,92
Lavinia_Tit,Bassianus_Tit,494
