speaker,listener,total_words
Adrian_Tmp,Alonso_Tmp,85
Adrian_Tmp,Antonio_Tmp,85
Adrian_Tmp,Francisco_Tmp,92
Adrian_Tmp,Gonzalo_Tmp,92
Adrian_Tmp,Sebastian_Tmp,85
Alonso_Tmp,Adrian_Tmp,961
Alonso_Tmp,Antonio_Tmp,976
Alonso_Tmp,Ariel_Tmp,238
Alonso_Tmp,Boatswain_Tmp,160
Alonso_Tmp,Caliban_Tmp,72
Alonso_Tmp,Ferdinand_Tmp,293
Alonso_Tmp,Francisco_Tmp,961
Alonso_Tmp,Gonzalo_Tmp,976
Alonso_Tmp,Miranda_Tmp,278
Alonso_Tmp,Prospero_Tmp,596
Alonso_Tmp,SAILORS_Tmp,15
Alonso_Tmp,SPIRITS_Tmp,45
Alonso_Tmp,Sebastian_Tmp,976
Alonso_Tmp,Shipmaster_Tmp,145
Alonso_Tmp,Stephano_Tmp,72
Alonso_Tmp,Trinculo_Tmp,72
Antonio_Tmp,Adrian_Tmp,1200
Antonio_Tmp,Alonso_Tmp,1202
Antonio_Tmp,Ariel_Tmp,101
Antonio_Tmp,Boatswain_Tmp,74
Antonio_Tmp,Caliban_Tmp,16
Antonio_Tmp,Ferdinand_Tmp,24
Antonio_Tmp,Francisco_Tmp,1200
Antonio_Tmp,Gonzalo_Tmp,1266
Antonio_Tmp,Miranda_Tmp,16
Antonio_Tmp,Prospero_Tmp,50
Antonio_Tmp,SAILORS_Tmp,32
Antonio_Tmp,SPIRITS_Tmp,34
Antonio_Tmp,Sebastian_Tmp,1266
Antonio_Tmp,Shipmaster_Tmp,16
Antonio_Tmp,Stephano_Tmp,16
Antonio_Tmp,Trinculo_Tmp,16
Ariel_Tmp,Adrian_Tmp,502
Ariel_Tmp,Alonso_Tmp,502
Ariel_Tmp,Antonio_Tmp,502
Ariel_Tmp,Boatswain_Tmp,27
Ariel_Tmp,Caliban_Tmp,47
Ariel_Tmp,Ferdinand_Tmp,236
Ariel_Tmp,Francisco_Tmp,502
Ariel_Tmp,Gonzalo_Tmp,502
Ariel_Tmp,Miranda_Tmp,811
Ariel_Tmp,Prospero_Tmp,1541
Ariel_Tmp,SPIRITS_Tmp,9
Ariel_Tmp,Sebastian_Tmp,502
Ariel_Tmp,Shipmaster_Tmp,27
Ariel_Tmp,Stephano_Tmp,47
Ariel_Tmp,Trinculo_Tmp,47
Boatswain_Tmp,Adrian_Tmp,173
Boatswain_Tmp,Alonso_Tmp,323
Boatswain_Tmp,Antonio_Tmp,359
Boatswain_Tmp,Ariel_Tmp,173
Boatswain_Tmp,Ferdinand_Tmp,323
Boatswain_Tmp,Francisco_Tmp,173
Boatswain_Tmp,Gonzalo_Tmp,359
Boatswain_Tmp,Miranda_Tmp,173
Boatswain_Tmp,Prospero_Tmp,173
Boatswain_Tmp,SAILORS_Tmp,290
Boatswain_Tmp,Sebastian_Tmp,359
Boatswain_Tmp,Shipmaster_Tmp,181
Caliban_Tmp,Adrian_Tmp,69
Caliban_Tmp,Alonso_Tmp,69
Caliban_Tmp,Antonio_Tmp,69
Caliban_Tmp,Ariel_Tmp,813
Caliban_Tmp,Boatswain_Tmp,69
Caliban_Tmp,Caliban_Tmp,170
Caliban_Tmp,Ferdinand_Tmp,69
Caliban_Tmp,Francisco_Tmp,69
Caliban_Tmp,Gonzalo_Tmp,69
Caliban_Tmp,Miranda_Tmp,354
Caliban_Tmp,Prospero_Tmp,553
Caliban_Tmp,Sebastian_Tmp,69
Caliban_Tmp,Shipmaster_Tmp,69
Caliban_Tmp,Stephano_Tmp,1244
Caliban_Tmp,Trinculo_Tmp,1244
Ferdinand_Tmp,Adrian_Tmp,114
Ferdinand_Tmp,Alonso_Tmp,114
Ferdinand_Tmp,Antonio_Tmp,114
Ferdinand_Tmp,Ariel_Tmp,419
Ferdinand_Tmp,Ferdinand_Tmp,139
Ferdinand_Tmp,Francisco_Tmp,114
Ferdinand_Tmp,Gonzalo_Tmp,114
Ferdinand_Tmp,Miranda_Tmp,1064
Ferdinand_Tmp,Prospero_Tmp,1064
Ferdinand_Tmp,SPIRITS.Ceres_Tmp,41
Ferdinand_Tmp,SPIRITS.Iris_Tmp,41
Ferdinand_Tmp,SPIRITS.Juno_Tmp,41
Ferdinand_Tmp,Sebastian_Tmp,114
Ferdinand_Tmp Miranda_Tmp,Ferdinand_Tmp,8
Ferdinand_Tmp Miranda_Tmp,Miranda_Tmp,8
Ferdinand_Tmp Miranda_Tmp,Prospero_Tmp,8
Francisco_Tmp,Adrian_Tmp,97
Francisco_Tmp,Alonso_Tmp,97
Francisco_Tmp,Antonio_Tmp,97
Francisco_Tmp,Gonzalo_Tmp,97
Francisco_Tmp,Prospero_Tmp,5
Francisco_Tmp,Sebastian_Tmp,97
Gonzalo_Tmp,Adrian_Tmp,1314
Gonzalo_Tmp,Alonso_Tmp,1341
Gonzalo_Tmp,Antonio_Tmp,1406
Gonzalo_Tmp,Ariel_Tmp,137
Gonzalo_Tmp,Boatswain_Tmp,61
Gonzalo_Tmp,Ferdinand_Tmp,284
Gonzalo_Tmp,Francisco_Tmp,1314
Gonzalo_Tmp,Gonzalo_Tmp,40
Gonzalo_Tmp,Miranda_Tmp,202
Gonzalo_Tmp,Prospero_Tmp,378
Gonzalo_Tmp,SAILORS_Tmp,106
Gonzalo_Tmp,SPIRITS_Tmp,69
Gonzalo_Tmp,Sebastian_Tmp,1406
Miranda_Tmp,Adrian_Tmp,66
Miranda_Tmp,Alonso_Tmp,66
Miranda_Tmp,Antonio_Tmp,66
Miranda_Tmp,Ariel_Tmp,220
Miranda_Tmp,Caliban_Tmp,112
Miranda_Tmp,Ferdinand_Tmp,709
Miranda_Tmp,Francisco_Tmp,66
Miranda_Tmp,Gonzalo_Tmp,66
Miranda_Tmp,Prospero_Tmp,1288
Miranda_Tmp,Sebastian_Tmp,66
Prospero_Tmp,Adrian_Tmp,1148
Prospero_Tmp,Alonso_Tmp,1148
Prospero_Tmp,Antonio_Tmp,1148
Prospero_Tmp,Ariel_Tmp,2222
Prospero_Tmp,Boatswain_Tmp,463
Prospero_Tmp,Caliban_Tmp,398
Prospero_Tmp,Ferdinand_Tmp,1772
Prospero_Tmp,Francisco_Tmp,1148
Prospero_Tmp,Gonzalo_Tmp,1148
Prospero_Tmp,Miranda_Tmp,4195
Prospero_Tmp,Prospero_Tmp,850
Prospero_Tmp,SPIRITS.Ceres_Tmp,90
Prospero_Tmp,SPIRITS.Iris_Tmp,90
Prospero_Tmp,SPIRITS.Juno_Tmp,90
Prospero_Tmp,SPIRITS.NYMPHS_Tmp,36
Prospero_Tmp,SPIRITS.REAPERS_Tmp,36
Prospero_Tmp,SPIRITS_Tmp,99
Prospero_Tmp,Sebastian_Tmp,1148
Prospero_Tmp,Shipmaster_Tmp,463
Prospero_Tmp,Stephano_Tmp,224
Prospero_Tmp,Trinculo_Tmp,224
SAILORS_Tmp,Antonio_Tmp,13
SAILORS_Tmp,Boatswain_Tmp,13
SAILORS_Tmp,Gonzalo_Tmp,13
SAILORS_Tmp,Sebastian_Tmp,13
SPIRITS.Ceres_Tmp,Ferdinand_Tmp,187
SPIRITS.Ceres_Tmp,Miranda_Tmp,187
SPIRITS.Ceres_Tmp,Prospero_Tmp,187
SPIRITS.Ceres_Tmp,SPIRITS.Iris_Tmp,187
SPIRITS.Ceres_Tmp,SPIRITS.Juno_Tmp,71
SPIRITS.Iris_Tmp,Ferdinand_Tmp,369
SPIRITS.Iris_Tmp,Miranda_Tmp,369
SPIRITS.Iris_Tmp,Prospero_Tmp,369
SPIRITS.Iris_Tmp,SPIRITS.Ceres_Tmp,210
SPIRITS.Iris_Tmp,SPIRITS.Juno_Tmp,97
SPIRITS.Juno_Tmp,Ferdinand_Tmp,53
SPIRITS.Juno_Tmp,Miranda_Tmp,53
SPIRITS.Juno_Tmp,Prospero_Tmp,53
SPIRITS.Juno_Tmp,SPIRITS.Ceres_Tmp,53
