speaker,listener,total_words
Achilles_Tro,ATTENDANTS.GREEK_Tro,216
Achilles_Tro,ATTENDANTS.TROJAN_Tro,37
Achilles_Tro,Aeneas_Tro,193
Achilles_Tro,Agamemnon_Tro,324
Achilles_Tro,Ajax_Tro,578
Achilles_Tro,Calchas_Tro,16
Achilles_Tro,Cressida_Tro,17
Achilles_Tro,Diomedes_Tro,236
Achilles_Tro,Hector_Tro,490
Achilles_Tro,Helenus_Tro,37
Achilles_Tro,MYRMIDONS_Tro,257
Achilles_Tro,Menelaus_Tro,280
Achilles_Tro,Nestor_Tro,352
Achilles_Tro,Paris_Tro,37
Achilles_Tro,Patroclus_Tro,1362
Achilles_Tro,SOLDIERS.GREEK.1_Tro,181
Achilles_Tro,Thersites_Tro,566
Achilles_Tro,Troilus_Tro,240
Achilles_Tro,Trumpeter_Tro,216
Achilles_Tro,Ulysses_Tro,738
Aeneas_Tro,ATTENDANTS.GREEK_Tro,936
Aeneas_Tro,ATTENDANTS.TROJAN_Tro,203
Aeneas_Tro,Achilles_Tro,217
Aeneas_Tro,Agamemnon_Tro,760
Aeneas_Tro,Ajax_Tro,217
Aeneas_Tro,Antenor_Tro,271
Aeneas_Tro,Cressida_Tro,20
Aeneas_Tro,Deiphobus_Tro,271
Aeneas_Tro,Diomedes_Tro,757
Aeneas_Tro,Hector_Tro,217
Aeneas_Tro,Helenus_Tro,203
Aeneas_Tro,Menelaus_Tro,760
Aeneas_Tro,Nestor_Tro,760
Aeneas_Tro,Pandarus_Tro,203
Aeneas_Tro,Paris_Tro,474
Aeneas_Tro,Patroclus_Tro,217
Aeneas_Tro,SERVANTS.AENEAS.1_Tro,176
Aeneas_Tro,SOLDIERS.TROJAN_Tro,35
Aeneas_Tro,Thersites_Tro,37
Aeneas_Tro,Troilus_Tro,432
Aeneas_Tro,Trumpeter_Tro,760
Aeneas_Tro,Ulysses_Tro,797
Aeneas_Tro Paris_Tro Antenor_Tro Deiphobus_Tro SOLDIERS.TROJAN_Tro,Aeneas_Tro,7
Aeneas_Tro Paris_Tro Antenor_Tro Deiphobus_Tro SOLDIERS.TROJAN_Tro,Antenor_Tro,7
Aeneas_Tro Paris_Tro Antenor_Tro Deiphobus_Tro SOLDIERS.TROJAN_Tro,Deiphobus_Tro,7
Aeneas_Tro Paris_Tro Antenor_Tro Deiphobus_Tro SOLDIERS.TROJAN_Tro,Paris_Tro,7
Aeneas_Tro Paris_Tro Antenor_Tro Deiphobus_Tro SOLDIERS.TROJAN_Tro,SOLDIERS.TROJAN_Tro,7
Aeneas_Tro Paris_Tro Antenor_Tro Deiphobus_Tro SOLDIERS.TROJAN_Tro,Troilus_Tro,7
Agamemnon_Tro,ATTENDANTS.GREEK_Tro,917
Agamemnon_Tro,ATTENDANTS.TROJAN_Tro,105
Agamemnon_Tro,Achilles_Tro,429
Agamemnon_Tro,Aeneas_Tro,510
Agamemnon_Tro,Ajax_Tro,1092
Agamemnon_Tro,Calchas_Tro,604
Agamemnon_Tro,Cressida_Tro,27
Agamemnon_Tro,Diomedes_Tro,1619
Agamemnon_Tro,Hector_Tro,295
Agamemnon_Tro,Helenus_Tro,105
Agamemnon_Tro,Menelaus_Tro,1133
Agamemnon_Tro,Nestor_Tro,1676
Agamemnon_Tro,Paris_Tro,105
Agamemnon_Tro,Patroclus_Tro,732
Agamemnon_Tro,SOLDIERS.GREEK_Tro,50
Agamemnon_Tro,Thersites_Tro,39
Agamemnon_Tro,Troilus_Tro,295
Agamemnon_Tro,Trumpeter_Tro,587
Agamemnon_Tro,Ulysses_Tro,1530
Ajax_Tro,ATTENDANTS.GREEK_Tro,200
Ajax_Tro,ATTENDANTS.TROJAN_Tro,75
Ajax_Tro,Achilles_Tro,280
Ajax_Tro,Aeneas_Tro,141
Ajax_Tro,Agamemnon_Tro,502
Ajax_Tro,Ajax_Tro,25
Ajax_Tro,Calchas_Tro,252
Ajax_Tro,Diomedes_Tro,484
Ajax_Tro,Hector_Tro,162
Ajax_Tro,Helenus_Tro,75
Ajax_Tro,Menelaus_Tro,243
Ajax_Tro,Nestor_Tro,502
Ajax_Tro,Paris_Tro,75
Ajax_Tro,Patroclus_Tro,280
Ajax_Tro,SOLDIERS.GREEK_Tro,22
Ajax_Tro,Thersites_Tro,175
Ajax_Tro,Troilus_Tro,173
Ajax_Tro,Trumpeter_Tro,200
Ajax_Tro,Ulysses_Tro,424
Ajax_Tro Achilles_Tro Patroclus_Tro Agamemnon_Tro Menelaus_Tro Ulysses_Tro Nestor_Tro ATTENDANTS.GREEK_Tro,ATTENDANTS.GREEK_Tro,5
Ajax_Tro Achilles_Tro Patroclus_Tro Agamemnon_Tro Menelaus_Tro Ulysses_Tro Nestor_Tro ATTENDANTS.GREEK_Tro,Achilles_Tro,5
Ajax_Tro Achilles_Tro Patroclus_Tro Agamemnon_Tro Menelaus_Tro Ulysses_Tro Nestor_Tro ATTENDANTS.GREEK_Tro,Agamemnon_Tro,5
Ajax_Tro Achilles_Tro Patroclus_Tro Agamemnon_Tro Menelaus_Tro Ulysses_Tro Nestor_Tro ATTENDANTS.GREEK_Tro,Ajax_Tro,5
Ajax_Tro Achilles_Tro Patroclus_Tro Agamemnon_Tro Menelaus_Tro Ulysses_Tro Nestor_Tro ATTENDANTS.GREEK_Tro,Menelaus_Tro,5
Ajax_Tro Achilles_Tro Patroclus_Tro Agamemnon_Tro Menelaus_Tro Ulysses_Tro Nestor_Tro ATTENDANTS.GREEK_Tro,Nestor_Tro,5
Ajax_Tro Achilles_Tro Patroclus_Tro Agamemnon_Tro Menelaus_Tro Ulysses_Tro Nestor_Tro ATTENDANTS.GREEK_Tro,Patroclus_Tro,5
Ajax_Tro Achilles_Tro Patroclus_Tro Agamemnon_Tro Menelaus_Tro Ulysses_Tro Nestor_Tro ATTENDANTS.GREEK_Tro,Trumpeter_Tro,5
Ajax_Tro Achilles_Tro Patroclus_Tro Agamemnon_Tro Menelaus_Tro Ulysses_Tro Nestor_Tro ATTENDANTS.GREEK_Tro,Ulysses_Tro,5
Alexander_Tro,Cressida_Tro,308
Alexander_Tro,Pandarus_Tro,17
Andromache_Tro,Cassandra_Tro,111
Andromache_Tro,Hector_Tro,148
Andromache_Tro,Priam_Tro,7
Andromache_Tro,Troilus_Tro,16
Bastard_Tro,Bastard_Tro,8
Bastard_Tro,Thersites_Tro,15
Boy_Tro,Cressida_Tro,22
Boy_Tro,Pandarus_Tro,22
Calchas_Tro,Agamemnon_Tro,271
Calchas_Tro,Ajax_Tro,271
Calchas_Tro,Diomedes_Tro,285
Calchas_Tro,Menelaus_Tro,271
Calchas_Tro,Nestor_Tro,271
Calchas_Tro,Ulysses_Tro,271
Cassandra_Tro,Andromache_Tro,126
Cassandra_Tro,Hector_Tro,361
Cassandra_Tro,Helenus_Tro,131
Cassandra_Tro,Paris_Tro,131
Cassandra_Tro,Priam_Tro,286
Cassandra_Tro,Troilus_Tro,286
Cressida_Tro,ATTENDANTS.GREEK_Tro,99
Cressida_Tro,Achilles_Tro,99
Cressida_Tro,Agamemnon_Tro,99
Cressida_Tro,Ajax_Tro,99
Cressida_Tro,Alexander_Tro,523
Cressida_Tro,Diomedes_Tro,566
Cressida_Tro,Menelaus_Tro,99
Cressida_Tro,Nestor_Tro,99
Cressida_Tro,Pandarus_Tro,1847
Cressida_Tro,Patroclus_Tro,99
Cressida_Tro,Thersites_Tro,467
Cressida_Tro,Troilus_Tro,1507
Cressida_Tro,Trumpeter_Tro,99
Cressida_Tro,Ulysses_Tro,566
Deiphobus_Tro,ATTENDANTS.GREEK_Tro,7
Deiphobus_Tro,Aeneas_Tro,14
Deiphobus_Tro,Antenor_Tro,14
Deiphobus_Tro,Diomedes_Tro,7
Deiphobus_Tro,Paris_Tro,14
Deiphobus_Tro,SERVANTS.AENEAS.1_Tro,7
Diomedes_Tro,ATTENDANTS.GREEK_Tro,355
Diomedes_Tro,ATTENDANTS.TROJAN_Tro,28
Diomedes_Tro,Achilles_Tro,69
Diomedes_Tro,Aeneas_Tro,272
Diomedes_Tro,Agamemnon_Tro,128
Diomedes_Tro,Ajax_Tro,179
Diomedes_Tro,Antenor_Tro,430
Diomedes_Tro,Calchas_Tro,65
Diomedes_Tro,Cressida_Tro,368
Diomedes_Tro,Deiphobus_Tro,430
Diomedes_Tro,Diomedes_Tro,24
Diomedes_Tro,Hector_Tro,52
Diomedes_Tro,Helenus_Tro,28
Diomedes_Tro,Menelaus_Tro,73
Diomedes_Tro,Nestor_Tro,152
Diomedes_Tro,Paris_Tro,458
Diomedes_Tro,Patroclus_Tro,45
Diomedes_Tro,SERVANTS.AENEAS.1_Tro,124
Diomedes_Tro,SERVANTS.DIOMEDES.1_Tro,46
Diomedes_Tro,SOLDIERS.GREEK_Tro,11
Diomedes_Tro,Thersites_Tro,285
Diomedes_Tro,Troilus_Tro,452
Diomedes_Tro,Trumpeter_Tro,45
Diomedes_Tro,Ulysses_Tro,372
Hector_Tro,ATTENDANTS.GREEK_Tro,742
Hector_Tro,ATTENDANTS.TROJAN_Tro,289
Hector_Tro,Achilles_Tro,791
Hector_Tro,Aeneas_Tro,742
Hector_Tro,Agamemnon_Tro,766
Hector_Tro,Ajax_Tro,779
