speaker,listener,total_words
ATTENDANTS.0.1_WT,ATTENDANTS.PAULINA.0.1_WT,156
ATTENDANTS.0.1_WT,ATTENDANTS_WT,315
ATTENDANTS.0.1_WT,Antigonus_WT,235
ATTENDANTS.0.1_WT,Cleomenes_WT,39
ATTENDANTS.0.1_WT,Dion_WT,39
ATTENDANTS.0.1_WT,Hermione_WT,70
ATTENDANTS.0.1_WT,LADIES_WT,109
ATTENDANTS.0.1_WT,Leontes_WT,315
ATTENDANTS.0.1_WT,Mamillius_WT,46
ATTENDANTS.0.1_WT,OFFICERS_WT,24
ATTENDANTS.0.1_WT,Paulina_WT,69
ATTENDANTS.0.1_WT,Perdita.Infant_WT,76
ATTENDANTS.0.1_WT,SERVANTS.X.1_WT,39
ATTENDANTS.0.1_WT,SERVANTS.X.2_WT,17
ATTENDANTS.0.1_WT,SERVANTS_WT,93
ATTENDANTS.1_WT,ATTENDANTS.2_WT,80
ATTENDANTS.1_WT,ATTENDANTS.3_WT,80
ATTENDANTS.1_WT,ATTENDANTS.PAULINA.0.1_WT,270
ATTENDANTS.1_WT,Autolycus_WT,270
ATTENDANTS.2_WT,ATTENDANTS.1_WT,163
ATTENDANTS.2_WT,ATTENDANTS.3_WT,67
ATTENDANTS.2_WT,ATTENDANTS.PAULINA.0.1_WT,163
ATTENDANTS.2_WT,Autolycus_WT,163
ATTENDANTS.3_WT,ATTENDANTS.1_WT,694
ATTENDANTS.3_WT,ATTENDANTS.2_WT,694
ATTENDANTS.3_WT,ATTENDANTS.PAULINA.0.1_WT,694
ATTENDANTS.3_WT,Autolycus_WT,694
ATTENDANTS.X_WT,ATTENDANTS.PAULINA.0.1_WT,213
ATTENDANTS.X_WT,Cleomenes_WT,213
ATTENDANTS.X_WT,Dion_WT,213
ATTENDANTS.X_WT,Florizell_WT,213
ATTENDANTS.X_WT,Leontes_WT,213
ATTENDANTS.X_WT,Paulina_WT,213
ATTENDANTS.X_WT,Perdita_WT,213
ATTENDANTS.X_WT,SERVANTS_WT,213
ATTENDANTS_WT,ATTENDANTS.PAULINA.0.1_WT,25
ATTENDANTS_WT,Antigonus_WT,17
ATTENDANTS_WT,Cleomenes_WT,8
ATTENDANTS_WT,Dion_WT,8
ATTENDANTS_WT,Hermione_WT,8
ATTENDANTS_WT,LADIES_WT,8
ATTENDANTS_WT,Leontes_WT,25
ATTENDANTS_WT,OFFICERS_WT,8
ATTENDANTS_WT,Paulina_WT,8
ATTENDANTS_WT,Perdita.Infant_WT,17
ATTENDANTS_WT,SERVANTS_WT,17
Antigonus_WT,ATTENDANTS.PAULINA.0.1_WT,749
Antigonus_WT,ATTENDANTS_WT,524
Antigonus_WT,Leontes_WT,524
Antigonus_WT,Paulina_WT,79
Antigonus_WT,Perdita.Infant_WT,749
