speaker,listener,total_words
AnnePage_Wiv,BOYS_Wiv,12
AnnePage_Wiv,DoctorCaius_Wiv,12
AnnePage_Wiv,Falstaff_1H4,12
AnnePage_Wiv,Fenton_Wiv,159
AnnePage_Wiv,HughEvans_Wiv,27
AnnePage_Wiv,MasterFord_Wiv,12
AnnePage_Wiv,MasterPage_Wiv,31
AnnePage_Wiv,MistressFord_Wiv,12
AnnePage_Wiv,MistressPage_Wiv,43
AnnePage_Wiv,MistressQuickly_1H4,113
AnnePage_Wiv,Pistol_2H4,12
AnnePage_Wiv,Shallow_2H4,85
AnnePage_Wiv,Simple_Wiv,38
AnnePage_Wiv,Slender_Wiv,188
Bardolph_1H4,Falstaff_1H4,193
Bardolph_1H4,Host_Wiv,103
Bardolph_1H4,HughEvans_Wiv,52
Bardolph_1H4,MasterPage_Wiv,52
Bardolph_1H4,MistressQuickly_1H4,6
Bardolph_1H4,Nym_H5,66
Bardolph_1H4,Pistol_2H4,66
Bardolph_1H4,Robin_Wiv,14
Bardolph_1H4,Shallow_2H4,52
Bardolph_1H4,Slender_Wiv,52
DoctorCaius_Wiv,BOYS_Wiv,65
DoctorCaius_Wiv,Bardolph_1H4,59
DoctorCaius_Wiv,Falstaff_1H4,124
DoctorCaius_Wiv,Host_Wiv,406
DoctorCaius_Wiv,HughEvans_Wiv,307
DoctorCaius_Wiv,MasterFord_Wiv,138
DoctorCaius_Wiv,MasterPage_Wiv,387
DoctorCaius_Wiv,MistressFord_Wiv,121
DoctorCaius_Wiv,MistressPage_Wiv,121
DoctorCaius_Wiv,MistressQuickly_1H4,485
DoctorCaius_Wiv,Pistol_2H4,65
DoctorCaius_Wiv,Rugby_Wiv,850
DoctorCaius_Wiv,Shallow_2H4,251
DoctorCaius_Wiv,Simple_Wiv,480
DoctorCaius_Wiv,Slender_Wiv,316
Falstaff_1H4,AnnePage_Wiv,90
Falstaff_1H4,BOYS_Wiv,315
Falstaff_1H4,Bardolph_1H4,552
Falstaff_1H4,DoctorCaius_Wiv,35
Falstaff_1H4,Falstaff_1H4,456
Falstaff_1H4,Fenton_Wiv,35
Falstaff_1H4,Host_Wiv,199
Falstaff_1H4,HughEvans_Wiv,458
Falstaff_1H4,MasterFord_Wiv,1574
Falstaff_1H4,MasterPage_Wiv,403
Falstaff_1H4,MistressFord_Wiv,900
Falstaff_1H4,MistressPage_Wiv,519
Falstaff_1H4,MistressQuickly_1H4,910
Falstaff_1H4,Nym_H5,654
Falstaff_1H4,Pistol_2H4,1469
Falstaff_1H4,Robin_Wiv,810
Falstaff_1H4,Shallow_2H4,143
Falstaff_1H4,Simple_Wiv,119
Falstaff_1H4,Slender_Wiv,178
Fenton_Wiv,AnnePage_Wiv,339
Fenton_Wiv,BOYS_Wiv,97
Fenton_Wiv,DoctorCaius_Wiv,97
Fenton_Wiv,Falstaff_1H4,97
Fenton_Wiv,Host_Wiv,459
Fenton_Wiv,HughEvans_Wiv,97
Fenton_Wiv,MasterFord_Wiv,97
Fenton_Wiv,MasterPage_Wiv,115
Fenton_Wiv,MistressFord_Wiv,97
Fenton_Wiv,MistressPage_Wiv,176
Fenton_Wiv,MistressQuickly_1H4,313
Fenton_Wiv,Pistol_2H4,97
Fenton_Wiv,Shallow_2H4,18
Fenton_Wiv,Slender_Wiv,115
Host_Wiv,Bardolph_1H4,256
Host_Wiv,DoctorCaius_Wiv,616
Host_Wiv,Falstaff_1H4,215
Host_Wiv,Fenton_Wiv,76
Host_Wiv,HughEvans_Wiv,291
Host_Wiv,MasterFord_Wiv,188
Host_Wiv,MasterPage_Wiv,638
Host_Wiv,Nym_H5,86
Host_Wiv,Pistol_2H4,86
Host_Wiv,Robin_Wiv,86
Host_Wiv,Rugby_Wiv,584
Host_Wiv,Shallow_2H4,600
Host_Wiv,Simple_Wiv,379
Host_Wiv,Slender_Wiv,507
HughEvans_Wiv,AnnePage_Wiv,149
HughEvans_Wiv,BOYS_Wiv,264
HughEvans_Wiv,Bardolph_1H4,255
HughEvans_Wiv,DoctorCaius_Wiv,381
HughEvans_Wiv,Falstaff_1H4,470
HughEvans_Wiv,Host_Wiv,188
HughEvans_Wiv,HughEvans_Wiv,137
HughEvans_Wiv,John_Wiv,56
HughEvans_Wiv,MasterFord_Wiv,360
HughEvans_Wiv,MasterPage_Wiv,750
HughEvans_Wiv,MistressFord_Wiv,339
HughEvans_Wiv,MistressPage_Wiv,618
HughEvans_Wiv,MistressQuickly_1H4,534
HughEvans_Wiv,Nym_H5,170
HughEvans_Wiv,Pistol_2H4,385
HughEvans_Wiv,Robert_Wiv,56
HughEvans_Wiv,Rugby_Wiv,170
HughEvans_Wiv,Shallow_2H4,1084
HughEvans_Wiv,Simple_Wiv,671
HughEvans_Wiv,Slender_Wiv,992
HughEvans_Wiv,WilliamPage_Wiv,319
John_Wiv,Robert_Wiv,11
MasterFord_Wiv,AnnePage_Wiv,65
MasterFord_Wiv,BOYS_Wiv,271
MasterFord_Wiv,Bardolph_1H4,26
MasterFord_Wiv,DoctorCaius_Wiv,986
MasterFord_Wiv,Falstaff_1H4,1498
MasterFord_Wiv,Fenton_Wiv,65
MasterFord_Wiv,Host_Wiv,126
MasterFord_Wiv,HughEvans_Wiv,1310
MasterFord_Wiv,John_Wiv,467
MasterFord_Wiv,MasterFord_Wiv,752
MasterFord_Wiv,MasterPage_Wiv,1536
MasterFord_Wiv,MistressFord_Wiv,1131
MasterFord_Wiv,MistressPage_Wiv,924
MasterFord_Wiv,MistressQuickly_1H4,271
MasterFord_Wiv,Nym_H5,46
MasterFord_Wiv,Pistol_2H4,303
MasterFord_Wiv,Robert_Wiv,467
MasterFord_Wiv,Robin_Wiv,60
MasterFord_Wiv,Rugby_Wiv,78
MasterFord_Wiv,Shallow_2H4,635
MasterFord_Wiv,Slender_Wiv,155
MasterPage_Wiv,AnnePage_Wiv,198
MasterPage_Wiv,BOYS_Wiv,200
MasterPage_Wiv,Bardolph_1H4,72
MasterPage_Wiv,DoctorCaius_Wiv,407
MasterPage_Wiv,Falstaff_1H4,272
MasterPage_Wiv,Fenton_Wiv,147
MasterPage_Wiv,Host_Wiv,229
MasterPage_Wiv,HughEvans_Wiv,982
