,Henryvi,Talbot,Gloucester 2H4,Pucelle,York,Charles,Suffolk,Cardinalbeaufort,Bedford H5,Lucy,Warwick 2H4,Messengers English 3,Somerset,Exeter H5,Reignier,Burgundy,Alanson,Vernon,Basset,Messengers English 1,Mortimer 1H4,Shepherd,Mayor,Bastard,Countess,Servants Gloucester 0 2,General,Queenmargaret,Salisbury,Messengers English 2,Johntalbot,Fastolf,Messengers French 1,Servants Winchester 0 1,Officers 0 1,Soldiers French Scout,Lawyer,Mastergunner,Servants Gloucester 0 1,Messengers English X 1,Servants 3,Messengers English X 2,Watchmen 1,Gargrave,Woodville,Jailers 0 1,Soldiers English Captain,Servants 1,Soldiers French Sergeant,Servants 2,Soldiers English Somerset 0 1,Warders 1,Soldiers English 0 1,Soldiers French Pucelle 0 1,Glansdale,Boy,Servants Talbot 1,Soldiers English 1,Watchman,Warders 2,Servants Gloucester,Legate,Porter,Soldiers French,Soldiers English 0,Officers,Governor,Ambassadors Armagnac 1,Heralds English,Watchmen 2,Attendants English,Soldiers English York,Servants Winchester,Attendants French,Jailers,Soldiers English,Heralds French 1,Ambassadors Emperor 1,Soldiers English Somerset,Soldiers French Pucelle
Henryvi,0.0,253.0,1626.0,0.0,1101.0,0.0,1405.0,1200.0,0.0,0.0,1101.0,0.0,1101.0,1626.0,0.0,0.0,0.0,577.0,577.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,99.0,0.0,0.0,304.0,0.0,588.0,99.0,0.0,0.0,525.0,0.0,165.0,0.0,0.0,121.0,0.0,99.0,0.0,0.0
Talbot,405.0,351.0,405.0,156.0,405.0,119.0,405.0,405.0,730.0,0.0,405.0,0.0,405.0,405.0,119.0,897.0,119.0,97.0,97.0,0.0,0.0,0.0,0.0,119.0,300.0,0.0,0.0,0.0,636.0,0.0,785.0,267.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,171.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,0.0,287.0,0.0,0.0,0.0,0.0,0.0,254.0,37.0,0.0,0.0,308.0,0.0,0.0,171.0,859.0,0.0,0.0,0.0,0.0,1028.0,0.0,0.0,0.0,0.0
Gloucester 2H4,1017.0,251.0,0.0,0.0,773.0,0.0,874.0,1330.0,199.0,0.0,998.0,0.0,998.0,1256.0,0.0,0.0,0.0,92.0,92.0,28.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.0,46.0,0.0,0.0,101.0,73.0,321.0,46.0,225.0,0.0,469.0,0.0,412.0,0.0,0.0,11.0,0.0,46.0,0.0,0.0
Pucelle,0.0,395.0,0.0,280.0,391.0,1517.0,0.0,0.0,166.0,82.0,347.0,0.0,0.0,0.0,555.0,690.0,1231.0,0.0,0.0,0.0,0.0,43.0,0.0,1092.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,852.0,347.0,347.0,0.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,44.0,82.0,0.0,0.0,116.0
York,130.0,0.0,130.0,253.0,0.0,159.0,484.0,384.0,0.0,160.0,1003.0,0.0,484.0,168.0,159.0,0.0,159.0,496.0,49.0,0.0,336.0,28.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,155.0,49.0,0.0,0.0,0.0,0.0,235.0,0.0,159.0,336.0,98.0,0.0,0.0,0.0,0.0
Charles,0.0,130.0,0.0,655.0,126.0,0.0,0.0,126.0,11.0,77.0,126.0,0.0,0.0,0.0,862.0,240.0,1094.0,0.0,0.0,0.0,0.0,0.0,0.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,126.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,126.0,0.0,0.0,77.0,0.0,0.0,0.0
Suffolk,484.0,0.0,484.0,0.0,104.0,0.0,0.0,2.0,0.0,0.0,104.0,0.0,104.0,484.0,197.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,876.0,0.0,0.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,952.0,0.0,0.0,0.0,0.0
Cardinalbeaufort,300.0,11.0,566.0,0.0,457.0,88.0,300.0,58.0,92.0,0.0,594.0,10.0,437.0,392.0,88.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,137.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,31.0,0.0,0.0,157.0,93.0,11.0,0.0,137.0,0.0,137.0,0.0,218.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedford H5,0.0,231.0,430.0,13.0,0.0,13.0,0.0,430.0,0.0,0.0,430.0,122.0,430.0,430.0,13.0,231.0,13.0,0.0,0.0,32.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,53.0,564.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0
Lucy,0.0,276.0,0.0,276.0,128.0,276.0,0.0,0.0,0.0,56.0,0.0,0.0,234.0,0.0,0.0,276.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,128.0,0.0,0.0,0.0,0.0,276.0,0.0,234.0,0.0
