,Falstaff 1H4,Henryv H5,Shallow,Henryiv 1H4,Mistressquickly 1H4,Archbishop 1H4,Bedford H5,Westmoreland 1H4,Chiefjustice,Pistol,Dolltearsheet,Mowbray,Northumberland R2,Warwick,Hastings,Morton,Lordbardolph,Poins 1H4,Bardolph 1H4,Davy,Silence,Clarence,Bullcalf,Ladypercy 1H4,Mouldy,Feeble,Servants Falstaff 1,Gloucester,Harcourt,Peto 1H4,Chorus,Servants Chiefjustice 1,Messengers Gower,Travers,Beadles 0 1,Messengers 1,Colevile,Officers Fang,Drawers 1,Shadow,Ladynorthumberland,Drawers Will,Drawers Francis 1H4,Wart,Officers Snare,Drawers X,Porter,Grooms 1,Grooms 2,Officers,Blunt,Soldiers Rebel,Soldiers Henry,Epilogue,Beadles,Servants Henry,Surrey,Man,Attendants,Musicians
Falstaff 1H4,456.0,613.0,2206.0,0.0,1456.0,0.0,384.0,34.0,1572.0,643.0,1070.0,0.0,0.0,0.0,0.0,0.0,0.0,579.0,3431.0,280.0,1585.0,0.0,529.0,0.0,529.0,1215.0,4003.0,0.0,0.0,0.0,0.0,1088.0,276.0,0.0,0.0,0.0,539.0,386.0,0.0,1215.0,0.0,28.0,609.0,1215.0,386.0,64.0,0.0,0.0,0.0,450.0,344.0,0.0,378.0,0.0,0.0,0.0,0.0,1279.0,34.0,727.0
Henryv H5,581.0,0.0,277.0,758.0,304.0,0.0,674.0,328.0,946.0,277.0,304.0,0.0,0.0,997.0,0.0,0.0,0.0,1221.0,990.0,0.0,0.0,997.0,0.0,0.0,0.0,0.0,990.0,997.0,328.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.0,304.0
Shallow,1518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1640.0,560.0,1668.0,0.0,398.0,0.0,398.0,594.0,759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0,0.0,0.0,0.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881.0,0.0,0.0
Henryiv 1H4,0.0,972.0,0.0,6.0,0.0,0.0,123.0,203.0,0.0,0.0,0.0,0.0,0.0,1541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0,1035.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.0,0.0,0.0,0.0,285.0,437.0,0.0,1158.0,0.0
Mistressquickly 1H4,1181.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,151.0,918.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,864.0,0.0,0.0,0.0,101.0,90.0,0.0,864.0,241.0,0.0,0.0,0.0,425.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,90.0
Archbishop 1H4,0.0,0.0,0.0,0.0,0.0,0.0,226.0,649.0,0.0,0.0,0.0,1269.0,0.0,0.0,1269.0,0.0,1269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedford H5,219.0,13.0,0.0,11.0,0.0,627.0,0.0,787.0,155.0,0.0,0.0,627.0,0.0,58.0,598.0,0.0,627.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,627.0,846.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
Westmoreland 1H4,7.0,0.0,0.0,97.0,0.0,898.0,168.0,0.0,0.0,0.0,0.0,898.0,0.0,97.0,878.0,0.0,898.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,97.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,898.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,898.0,168.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0
Chiefjustice,889.0,308.0,46.0,0.0,262.0,0.0,420.0,0.0,0.0,46.0,0.0,0.0,0.0,449.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,378.0,0.0,0.0,0.0,0.0,803.0,378.0,0.0,0.0,0.0,495.0,94.0,0.0,0.0,0.0,0.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,0.0,0.0,0.0,0.0,382.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
Pistol,698.0,13.0,362.0,0.0,336.0,0.0,9.0,0.0,22.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.0,245.0,245.0,0.0,0.0,0.0,0.0,0.0,698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
