,King,Helen,Parolles,Bertram,Lafew,Diana,Countess,Lords Dumaine 1,Fool,Lords Dumaine 2,Soldiers Interpreter,Widow,Gentlemen 3,Epilogue,Mariana,Steward,Duke,Gentlemen 2,Gentlemen 1,Servant,Attendants King 0 1,Attendants King 0 2,Lords Court 4,Lords Court 2,Lords Court 1,Soldiers,Soldiers 0 1,Page,Lords Court 3,Attendants King,Citizens,Attendants
King,0.0,1266.0,1761.0,2456.0,2670.0,501.0,1403.0,1584.0,0.0,1584.0,0.0,501.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.0,597.0,597.0,597.0,0.0,0.0,0.0,597.0,3388.0,0.0,0.0
Helen,1038.0,701.0,1061.0,655.0,450.0,951.0,843.0,126.0,73.0,126.0,0.0,1280.0,212.0,0.0,218.0,0.0,0.0,94.0,94.0,0.0,0.0,126.0,311.0,311.0,311.0,21.0,0.0,88.0,311.0,1038.0,218.0,301.0
Parolles,425.0,826.0,219.0,1897.0,643.0,187.0,181.0,1757.0,284.0,1383.0,1310.0,187.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,380.0,0.0,141.0,0.0,425.0,6.0,0.0
Bertram,835.0,488.0,1216.0,0.0,956.0,558.0,626.0,1138.0,0.0,1217.0,275.0,263.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,123.0,0.0,263.0,169.0,169.0,169.0,188.0,0.0,0.0,169.0,835.0,0.0,0.0
Lafew,798.0,495.0,1350.0,1030.0,0.0,111.0,967.0,312.0,268.0,312.0,0.0,111.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,131.0,131.0,131.0,0.0,0.0,0.0,131.0,798.0,0.0,0.0
Diana,544.0,181.0,329.0,1101.0,544.0,0.0,544.0,544.0,0.0,544.0,0.0,744.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,544.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,544.0,182.0,0.0
Countess,134.0,1203.0,0.0,490.0,699.0,40.0,120.0,134.0,578.0,134.0,0.0,40.0,0.0,0.0,0.0,650.0,0.0,245.0,245.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0
Lords Dumaine 1,58.0,0.0,343.0,594.0,0.0,0.0,0.0,0.0,0.0,992.0,806.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709.0,0.0,0.0,0.0,58.0,0.0,0.0
Fool,0.0,238.0,324.0,0.0,366.0,0.0,1594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lords Dumaine 2,23.0,0.0,145.0,546.0,0.0,0.0,0.0,941.0,0.0,0.0,462.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,447.0,0.0,0.0,0.0,23.0,0.0,0.0
Soldiers Interpreter,0.0,0.0,726.0,567.0,0.0,0.0,0.0,688.0,0.0,567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
Widow,27.0,366.0,24.0,51.0,27.0,410.0,27.0,27.0,0.0,27.0,0.0,0.0,8.0,0.0,358.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,27.0,358.0,8.0
Gentlemen 3,100.0,57.0,0.0,0.0,100.0,57.0,100.0,100.0,0.0,100.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,57.0
Epilogue,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,0.0,64.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0
Mariana,0.0,26.0,21.0,21.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,204.0,0.0
Steward,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
