,Henryviii,Wolsey,Katherine,Cranmer,Buckingham,Norfolk,Chamberlain,Gardiner,Surveyor,Suffolk,Surrey,Chancellor,Sands,Campeius,Cromwell,Lovell,Griffith,Gentlemen 3,Gentlemen 2,Gentlemen 1,Anne,Oldlady,Brandon,Bishopoflincoln,Servants Porter 1,Porter,Abergavenny,Crier,Prologue,Keeper,Servants X 1,Guilford,Capuchius,Butts,Garter,Scribe,Vaux,Sergeant,Ladies Katherine 0 1,Epilogue,Messenger,Ladies Katherine Patience,Secretaries 0 1,Usher,Denny,Gentlemen X,Servants Larder 1,Page,Gentlemen,Bishops,Ladies Katherine,Secretaries X 1,Maskers,Nobles,Servants,Elizabethi Infant,Attendants,Guards,Commoners,Secretaries,Aldermen,Ladies,Lords,Lordmayor
Henryviii,0.0,2400.0,631.0,1459.0,0.0,2014.0,1247.0,618.0,343.0,2147.0,1070.0,531.0,177.0,1014.0,531.0,1592.0,0.0,0.0,0.0,0.0,177.0,35.0,0.0,825.0,0.0,0.0,0.0,825.0,0.0,651.0,0.0,177.0,0.0,120.0,213.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,38.0,0.0,0.0,0.0,177.0,825.0,0.0,327.0,177.0,670.0,828.0,213.0,2211.0,744.0,0.0,0.0,213.0,390.0,1038.0,213.0
Wolsey,1506.0,267.0,995.0,0.0,34.0,1528.0,1519.0,98.0,78.0,1494.0,1129.0,0.0,390.0,1046.0,816.0,1037.0,0.0,0.0,0.0,0.0,390.0,0.0,0.0,424.0,0.0,0.0,34.0,424.0,0.0,0.0,131.0,390.0,0.0,0.0,0.0,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,390.0,424.0,345.0,268.0,158.0,346.0,390.0,0.0,1461.0,34.0,0.0,34.0,0.0,390.0,424.0,0.0
Katherine,1217.0,2307.0,0.0,0.0,0.0,430.0,0.0,0.0,81.0,430.0,0.0,0.0,0.0,1877.0,0.0,430.0,1071.0,0.0,0.0,0.0,0.0,0.0,0.0,787.0,0.0,0.0,0.0,787.0,0.0,0.0,0.0,0.0,549.0,0.0,0.0,787.0,0.0,0.0,0.0,0.0,61.0,1071.0,0.0,787.0,0.0,67.0,0.0,0.0,0.0,787.0,1182.0,349.0,0.0,430.0,0.0,0.0,1217.0,0.0,0.0,0.0,0.0,0.0,787.0,0.0
Cranmer,717.0,0.0,0.0,0.0,0.0,935.0,403.0,403.0,0.0,935.0,403.0,403.0,0.0,0.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,532.0,0.0,639.0,0.0,0.0,532.0,532.0,532.0,532.0
Buckingham,0.0,0.0,0.0,0.0,0.0,994.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,0.0,0.0,749.0,0.0,0.0,749.0,749.0,0.0,0.0,140.0,0.0,0.0,0.0,994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889.0,749.0,0.0,0.0,0.0,0.0,0.0
Norfolk,236.0,364.0,81.0,26.0,866.0,0.0,718.0,26.0,0.0,855.0,451.0,26.0,0.0,17.0,33.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,81.0,26.0,0.0,180.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
Chamberlain,131.0,192.0,0.0,30.0,0.0,329.0,114.0,30.0,0.0,329.0,198.0,30.0,547.0,0.0,30.0,428.0,0.0,0.0,0.0,0.0,438.0,188.0,0.0,0.0,190.0,190.0,0.0,0.0,0.0,30.0,7.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,131.0,0.0,176.0,0.0,146.0,30.0,0.0,0.0,0.0,250.0,0.0,0.0
Gardiner,99.0,15.0,0.0,390.0,0.0,390.0,390.0,0.0,0.0,390.0,390.0,390.0,0.0,15.0,390.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0
Surveyor,527.0,527.0,527.0,0.0,0.0,527.0,0.0,0.0,0.0,527.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Suffolk,91.0,179.0,0.0,51.0,0.0,687.0,651.0,51.0,0.0,0.0,544.0,51.0,0.0,25.0,51.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
