,Hamlet,Claudius,Horatio,Polonius,Laertes,Ophelia,Gertrude,Players King,Players Queen,Rosencrantz,Players 1,Gravedigger,Fortinbras,Guildenstern,Osric,Marcellus,Voltemand,Ghost,Doctor,Barnardo,Players Lucianus,Ambassadors,Soldiers Fortinbras Captain,Attendants 1,Messengers 1,Players Prologue,Sailors 0 1,Attendants 2,Francisco,Gravediggerscompanion,Messengers 2,Reynaldo,Followers Laertes,Attendants,Players 0 1,Cornelius,Attendants 0 1,Attendants Guards,Sailors,Players,Soldiers Fortinbras
Hamlet,563.0,2900.0,6742.0,4392.0,1107.0,1618.0,3296.0,236.0,10.0,4554.0,585.0,1266.0,0.0,4554.0,933.0,1688.0,0.0,539.0,301.0,483.0,105.0,0.0,96.0,0.0,0.0,45.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,1686.0,0.0,0.0,0.0,837.0,0.0,1382.0,0.0
Claudius,1305.0,18.0,651.0,1751.0,2753.0,491.0,2697.0,27.0,0.0,674.0,0.0,86.0,0.0,664.0,262.0,0.0,504.0,0.0,86.0,0.0,7.0,0.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,976.0,0.0,504.0,0.0,270.0,0.0,0.0,0.0
Horatio,1298.0,272.0,0.0,0.0,272.0,7.0,289.0,0.0,0.0,0.0,0.0,72.0,195.0,0.0,293.0,1653.0,0.0,200.0,7.0,1331.0,0.0,195.0,0.0,17.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,548.0,0.0,0.0,0.0,0.0,238.0,0.0,195.0
Polonius,602.0,1303.0,92.0,0.0,315.0,1125.0,1076.0,11.0,0.0,325.0,65.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,0.0,977.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0
Laertes,484.0,1298.0,427.0,84.0,0.0,648.0,987.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,172.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ophelia,272.0,933.0,493.0,766.0,341.0,0.0,748.0,31.0,0.0,121.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,248.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gertrude,654.0,840.0,283.0,585.0,447.0,209.0,0.0,14.0,0.0,172.0,0.0,95.0,0.0,172.0,75.0,0.0,0.0,114.0,95.0,0.0,5.0,0.0,0.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Players King,390.0,390.0,390.0,390.0,0.0,390.0,390.0,0.0,390.0,390.0,0.0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Players Queen,292.0,292.0,292.0,292.0,0.0,292.0,292.0,292.0,0.0,292.0,0.0,0.0,0.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rosencrantz,554.0,301.0,105.0,146.0,0.0,119.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0
Players 1,420.0,0.0,0.0,410.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,0.0
Gravedigger,549.0,0.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fortinbras,153.0,153.0,153.0,0.0,153.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0
Guildenstern,280.0,106.0,176.0,39.0,0.0,39.0,79.0,0.0,0.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,6.0,0.0,57.0,0.0
Osric,456.0,51.0,456.0,0.0,51.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcellus,109.0,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Voltemand,5.0,187.0,0.0,187.0,5.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0
Ghost,805.0,0.0,11.0,47.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,103.0,103.0,103.0,0.0,103.0,103.0,103.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barnardo,9.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
