,Berowne,Princess,King,Boyet,Rosaline,Costard,Armado,Holofernes,Dumaine,Boy,Longaville,Katherine,Nathaniel,Winter,Spring,Maria,Dull,Jaquenetta,Marcade,Forester,Lords 0,Blackamoors,Lords,Musicians
Berowne,579.0,1692.0,4816.0,1692.0,1692.0,698.0,92.0,99.0,4670.0,211.0,4789.0,1692.0,24.0,0.0,0.0,1692.0,122.0,128.0,351.0,0.0,0.0,147.0,61.0,147.0
Princess,1186.0,0.0,1186.0,2434.0,2715.0,235.0,49.0,6.0,1186.0,44.0,1186.0,2715.0,11.0,0.0,0.0,2715.0,0.0,0.0,457.0,511.0,0.0,39.0,1031.0,39.0
King,2894.0,1096.0,0.0,1116.0,1096.0,629.0,28.0,0.0,2674.0,18.0,2685.0,1096.0,0.0,0.0,0.0,1096.0,519.0,92.0,209.0,0.0,0.0,170.0,412.0,170.0
Boyet,407.0,1968.0,381.0,0.0,2076.0,774.0,65.0,56.0,390.0,149.0,437.0,1968.0,27.0,0.0,0.0,2137.0,0.0,0.0,0.0,473.0,0.0,157.0,697.0,157.0
Rosaline,918.0,1524.0,874.0,1177.0,0.0,98.0,0.0,0.0,874.0,0.0,874.0,1524.0,0.0,0.0,0.0,1622.0,0.0,0.0,243.0,0.0,0.0,276.0,169.0,276.0
Costard,1078.0,708.0,911.0,761.0,708.0,221.0,580.0,154.0,911.0,580.0,911.0,708.0,294.0,0.0,0.0,761.0,498.0,51.0,0.0,121.0,0.0,0.0,121.0,0.0
Armado,454.0,454.0,454.0,454.0,454.0,1038.0,260.0,442.0,454.0,1708.0,454.0,454.0,442.0,0.0,0.0,454.0,462.0,40.0,166.0,0.0,0.0,0.0,0.0,0.0
Holofernes,139.0,139.0,139.0,139.0,139.0,875.0,317.0,0.0,139.0,456.0,139.0,139.0,1562.0,0.0,0.0,139.0,1562.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0
Dumaine,652.0,256.0,652.0,256.0,256.0,158.0,96.0,48.0,0.0,138.0,652.0,256.0,0.0,0.0,0.0,256.0,0.0,17.0,54.0,0.0,0.0,26.0,0.0,26.0
Boy,119.0,119.0,119.0,119.0,119.0,377.0,1280.0,184.0,119.0,0.0,119.0,119.0,184.0,0.0,0.0,119.0,184.0,0.0,0.0,0.0,0.0,88.0,0.0,88.0
Longaville,594.0,184.0,594.0,184.0,184.0,82.0,29.0,11.0,379.0,40.0,0.0,184.0,0.0,0.0,0.0,184.0,29.0,13.0,20.0,0.0,0.0,71.0,0.0,71.0
Katherine,159.0,484.0,159.0,252.0,484.0,0.0,0.0,0.0,159.0,0.0,159.0,0.0,0.0,0.0,0.0,484.0,0.0,0.0,76.0,0.0,0.0,83.0,76.0,83.0
Nathaniel,55.0,55.0,55.0,55.0,55.0,244.0,15.0,586.0,55.0,15.0,55.0,55.0,0.0,0.0,0.0,55.0,586.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,0.0,0.0,122.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0
Spring,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,0.0,0.0,122.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0
Maria,41.0,305.0,41.0,166.0,320.0,55.0,0.0,0.0,41.0,0.0,41.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,17.0,117.0,17.0
Dull,65.0,0.0,65.0,0.0,0.0,163.0,98.0,151.0,65.0,98.0,65.0,0.0,151.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaquenetta,30.0,0.0,30.0,0.0,0.0,131.0,27.0,74.0,30.0,27.0,30.0,0.0,74.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcade,36.0,36.0,36.0,36.0,36.0,36.0,36.0,0.0,36.0,36.0,36.0,36.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forester,0.0,57.0,0.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0
Lords 0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
Blackamoors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lords,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Musicians,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
