,Bottom,Theseus,Quince,Helena,Demetrius,Lysander,Titania,Oberon,Hermia,Flute,Robingoodfellow,Egeus,Hippolyta,Philostrate,Snout,Snug,Starveling,Fairies Titania 1,Fairies Titania 0 1,Fairies Titania Mustardseed,Fairies Titania,Fairies Titania Peaseblossom,Fairies Titania Cobweb,Fairies Titania Mote,Fairies Titania 0 2,Fairies Oberon,Attendants,Fairies
Bottom,225.0,540.0,1104.0,794.0,794.0,794.0,1119.0,254.0,794.0,1211.0,60.0,0.0,540.0,540.0,1371.0,1104.0,1358.0,0.0,0.0,396.0,0.0,396.0,237.0,396.0,0.0,0.0,540.0,0.0
Theseus,652.0,0.0,9.0,1358.0,1804.0,1804.0,0.0,0.0,1804.0,181.0,0.0,826.0,2113.0,1120.0,39.0,151.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2113.0,0.0
Quince,958.0,351.0,0.0,351.0,351.0,351.0,346.0,0.0,351.0,1072.0,34.0,0.0,351.0,351.0,1072.0,1020.0,1072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,0.0
Helena,22.0,0.0,0.0,243.0,1461.0,1572.0,316.0,1397.0,1305.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0
Demetrius,333.0,392.0,14.0,991.0,0.0,883.0,24.0,690.0,748.0,62.0,598.0,184.0,392.0,208.0,28.0,114.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,392.0,0.0
Lysander,127.0,315.0,0.0,923.0,819.0,80.0,433.0,494.0,1474.0,10.0,512.0,218.0,315.0,97.0,0.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,0.0
Titania,533.0,0.0,0.0,214.0,214.0,214.0,0.0,884.0,214.0,0.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,0.0,286.0,717.0,286.0,184.0,286.0,0.0,640.0,0.0,30.0
Oberon,415.0,0.0,0.0,415.0,580.0,415.0,790.0,49.0,424.0,0.0,1611.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,726.0,0.0,181.0
Hermia,20.0,113.0,0.0,709.0,891.0,1126.0,264.0,731.0,0.0,0.0,789.0,113.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0
Flute,267.0,247.0,221.0,247.0,247.0,247.0,72.0,0.0,247.0,0.0,0.0,0.0,247.0,247.0,317.0,181.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0
Robingoodfellow,138.0,0.0,45.0,154.0,351.0,331.0,282.0,628.0,265.0,45.0,285.0,0.0,0.0,0.0,45.0,45.0,45.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0
Egeus,107.0,376.0,0.0,107.0,376.0,376.0,0.0,0.0,376.0,0.0,0.0,0.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,0.0
Hippolyta,107.0,294.0,0.0,203.0,203.0,203.0,0.0,0.0,203.0,20.0,0.0,64.0,0.0,205.0,0.0,27.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0
Philostrate,0.0,222.0,0.0,222.0,222.0,222.0,0.0,0.0,222.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0
Snout,175.0,123.0,60.0,123.0,123.0,123.0,68.0,0.0,123.0,60.0,0.0,0.0,123.0,123.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0
