,Pericles,Marina,Simonides,Lysimachus,Thaisa,Cerimon,Helicanus,Bawd,Gower,Cleon,Bolt,Dionyza,Antiochus,Fishermen 1,Fishermen 2,Pander,Fishermen 3,Lords Tyre 0 1,Sailors 1,Thaliard,Leonine,Diana,Gentlemen Ephesus 1,Knights 0 1,Gentlemen Ephesus 2,Lords Tyre 0 2,Lychorida,Lords Pentapolis 0 1,Lords Tarsus 1,Servants Cerimon 0 1,Sailors Tyre 1,Sailors 2,Knights,Lords Mytilene 0 1,Sailors Mytilene 1,Gentlemen Mytilene 1,Gentlemen Mytilene 2,Lords Pentapolis 0 3,Pirates 0 1,Lords Pentapolis 0 2,Daughter,Marshal,Pirates 0 3,Suppliants 1,Lords Tyre 0 3,Knights 0 2,Knights 0 3,Gentlemen Tyre 0 1,Pirates 0 2,Messengers Antioch 1,Citizens Tarsus,Philemon,Lords Tyre,Lords Tyre Escanes,Pirates,Priestesses,Gentlemen Tyre,Servants Cerimon,Suppliants 2,Ladies Pentapolis,Attendants Pericles,Lords Mytilene,Followers Antiochus,Servants Cerimon 0 2,Marina Infant,Attendants Simonides,Lords Pentapolis,Companion,Attendants Pericles 1
Pericles,460.0,1488.0,472.0,1488.0,735.0,479.0,2076.0,0.0,0.0,402.0,0.0,402.0,738.0,631.0,565.0,0.0,565.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,925.0,255.0,210.0,1502.0,925.0,0.0,0.0,0.0,0.0,0.0,714.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,43.0,0.0,0.0,479.0,925.0,0.0,0.0,210.0,719.0,925.0,738.0,1748.0,643.0,210.0,210.0,925.0,323.0
Marina,513.0,0.0,0.0,730.0,11.0,11.0,513.0,171.0,0.0,0.0,352.0,116.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,0.0,0.0,513.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,502.0,0.0,0.0,0.0,11.0,502.0,0.0,1521.0,0.0,0.0,0.0,502.0,0.0
Simonides,1015.0,0.0,92.0,0.0,1102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.0,0.0,0.0,0.0,0.0,0.0,908.0,908.0,0.0,0.0
Lysimachus,363.0,606.0,0.0,0.0,0.0,0.0,437.0,125.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,235.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,0.0,25.0,412.0,0.0,898.0,0.0,0.0,0.0,210.0,0.0
Thaisa,411.0,180.0,426.0,180.0,0.0,282.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,17.0,0.0,195.0,180.0,0.0,0.0,282.0,0.0,390.0,390.0,0.0,0.0
Cerimon,133.0,133.0,0.0,133.0,204.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.0,0.0,663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,133.0,0.0,514.0,60.0,0.0,133.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0
Helicanus,444.0,66.0,0.0,279.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,0.0,0.0,66.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,300.0,0.0,8.0,287.0,0.0,0.0,0.0,10.0,269.0,0.0,312.0,0.0,0.0,0.0,56.0,0.0
Bawd,0.0,759.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,826.0,0.0,0.0,0.0,0.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.0,0.0,0.0,0.0,0.0,0.0
Gower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1399.0,0.0,0.0,0.0,0.0,0.0
Cleon,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,303.0,130.0,0.0,0.0,0.0,0.0
