,Richardii,Henryiv 1H4,York,Gaunt,Mowbray,Bishopofcarlisle,Northumberland,Aumerle,Duchessofyork,Queen,Fitzwater,Hotspur,Lordmarshal,Gardener,Scroop,Bagot,Surrey,Green,Exton,Bushy,Lords 1,Duchessofgloucester,Heralds 2,Heralds 1,Salisbury,Ross,Berkeley,Servants Gardener 1,Willoughby,Servants York 1,Abbotofwestminster,Groom,Welshcaptain,Jailer,Ladies 0 1,Servants Exton 0 1,Servants Gardener 2,Attendants,Officers,Soldiers Henry,Officers 0 1,Servants Exton,Attendants Henry,Attendants Gaunt,Heralds X,Officers 0,Soldiers Richard,Lords,Ladies
Richardii,0.0,3367.0,2624.0,1346.0,970.0,2716.0,2914.0,5172.0,0.0,1015.0,1314.0,2324.0,694.0,0.0,782.0,2066.0,1314.0,752.0,108.0,452.0,1314.0,0.0,661.0,694.0,930.0,388.0,0.0,0.0,388.0,0.0,1314.0,185.0,0.0,151.0,0.0,0.0,0.0,530.0,2635.0,1010.0,1782.0,108.0,1010.0,122.0,1314.0,1314.0,1402.0,1224.0,627.0
Henryiv 1H4,1143.0,0.0,1901.0,1243.0,971.0,563.0,1936.0,1417.0,124.0,0.0,583.0,1643.0,701.0,0.0,0.0,275.0,319.0,330.0,182.0,330.0,319.0,0.0,458.0,458.0,0.0,436.0,372.0,0.0,436.0,0.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,777.0,480.0,873.0,182.0,480.0,0.0,319.0,259.0,0.0,1543.0,0.0
York,596.0,958.0,0.0,166.0,0.0,86.0,1135.0,1263.0,728.0,942.0,86.0,581.0,0.0,0.0,0.0,1028.0,86.0,942.0,0.0,942.0,86.0,0.0,0.0,0.0,0.0,986.0,456.0,0.0,986.0,323.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,125.0,917.0,0.0,125.0,166.0,86.0,86.0,0.0,17.0,0.0
Gaunt,903.0,621.0,994.0,0.0,86.0,0.0,0.0,1104.0,0.0,519.0,0.0,0.0,585.0,0.0,0.0,519.0,0.0,519.0,0.0,519.0,0.0,141.0,315.0,315.0,0.0,519.0,0.0,0.0,519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,315.0,0.0,0.0,0.0,0.0,994.0,0.0,0.0,0.0,384.0,0.0
Mowbray,1249.0,1154.0,0.0,1249.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1249.0,0.0
Bishopofcarlisle,142.0,420.0,324.0,0.0,0.0,0.0,420.0,582.0,0.0,0.0,420.0,420.0,0.0,0.0,81.0,420.0,420.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,20.0,0.0,0.0,0.0,420.0,420.0,142.0,0.0,0.0
Northumberland,387.0,760.0,529.0,0.0,0.0,132.0,0.0,387.0,0.0,112.0,132.0,528.0,0.0,0.0,0.0,171.0,132.0,39.0,0.0,39.0,132.0,0.0,0.0,0.0,0.0,547.0,60.0,0.0,547.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,261.0,121.0,0.0,261.0,0.0,132.0,132.0,0.0,0.0,73.0
Aumerle,281.0,411.0,175.0,19.0,0.0,376.0,269.0,0.0,116.0,0.0,240.0,293.0,48.0,0.0,48.0,373.0,240.0,133.0,0.0,0.0,240.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,29.0,247.0,0.0,29.0,0.0,240.0,240.0,119.0,24.0,0.0
Duchessofyork,0.0,475.0,824.0,0.0,0.0,0.0,0.0,833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Queen,175.0,0.0,36.0,7.0,0.0,0.0,86.0,7.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,364.0,0.0,165.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,197.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,168.0,0.0,311.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,729.0
Fitzwater,0.0,265.0,37.0,0.0,0.0,228.0,265.0,228.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,228.0,228.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,37.0,0.0,0.0,0.0,228.0,228.0,0.0,0.0,0.0
Hotspur,0.0,422.0,106.0,0.0,0.0,97.0,365.0,56.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,56.0,56.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,65.0,98.0,0.0,65.0,0.0,56.0,56.0,0.0,57.0,0.0
