,Petruchio,Tranio,Katherine,Baptista,Hortensio,Lucentio,Gremio,Grumio,Biondello,Bianca,Vincentio,Merchant,Lord,Sly,Widow,Curtis,Tailor,Page,Servants Lord 0 1,Servants Lord 0 2,Messenger,Servants Lord 0 3,Servants Petruchio Nathaniel,Servants Baptista 1,Huntsmen 0 1,Huntsmen 0 3,Huntsmen 0 2,Players 0 1,Servants Petruchio Peter,Haberdasher,Servants Petruchio Phillip,Servants Petruchio Joseph,Servants Petruchio Nicholas,Players 0 2,Hostess,Servants Petruchio 0 4,Players,Servants Lord,Servants Petruchio,Officer,Huntsmen,Servants Lord 0,Servants Petruchio 0 2,Servants Baptista,Servants
Petruchio,0.0,2225.0,3724.0,2133.0,3344.0,1688.0,2524.0,3128.0,1525.0,834.0,909.0,597.0,5896.0,5896.0,226.0,339.0,418.0,5896.0,0.0,0.0,0.0,0.0,339.0,0.0,0.0,0.0,0.0,0.0,468.0,106.0,339.0,339.0,339.0,0.0,0.0,0.0,0.0,5896.0,725.0,57.0,0.0,5896.0,2578.0,608.0,597.0
Tranio,694.0,0.0,223.0,924.0,694.0,1839.0,1114.0,540.0,1318.0,464.0,150.0,770.0,2763.0,2763.0,0.0,0.0,0.0,2763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763.0,108.0,11.0,0.0,2763.0,1041.0,290.0,42.0
Katherine,1498.0,966.0,0.0,1001.0,1193.0,914.0,966.0,700.0,497.0,923.0,582.0,497.0,2150.0,2150.0,476.0,0.0,161.0,2150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2150.0,280.0,54.0,0.0,2150.0,1254.0,289.0,497.0
Baptista,751.0,1524.0,554.0,0.0,760.0,1134.0,1393.0,234.0,835.0,691.0,193.0,334.0,1674.0,1674.0,15.0,0.0,0.0,1674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.0,99.0,72.0,0.0,1674.0,381.0,418.0,104.0
Hortensio,1115.0,892.0,224.0,329.0,0.0,1089.0,813.0,898.0,361.0,522.0,151.0,126.0,1929.0,1929.0,43.0,0.0,58.0,1929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1929.0,47.0,0.0,0.0,1929.0,541.0,0.0,126.0
Lucentio,392.0,1222.0,289.0,365.0,631.0,0.0,462.0,329.0,445.0,636.0,328.0,237.0,1732.0,1732.0,172.0,0.0,0.0,1732.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1732.0,103.0,103.0,0.0,1732.0,488.0,100.0,237.0
Gremio,670.0,1293.0,199.0,723.0,830.0,1152.0,0.0,513.0,245.0,115.0,106.0,84.0,1641.0,1641.0,10.0,0.0,0.0,1641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1641.0,98.0,88.0,0.0,1641.0,139.0,100.0,32.0
Grumio,881.0,20.0,461.0,15.0,719.0,73.0,73.0,0.0,5.0,15.0,0.0,0.0,1810.0,1810.0,0.0,781.0,260.0,1810.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,149.0,149.0,149.0,0.0,0.0,0.0,0.0,1810.0,0.0,0.0,0.0,1810.0,365.0,15.0,0.0
Biondello,187.0,648.0,126.0,466.0,61.0,813.0,612.0,187.0,0.0,484.0,168.0,118.0,992.0,992.0,0.0,0.0,0.0,992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,126.0,24.0,0.0,992.0,522.0,412.0,42.0
Bianca,89.0,182.0,285.0,134.0,484.0,530.0,134.0,69.0,78.0,0.0,89.0,78.0,690.0,690.0,78.0,0.0,0.0,690.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,11.0,11.0,0.0,690.0,148.0,20.0,78.0
Vincentio,434.0,193.0,434.0,254.0,104.0,80.0,349.0,340.0,58.0,80.0,0.0,193.0,434.0,434.0,19.0,0.0,0.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,415.0,80.0,0.0,434.0,434.0,235.0,19.0
Merchant,137.0,368.0,137.0,173.0,0.0,138.0,137.0,137.0,278.0,0.0,137.0,0.0,470.0,470.0,0.0,0.0,0.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,137.0,6.0,0.0,470.0,470.0,35.0,0.0
Lord,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.0,0.0,0.0,0.0,13.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0,1278.0,0.0,0.0,490.0,13.0,0.0,0.0,0.0
Sly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,30.0,0.0,0.0,0.0,235.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,560.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0
Widow,90.0,90.0,90.0,90.0,90.0,90.0,90.0,53.0,90.0,90.0,90.0,90.0,90.0,90.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,90.0,90.0,0.0,90.0
Curtis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,220.0,220.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,220.0,57.0,0.0,0.0
Tailor,130.0,0.0,130.0,0.0,130.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,130.0,130.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,130.0,130.0,0.0,0.0
Page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0
Servants Lord 0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,150.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
Servants Lord 0 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Messenger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0
Servants Lord 0 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Servants Petruchio Nathaniel,2.0,0.0,2.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0,32.0,0.0,24.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,32.0,8.0,0.0,0.0
Servants Baptista 1,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0
Huntsmen 0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0
Huntsmen 0 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0
Huntsmen 0 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0
Players 0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Servants Petruchio Peter,4.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,12.0,10.0,0.0,0.0
Haberdasher,9.0,0.0,9.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0
Servants Petruchio Phillip,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Servants Petruchio Joseph,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Servants Petruchio Nicholas,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Players 0 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hostess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Servants Petruchio 0 4,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
Players,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Servants Lord,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
