,Orsino,Olivia,Feste,Viola,Malvolio,Tobybelch,Fabian,Andrewaguecheek,Sebastian,Antonio,Maria,Officers 1,Priest,Captain,Attendants Orsino Valentine,Attendants Orsino Curio,Officers 2,Attendants Olivia 1,Attendants Olivia,Attendants Orsino,Sailors,Musicians
Orsino,0.0,580.0,400.0,1694.0,5.0,11.0,670.0,15.0,260.0,702.0,0.0,702.0,331.0,0.0,323.0,1686.0,702.0,0.0,580.0,1839.0,0.0,775.0
Olivia,596.0,151.0,618.0,1774.0,653.0,251.0,671.0,218.0,601.0,596.0,579.0,596.0,481.0,0.0,0.0,596.0,596.0,48.0,1192.0,596.0,0.0,0.0
Feste,755.0,709.0,276.0,1154.0,1004.0,565.0,574.0,297.0,409.0,248.0,450.0,248.0,248.0,0.0,0.0,755.0,248.0,0.0,709.0,755.0,0.0,218.0
Viola,775.0,1266.0,189.0,354.0,28.0,493.0,625.0,382.0,220.0,515.0,358.0,515.0,258.0,291.0,128.0,482.0,515.0,0.0,695.0,542.0,291.0,60.0
Malvolio,172.0,681.0,847.0,315.0,238.0,1462.0,1290.0,1246.0,172.0,172.0,593.0,172.0,172.0,0.0,0.0,172.0,172.0,0.0,485.0,172.0,0.0,0.0
Tobybelch,65.0,139.0,663.0,568.0,478.0,0.0,1887.0,2180.0,74.0,94.0,1380.0,71.0,65.0,0.0,0.0,65.0,71.0,0.0,124.0,65.0,0.0,0.0
Fabian,225.0,245.0,254.0,380.0,341.0,680.0,0.0,538.0,225.0,238.0,162.0,238.0,225.0,0.0,0.0,225.0,238.0,0.0,225.0,225.0,0.0,0.0
Andrewaguecheek,179.0,205.0,406.0,263.0,53.0,1288.0,522.0,0.0,59.0,211.0,337.0,211.0,179.0,0.0,0.0,179.0,211.0,0.0,179.0,179.0,0.0,0.0
Sebastian,287.0,357.0,81.0,287.0,0.0,55.0,55.0,55.0,208.0,805.0,0.0,287.0,308.0,0.0,0.0,287.0,287.0,0.0,287.0,287.0,0.0,0.0
Antonio,244.0,30.0,0.0,539.0,0.0,295.0,509.0,295.0,398.0,48.0,0.0,485.0,30.0,0.0,0.0,244.0,485.0,0.0,30.0,244.0,0.0,0.0
Maria,0.0,122.0,620.0,12.0,192.0,1148.0,501.0,666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0
Officers 1,53.0,0.0,0.0,125.0,0.0,72.0,125.0,72.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,53.0,125.0,0.0,0.0,53.0,0.0,0.0
Priest,70.0,70.0,0.0,70.0,0.0,0.0,70.0,0.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,70.0,70.0,0.0,70.0,70.0,0.0,0.0
Captain,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0
Attendants Orsino Valentine,80.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,80.0,0.0,80.0
Attendants Orsino Curio,52.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,52.0
Officers 2,0.0,0.0,0.0,27.0,0.0,27.0,27.0,27.0,0.0,27.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attendants Olivia 1,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attendants Olivia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attendants Orsino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sailors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Musicians,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
