,Timon,Apemantus,Flavius,Alcibiades,Poet,Oldman,Senators 1,Painter,Friends Lucius,Senators 2,Servants Lucius 1,Fool,Lords 0 1,Senators 0 1,Servants Timon Servilius,Servants Caphis,Servants Titus,Servants Varro 1,Strangers 1,Friends Lucullus,Friends Ventidius,Lords 0 2,Jeweler,Cupid,Servants Timon Flaminius,Servants Hortensius,Bandits 1,Messengers X 1,Merchant,Friends 0 2,Servants Timon Lucilius,Senators X,Servants Page,Soldiers 1,Servants Timon X 1,Friends 0 1,Servants Isidore 1,Servants Varro 2,Servants Timon 3,Senators 0 2,Friends Sempronius,Messengers X 3,Bandits 3,Servants Timon 2,Servants Philotus,Lords 0 3,Bandits 2,Friends 0 3,Servants Timon X 2,Strangers 2,Servants Timon 0 3,Servants Timon 1,Servants Timon 0 2,Timandra,Ladies 0 1,Servants Timon 0 1,Phrynia,Messengers X 2,Senators 3,Attendants Timon 0 1,Ladies,Lords,Servants Lucullus 1,Senators 4,Friends 0,Friends 0 4,Strangers 3,Senators 0 3,Friends,Servants Timon 0,Attendants Timon,Attendants Alcibiades,Servants Timon,Senators,Attendants,Soldiers
Timon,385.0,2276.0,2492.0,2015.0,1108.0,115.0,595.0,1108.0,919.0,595.0,99.0,0.0,0.0,0.0,175.0,133.0,99.0,232.0,0.0,0.0,919.0,0.0,557.0,85.0,76.0,99.0,353.0,95.0,557.0,0.0,210.0,0.0,0.0,0.0,15.0,0.0,133.0,99.0,16.0,0.0,0.0,0.0,353.0,27.0,99.0,0.0,353.0,0.0,76.0,0.0,0.0,5.0,0.0,950.0,0.0,0.0,950.0,66.0,0.0,0.0,69.0,919.0,0.0,0.0,0.0,0.0,0.0,0.0,547.0,4652.0,919.0,25.0,1104.0,1476.0,121.0,0.0
Apemantus,1817.0,37.0,588.0,625.0,336.0,0.0,0.0,336.0,580.0,0.0,0.0,222.0,0.0,0.0,0.0,222.0,0.0,222.0,0.0,0.0,580.0,0.0,336.0,140.0,0.0,0.0,14.0,0.0,336.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.0,580.0,45.0,336.0,916.0,0.0,0.0
Flavius,1188.0,230.0,113.0,230.0,0.0,0.0,94.0,0.0,230.0,94.0,118.0,0.0,0.0,0.0,0.0,50.0,118.0,168.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.0,230.0,0.0,334.0,230.0,0.0,0.0
Alcibiades,331.0,63.0,38.0,0.0,17.0,0.0,246.0,17.0,46.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,268.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,46.0,734.0,17.0,644.0,0.0,362.0
Poet,232.0,24.0,0.0,0.0,0.0,0.0,0.0,869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.0,0.0,0.0,0.0,0.0,0.0,637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,0.0,34.0,421.0,0.0,0.0
Oldman,243.0,0.0,0.0,0.0,243.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,243.0,0.0,0.0
Senators 1,155.0,0.0,188.0,203.0,0.0,0.0,0.0,0.0,0.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,435.0,0.0,0.0,0.0,0.0,0.0,203.0
Painter,227.0,4.0,0.0,0.0,544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,22.0,140.0,0.0,0.0
Friends Lucius,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,0.0,0.0,412.0,0.0,12.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0
Senators 2,131.0,0.0,208.0,183.0,0.0,0.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.0,0.0,0.0,0.0,0.0,0.0,183.0
Servants Lucius 1,21.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fool,17.0,213.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lords 0 1,95.0,112.0,53.0,95.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,95.0,0.0,0.0
