,Titus,Marcus,Saturninus,Tamora,Aaron,Lucius,Bassianus,Demetrius,Lavinia,Younglucius,Chiron,Countryfellow,Aemilius,Martius,Goths 0 2,Nurse,Quintus,Publius,Tribunes,Tribunes 0 1,Mutius,Messenger,Goths 0 1,Goths 0,Attendants,Captain,Goths,Valentine,Senators,Guards,Sempronius,Romans,Romans 0,Alarbus,Servants,Caius,Infant
Titus,0.0,4641.0,902.0,2174.0,1214.0,3254.0,618.0,2308.0,3935.0,2413.0,2308.0,227.0,292.0,1619.0,1604.0,0.0,1619.0,1311.0,924.0,0.0,1128.0,0.0,0.0,0.0,424.0,902.0,292.0,489.0,632.0,375.0,822.0,902.0,7097.0,300.0,1007.0,1311.0,292.0
Marcus,2161.0,0.0,1063.0,858.0,311.0,1447.0,475.0,254.0,2233.0,1279.0,254.0,29.0,604.0,408.0,614.0,0.0,408.0,180.0,1028.0,0.0,369.0,0.0,0.0,0.0,630.0,209.0,604.0,0.0,424.0,193.0,180.0,440.0,2736.0,0.0,559.0,180.0,604.0
Saturninus,1210.0,809.0,0.0,1722.0,1170.0,922.0,1060.0,1379.0,649.0,70.0,1379.0,11.0,224.0,915.0,85.0,0.0,915.0,0.0,542.0,0.0,620.0,0.0,0.0,0.0,966.0,620.0,85.0,0.0,457.0,317.0,0.0,765.0,1800.0,0.0,70.0,0.0,85.0
Tamora,1102.0,432.0,962.0,0.0,886.0,673.0,1007.0,1956.0,889.0,18.0,1956.0,19.0,222.0,655.0,572.0,0.0,655.0,0.0,18.0,0.0,190.0,0.0,0.0,0.0,510.0,196.0,18.0,0.0,0.0,0.0,0.0,196.0,2353.0,152.0,18.0,0.0,18.0
Aaron,276.0,248.0,81.0,304.0,0.0,1097.0,97.0,1577.0,294.0,80.0,1577.0,0.0,70.0,68.0,932.0,825.0,68.0,0.0,70.0,0.0,0.0,0.0,0.0,70.0,81.0,0.0,932.0,0.0,0.0,0.0,0.0,0.0,3377.0,0.0,10.0,0.0,1853.0
Lucius,1064.0,955.0,608.0,752.0,761.0,0.0,54.0,205.0,780.0,537.0,205.0,0.0,594.0,238.0,966.0,0.0,238.0,0.0,561.0,0.0,223.0,0.0,0.0,48.0,547.0,197.0,1053.0,0.0,14.0,14.0,0.0,197.0,1692.0,81.0,235.0,0.0,966.0
Bassianus,282.0,447.0,418.0,398.0,276.0,282.0,0.0,282.0,398.0,0.0,282.0,0.0,0.0,282.0,0.0,0.0,282.0,0.0,212.0,0.0,90.0,0.0,0.0,0.0,6.0,90.0,0.0,0.0,212.0,61.0,0.0,255.0,398.0,0.0,0.0,0.0,0.0
Demetrius,122.0,23.0,23.0,247.0,638.0,23.0,148.0,0.0,214.0,9.0,872.0,0.0,0.0,23.0,20.0,143.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,79.0,0.0,0.0,0.0,0.0,0.0,79.0,872.0,0.0,9.0,0.0,143.0
Lavinia,104.0,30.0,30.0,551.0,90.0,104.0,477.0,437.0,0.0,0.0,437.0,0.0,0.0,104.0,0.0,0.0,104.0,0.0,16.0,0.0,90.0,0.0,0.0,0.0,14.0,90.0,0.0,0.0,16.0,16.0,0.0,90.0,551.0,0.0,0.0,0.0,0.0
Younglucius,314.0,314.0,46.0,46.0,126.0,46.0,0.0,126.0,314.0,0.0,126.0,0.0,46.0,0.0,46.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,144.0,0.0,46.0
Chiron,39.0,0.0,0.0,139.0,292.0,0.0,112.0,490.0,156.0,16.0,0.0,0.0,0.0,0.0,42.0,41.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,10.0,0.0,0.0,0.0,7.0,490.0,0.0,16.0,10.0,41.0
Countryfellow,155.0,155.0,61.0,61.0,0.0,0.0,0.0,61.0,0.0,155.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,216.0,0.0,0.0,155.0,0.0
Aemilius,37.0,37.0,109.0,109.0,52.0,89.0,0.0,72.0,37.0,37.0,72.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,37.0,0.0,89.0
Martius,43.0,43.0,43.0,0.0,84.0,43.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0
