,Prospero,Gonzalo,Alonso,Antonio,Ariel,Stephano,Caliban,Sebastian,Ferdinand,Boatswain,Trinculo,Miranda,Spirits Iris,Spirits Ceres,Francisco,Adrian,Spirits Juno,Sailors,Shipmaster,Spirits Reapers,Spirits,Spirits Nymphs
Prospero,847.0,1101.0,1101.0,1101.0,2136.0,218.0,388.0,1101.0,1691.0,446.0,218.0,4061.0,87.0,87.0,1101.0,1101.0,87.0,0.0,446.0,35.0,91.0,35.0
Gonzalo,370.0,39.0,1265.0,1327.0,127.0,0.0,0.0,1327.0,278.0,57.0,0.0,199.0,0.0,0.0,1240.0,1240.0,0.0,102.0,0.0,0.0,68.0,0.0
Alonso,557.0,914.0,0.0,914.0,213.0,60.0,60.0,914.0,263.0,144.0,60.0,249.0,0.0,0.0,900.0,900.0,0.0,14.0,130.0,0.0,43.0,0.0
Antonio,48.0,1189.0,1129.0,0.0,89.0,15.0,15.0,1189.0,22.0,70.0,15.0,15.0,0.0,0.0,1127.0,1127.0,0.0,30.0,15.0,0.0,33.0,0.0
Ariel,1481.0,470.0,470.0,470.0,0.0,28.0,28.0,470.0,219.0,17.0,28.0,774.0,0.0,0.0,470.0,470.0,0.0,0.0,17.0,0.0,8.0,0.0
Stephano,297.0,55.0,55.0,55.0,673.0,0.0,1676.0,55.0,55.0,55.0,1676.0,55.0,0.0,0.0,55.0,55.0,0.0,0.0,55.0,0.0,0.0,0.0
Caliban,536.0,66.0,66.0,66.0,783.0,1189.0,169.0,66.0,66.0,66.0,1189.0,343.0,0.0,0.0,66.0,66.0,0.0,0.0,66.0,0.0,0.0,0.0
Sebastian,111.0,857.0,818.0,857.0,116.0,41.0,41.0,0.0,46.0,61.0,41.0,46.0,0.0,0.0,831.0,831.0,0.0,14.0,41.0,0.0,33.0,0.0
Ferdinand,1025.0,105.0,105.0,105.0,406.0,0.0,0.0,105.0,138.0,0.0,0.0,1025.0,39.0,39.0,105.0,105.0,39.0,0.0,0.0,0.0,0.0,0.0
Boatswain,171.0,350.0,317.0,350.0,171.0,0.0,0.0,350.0,317.0,0.0,0.0,171.0,0.0,0.0,171.0,171.0,0.0,282.0,178.0,0.0,0.0,0.0
Trinculo,186.0,46.0,46.0,46.0,292.0,719.0,1006.0,46.0,46.0,46.0,0.0,46.0,0.0,0.0,46.0,46.0,0.0,0.0,46.0,0.0,0.0,0.0
Miranda,1223.0,55.0,55.0,55.0,206.0,0.0,111.0,55.0,670.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
Spirits Iris,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,0.0,0.0,365.0,0.0,207.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0
Spirits Ceres,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,183.0,183.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0
Francisco,4.0,95.0,95.0,95.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian,0.0,80.0,74.0,74.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spirits Juno,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sailors,0.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shipmaster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spirits Reapers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spirits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spirits Nymphs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
