,Ulysses,Hector,Agamemnon,Troilus,Aeneas,Nestor,Pandarus,Achilles,Cressida,Thersites,Diomedes,Ajax,Paris,Calchas,Patroclus,Cassandra,Menelaus,Helen,Priam,Alexander,Prologue,Andromache,Helenus,Servants Paris 1,Deiphobus,Soldiers,Myrmidons 0 1,Boy,Bastard,Servants Troilus 1,Servants Diomedes 1,Antenor,Soldiers Trojan,Servants Aeneas 1,Trumpeter,Attendants Trojan,Soldiers Greek,Attendants Greek,Myrmidons,Soldiers Greek 1
Ulysses,0.0,288.0,2583.0,571.0,275.0,2954.0,0.0,1574.0,321.0,230.0,2610.0,1266.0,167.0,655.0,1573.0,0.0,1813.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,167.0,0.0,1694.0,0.0,0.0
Hector,744.0,40.0,733.0,1593.0,712.0,744.0,0.0,755.0,0.0,58.0,744.0,744.0,897.0,0.0,712.0,168.0,733.0,0.0,739.0,0.0,0.0,298.0,897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.0,285.0,0.0,712.0,10.0,118.0
Agamemnon,1466.0,276.0,0.0,276.0,486.0,1606.0,0.0,398.0,24.0,33.0,1561.0,1037.0,98.0,583.0,699.0,0.0,1082.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.0,98.0,48.0,882.0,0.0,0.0
Troilus,867.0,1010.0,8.0,315.0,636.0,15.0,1166.0,15.0,1677.0,782.0,430.0,50.0,1230.0,0.0,8.0,16.0,8.0,0.0,775.0,0.0,0.0,168.0,767.0,0.0,463.0,0.0,0.0,0.0,0.0,5.0,0.0,463.0,291.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0
Aeneas,772.0,206.0,739.0,403.0,0.0,739.0,193.0,206.0,14.0,33.0,729.0,206.0,454.0,0.0,206.0,0.0,739.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,34.0,165.0,739.0,197.0,0.0,904.0,0.0,0.0
Nestor,1228.0,230.0,1012.0,230.0,341.0,0.0,0.0,278.0,32.0,0.0,988.0,434.0,8.0,152.0,405.0,0.0,730.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,8.0,126.0,710.0,0.0,0.0
Pandarus,0.0,0.0,0.0,1337.0,71.0,0.0,276.0,0.0,2344.0,0.0,0.0,0.0,558.0,0.0,0.0,0.0,0.0,551.0,0.0,795.0,0.0,0.0,0.0,730.0,7.0,0.0,0.0,27.0,0.0,25.0,0.0,7.0,7.0,0.0,0.0,551.0,0.0,0.0,0.0,0.0
Achilles,705.0,471.0,306.0,227.0,183.0,332.0,0.0,0.0,16.0,514.0,224.0,526.0,34.0,15.0,1277.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,34.0,0.0,204.0,253.0,178.0
Cressida,527.0,0.0,91.0,1425.0,0.0,91.0,1748.0,91.0,0.0,436.0,527.0,91.0,0.0,0.0,91.0,0.0,91.0,0.0,0.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,91.0,0.0,0.0
Thersites,171.0,33.0,64.0,142.0,0.0,64.0,0.0,1117.0,70.0,1055.0,155.0,769.0,46.0,50.0,1160.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diomedes,327.0,48.0,108.0,418.0,263.0,131.0,0.0,63.0,339.0,258.0,22.0,155.0,447.0,52.0,40.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,422.0,0.0,0.0,0.0,0.0,0.0,45.0,422.0,0.0,120.0,40.0,25.0,10.0,344.0,0.0,0.0
Ajax,401.0,155.0,476.0,165.0,136.0,476.0,0.0,265.0,0.0,153.0,456.0,23.0,72.0,236.0,265.0,0.0,234.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,72.0,21.0,194.0,0.0,0.0
Paris,0.0,256.0,0.0,301.0,283.0,0.0,166.0,0.0,3.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,256.0,0.0,0.0,0.0,256.0,244.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,1.0,196.0,0.0,244.0,0.0,281.0,0.0,0.0
Calchas,269.0,0.0,269.0,0.0,0.0,269.0,0.0,0.0,0.0,0.0,277.0,269.0,0.0,0.0,0.0,0.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patroclus,151.0,0.0,118.0,0.0,0.0,118.0,0.0,397.0,44.0,190.0,118.0,135.0,0.0,74.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0
Cassandra,0.0,341.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,271.0,0.0,0.0,116.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Menelaus,109.0,35.0,101.0,35.0,29.0,101.0,0.0,106.0,63.0,6.0,101.0,106.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,95.0,0.0,0.0
Helen,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0
Priam,0.0,177.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,55.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
