,Masterford,Falstaff 1H4,Mistresspage,Hughevans,Mistressquickly 1H4,Masterpage,Slender,Host,Shallow 2H4,Doctorcaius,Mistressford,Fenton,Pistol 2H4,Nym H5,Simple,Annepage,Bardolph 1H4,Robin,Williampage,Rugby,Boys,Robert,John
Masterford,748.0,1355.0,864.0,1251.0,251.0,1453.0,144.0,122.0,614.0,944.0,1064.0,57.0,279.0,39.0,0.0,57.0,18.0,55.0,0.0,76.0,251.0,453.0,453.0
Falstaff 1H4,1533.0,450.0,496.0,433.0,866.0,385.0,165.0,183.0,132.0,33.0,868.0,33.0,1401.0,619.0,108.0,81.0,525.0,762.0,0.0,0.0,301.0,0.0,0.0
Mistresspage,738.0,740.0,377.0,662.0,480.0,655.0,110.0,0.0,36.0,201.0,2406.0,138.0,224.0,0.0,0.0,138.0,0.0,528.0,150.0,0.0,224.0,22.0,22.0
Hughevans,332.0,443.0,554.0,135.0,485.0,678.0,916.0,170.0,1000.0,345.0,311.0,0.0,362.0,156.0,615.0,129.0,237.0,0.0,279.0,152.0,253.0,50.0,50.0
Mistressquickly 1H4,15.0,1397.0,168.0,430.0,15.0,15.0,27.0,0.0,27.0,370.0,15.0,425.0,1128.0,0.0,631.0,344.0,15.0,806.0,141.0,516.0,322.0,0.0,0.0
Masterpage,878.0,253.0,640.0,923.0,277.0,0.0,703.0,224.0,642.0,389.0,566.0,141.0,253.0,67.0,107.0,188.0,67.0,0.0,0.0,164.0,186.0,39.0,39.0
Slender,213.0,384.0,171.0,841.0,395.0,584.0,0.0,51.0,946.0,57.0,171.0,224.0,384.0,213.0,318.0,564.0,213.0,0.0,0.0,57.0,171.0,0.0,0.0
Host,174.0,200.0,0.0,282.0,0.0,611.0,490.0,0.0,575.0,594.0,0.0,72.0,82.0,82.0,370.0,0.0,242.0,82.0,0.0,564.0,0.0,0.0,0.0
Shallow 2H4,260.0,34.0,0.0,677.0,88.0,787.0,949.0,424.0,0.0,283.0,16.0,88.0,34.0,34.0,269.0,116.0,34.0,0.0,0.0,255.0,0.0,28.0,28.0
Doctorcaius,126.0,116.0,109.0,275.0,447.0,345.0,282.0,362.0,221.0,0.0,109.0,0.0,61.0,0.0,432.0,0.0,55.0,0.0,0.0,766.0,61.0,0.0,0.0
Mistressford,260.0,460.0,1330.0,218.0,45.0,260.0,0.0,0.0,110.0,148.0,24.0,0.0,33.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,33.0,206.0,206.0
Fenton,96.0,96.0,171.0,96.0,298.0,112.0,112.0,455.0,16.0,96.0,96.0,0.0,96.0,0.0,0.0,331.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0
Pistol 2H4,131.0,319.0,131.0,132.0,81.0,182.0,51.0,0.0,51.0,0.0,131.0,0.0,0.0,390.0,0.0,64.0,62.0,116.0,0.0,0.0,81.0,0.0,0.0
Nym H5,97.0,123.0,97.0,49.0,0.0,146.0,49.0,0.0,49.0,0.0,97.0,0.0,192.0,0.0,0.0,0.0,49.0,74.0,0.0,0.0,0.0,0.0,0.0
Simple,0.0,156.0,0.0,95.0,118.0,0.0,23.0,210.0,23.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0
Annepage,11.0,11.0,40.0,25.0,105.0,28.0,170.0,0.0,79.0,11.0,11.0,148.0,11.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
Bardolph 1H4,0.0,175.0,0.0,46.0,5.0,46.0,46.0,96.0,46.0,0.0,0.0,0.0,59.0,59.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
Robin,4.0,38.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Williampage,0.0,0.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rugby,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boys,0.0,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
John,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
