,Rosalind,Touchstone,Jaques,Orlando,Dukesenior,Celia,Dukefrederick,Oliver,Phoebe,Hymen,Secondbrother,Silvius,Corin,Lords Senior 0 1,Lords Senior Amiens,Lords Frederick Lebeau,Charles,Adam,Servants 1,Servants 2,Audrey,Lords Frederick 0 2,William,Lords Senior 0 2,Olivermartext,Lords Frederick 0 1,Lords Senior,Dennis,Attendants,Lords Frederick
Rosalind,257.0,679.0,451.0,3457.0,230.0,5805.0,252.0,359.0,943.0,64.0,0.0,1464.0,818.0,0.0,230.0,180.0,97.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,252.0
Touchstone,646.0,0.0,1249.0,548.0,548.0,499.0,0.0,548.0,548.0,0.0,0.0,548.0,770.0,0.0,548.0,54.0,0.0,0.0,74.0,74.0,1806.0,0.0,412.0,0.0,203.0,0.0,0.0,0.0,0.0,0.0
Jaques,499.0,434.0,0.0,534.0,1270.0,499.0,0.0,316.0,316.0,165.0,165.0,316.0,0.0,0.0,1581.0,0.0,0.0,0.0,0.0,0.0,434.0,0.0,0.0,0.0,95.0,0.0,1333.0,0.0,0.0,0.0
Orlando,1160.0,238.0,567.0,132.0,396.0,994.0,226.0,557.0,129.0,12.0,0.0,129.0,0.0,0.0,396.0,292.0,212.0,1041.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,226.0,226.0
Dukesenior,194.0,218.0,646.0,542.0,0.0,212.0,0.0,263.0,245.0,182.0,150.0,245.0,0.0,0.0,955.0,0.0,0.0,146.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,692.0,0.0,0.0,0.0
Celia,2544.0,659.0,0.0,259.0,0.0,0.0,252.0,164.0,0.0,0.0,0.0,5.0,258.0,0.0,0.0,227.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,252.0
Dukefrederick,412.0,198.0,0.0,198.0,0.0,412.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,638.0
Oliver,723.0,0.0,0.0,213.0,0.0,714.0,20.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,20.0
Phoebe,376.0,35.0,51.0,113.0,51.0,314.0,0.0,51.0,0.0,35.0,0.0,827.0,263.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hymen,181.0,181.0,181.0,181.0,181.0,181.0,0.0,181.0,181.0,0.0,0.0,181.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Secondbrother,149.0,149.0,149.0,149.0,149.0,149.0,0.0,149.0,149.0,149.0,0.0,149.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
