,Coriolanus,Menenius,Volumnia,Tribunes Sicinius,Cominius,Tribunes Brutus,Aufidius,Citizens Roman 3,Senators Roman 0 1,Valeria,Lartius,Servants 3,Virgilia,Citizens Roman,Citizens Roman 2,Watchmen 1,Citizens Roman 0 1,Citizens Roman 0 2,Servants 2,Citizens Roman 1,Messengers Tribunes 2,Servants 1,Messengers Tribunes 1,Nicanor,Herald,Senators Volscian 0 1,Lords Volscian 0 1,Lords Volscian 0 2,Officers 2,Citizens Roman 0 3,Adrian,Senators Roman 0 2,Officers 1,Watchmen 2,Conspirators 0 3,Messengers X 4,Aediles X 2,Conspirators 0 1,Soldiers Volscian Lieutenant,Citizens Roman 4,Aediles X 3,Messengers X 3,Senators Roman,Youngmartius,Citizens Volscian,Conspirators 0 2,Citizens Roman 7,Lords Volscian 0 3,Soldiers Roman 0 1,Senators Volscian 0 2,Citizens Roman 6,Conspirators,Citizens Roman 5,Lords Volscian,Soldiers Volscian 0 1,Messengers X 2,Citizens Antium 1,Messengers X 1,Aediles,Citizens Roman 8,Gentlewoman,Soldiers Roman,Soldiers Roman Lieutenant,Nobles 0 1,Soldiers Roman 0 3,Soldiers Roman 0 2,Senators Volscian,Aediles X 1,Soldiers Roman 0,Nobles,Usher,Soldiers Volscian,Attendants Roman,Attendants Volscian,Lictors,Soldiers Roman Trumpeter,Soldiers Roman Scout
Coriolanus,0.0,3799.0,1558.0,2085.0,3763.0,2085.0,1908.0,97.0,0.0,815.0,2338.0,80.0,1222.0,1112.0,97.0,134.0,0.0,0.0,447.0,97.0,0.0,487.0,0.0,0.0,161.0,0.0,0.0,0.0,194.0,0.0,0.0,0.0,194.0,134.0,0.0,0.0,342.0,0.0,0.0,162.0,0.0,0.0,2366.0,654.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,162.0,297.0,0.0,191.0,182.0,197.0,57.0,0.0,0.0,1546.0,0.0,0.0,0.0,0.0,0.0,0.0,6202.0,924.0,0.0,75.0,654.0,0.0,194.0,178.0,0.0
Menenius,1209.0,0.0,617.0,3364.0,1383.0,3005.0,212.0,0.0,0.0,388.0,285.0,0.0,465.0,1541.0,0.0,532.0,0.0,0.0,0.0,0.0,354.0,0.0,369.0,0.0,102.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,303.0,532.0,0.0,0.0,98.0,0.0,0.0,0.0,402.0,0.0,752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,494.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,4371.0,198.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0
Volumnia,1827.0,1358.0,0.0,602.0,286.0,602.0,986.0,0.0,0.0,1392.0,102.0,0.0,2190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.0,986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,2416.0,739.0,56.0,0.0,986.0,0.0,0.0,0.0,0.0
Tribunes Sicinius,621.0,1284.0,60.0,0.0,646.0,2207.0,0.0,341.0,0.0,0.0,241.0,0.0,60.0,667.0,341.0,0.0,0.0,0.0,0.0,341.0,93.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,39.0,0.0,0.0,4.0,476.0,0.0,0.0,341.0,97.0,0.0,561.0,0.0,0.0,0.0,341.0,0.0,0.0,0.0,341.0,0.0,341.0,0.0,0.0,0.0,0.0,0.0,299.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2191.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0
Cominius,1063.0,1295.0,132.0,1187.0,0.0,1187.0,0.0,0.0,0.0,16.0,513.0,0.0,81.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,0.0,295.0,0.0,16.0,0.0,0.0,0.0,427.0,0.0,0.0,0.0,427.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,295.0,44.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,852.0,0.0,0.0,0.0,0.0,0.0,0.0,1795.0,149.0,0.0,0.0,0.0,0.0,427.0,0.0,0.0
Tribunes Brutus,361.0,675.0,32.0,1888.0,392.0,0.0,0.0,400.0,0.0,0.0,251.0,0.0,32.0,237.0,400.0,0.0,0.0,0.0,0.0,400.0,10.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,57.0,0.0,0.0,26.0,174.0,0.0,0.0,400.0,42.0,0.0,354.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,400.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,162.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1744.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0
Aufidius,1024.0,6.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,6.0,0.0,0.0,515.0,0.0,0.0,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,461.0,0.0,0.0,0.0,0.0,31.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,0.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,2124.0,0.0,0.0,308.0,31.0,97.0,0.0,0.0,0.0
Citizens Roman 3,43.0,0.0,0.0,114.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,0.0,0.0,0.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,0.0,0.0,0.0,502.0,0.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senators Roman 0 1,191.0,281.0,73.0,224.0,186.0,224.0,0.0,0.0,0.0,52.0,89.0,0.0,52.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,21.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0
Valeria,1.0,13.0,432.0,13.0,1.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0
