,Antipholusofephesus,Adriana,Egeon,Duke,Abbess,Dromioofephesus,Antipholusofsyracuse,Dromioofsyracuse,Angelo,Luciana,Messenger,Merchant2,Courtesan,Pinch,Balthasar,Officers X,Luce,Merchant1,Officers Jailer,Officers,Servants Pinch,Others,Attendants,Headsman
Antipholusofephesus,0.0,959.0,672.0,672.0,68.0,1603.0,78.0,213.0,1701.0,947.0,672.0,1177.0,947.0,275.0,524.0,945.0,48.0,0.0,0.0,672.0,44.0,672.0,0.0,672.0
Adriana,410.0,0.0,390.0,390.0,299.0,495.0,723.0,863.0,742.0,2518.0,141.0,716.0,1062.0,265.0,26.0,346.0,26.0,0.0,0.0,390.0,117.0,716.0,0.0,390.0
Egeon,300.0,300.0,0.0,1278.0,30.0,300.0,30.0,30.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,978.0,300.0,0.0,300.0,978.0,300.0
Duke,306.0,437.0,854.0,0.0,121.0,306.0,121.0,121.0,437.0,437.0,320.0,437.0,437.0,0.0,0.0,0.0,0.0,0.0,417.0,437.0,0.0,437.0,417.0,437.0
Abbess,263.0,644.0,263.0,263.0,0.0,263.0,263.0,263.0,644.0,644.0,263.0,644.0,644.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,0.0,644.0,0.0,263.0
Dromioofephesus,938.0,650.0,136.0,136.0,24.0,0.0,367.0,93.0,535.0,650.0,136.0,149.0,313.0,177.0,386.0,416.0,49.0,0.0,0.0,136.0,28.0,136.0,0.0,136.0
Antipholusofsyracuse,175.0,374.0,141.0,141.0,141.0,376.0,568.0,1291.0,236.0,748.0,141.0,186.0,209.0,0.0,0.0,0.0,0.0,141.0,0.0,141.0,0.0,141.0,0.0,141.0
Dromioofsyracuse,347.0,535.0,24.0,24.0,24.0,282.0,1834.0,48.0,350.0,384.0,24.0,168.0,249.0,0.0,182.0,118.0,32.0,19.0,0.0,24.0,0.0,50.0,0.0,24.0
Angelo,391.0,115.0,90.0,90.0,35.0,116.0,252.0,152.0,0.0,115.0,90.0,647.0,115.0,0.0,26.0,341.0,0.0,0.0,0.0,90.0,0.0,115.0,0.0,90.0
Luciana,63.0,582.0,19.0,19.0,27.0,77.0,453.0,110.0,64.0,0.0,19.0,64.0,118.0,44.0,0.0,54.0,0.0,0.0,0.0,19.0,24.0,64.0,0.0,19.0
Messenger,0.0,162.0,162.0,162.0,0.0,0.0,0.0,0.0,162.0,162.0,0.0,162.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,162.0,0.0,162.0
Merchant2,107.0,140.0,56.0,56.0,11.0,56.0,55.0,55.0,319.0,140.0,56.0,0.0,140.0,0.0,0.0,102.0,0.0,0.0,0.0,56.0,0.0,140.0,0.0,56.0
Courtesan,53.0,89.0,34.0,34.0,10.0,53.0,123.0,123.0,34.0,89.0,34.0,34.0,146.0,19.0,0.0,55.0,0.0,0.0,0.0,34.0,0.0,34.0,0.0,34.0
Pinch,124.0,124.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,124.0,0.0,0.0,124.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
Balthasar,239.0,0.0,0.0,0.0,0.0,239.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Officers X,89.0,70.0,0.0,0.0,0.0,63.0,6.0,6.0,37.0,70.0,0.0,37.0,70.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0
Luce,79.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merchant1,0.0,0.0,0.0,0.0,0.0,0.0,131.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Officers Jailer,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Officers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Servants Pinch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attendants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Headsman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
