,Henryv,Bishopofcanterbury,Fluellen,Exeter,Burgundy,Kingoffrance,Dauphin,Constable,Pistol 2H4,Montjoy,Soldiers English Williams,Queenoffrance,Chorus,Ambassadors 0 1,Mistressquickly 1H4,Boy,Orleans,Bishopofely,Westmoreland 1H4,Nym,Grandpre,Cambridge,Katherine,Scroop,Macmorris,Gower,Grey,Bardolph 1H4,Soldiers English Bates,Salisbury,Bedford,Jamy,Bourbon,Governor,Brittany,Rambures,Alice,Soldiers French Lefer,Gloucester 2H4,Erpingham,York,Messengers X 2,Messengers X 1,Heralds 1,Messengers X 3,Warwick 2H4,Soldiers English Court,Attendants English,Soldiers English,Clarence 2H4,Soldiers French,Attendants French,Berri,Heralds,Attendants English Huntington,Beaumont,Attendants English 0,Ambassadors
Henryv,183.0,1061.0,1419.0,5883.0,589.0,589.0,0.0,0.0,73.0,864.0,1967.0,589.0,0.0,0.0,0.0,0.0,0.0,1061.0,3896.0,0.0,0.0,1273.0,2316.0,1273.0,0.0,1257.0,1273.0,0.0,1353.0,460.0,4611.0,0.0,583.0,78.0,0.0,0.0,2316.0,0.0,4653.0,1076.0,27.0,0.0,0.0,427.0,0.0,2494.0,1353.0,2759.0,2130.0,1106.0,696.0,267.0,0.0,290.0,267.0,0.0,429.0,429.0
Bishopofcanterbury,1198.0,0.0,0.0,1198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1892.0,1198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.0,0.0,1198.0,0.0,1198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fluellen,975.0,0.0,0.0,632.0,0.0,0.0,0.0,0.0,611.0,201.0,515.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,278.0,2801.0,0.0,13.0,0.0,0.0,0.0,278.0,386.0,0.0,0.0,0.0,0.0,0.0,855.0,0.0,0.0,0.0,0.0,28.0,0.0,678.0,0.0,0.0,177.0,0.0,386.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0
Exeter,566.0,122.0,62.0,0.0,73.0,585.0,512.0,512.0,0.0,11.0,51.0,73.0,0.0,0.0,0.0,0.0,0.0,122.0,324.0,0.0,0.0,56.0,73.0,56.0,0.0,53.0,56.0,0.0,0.0,21.0,251.0,0.0,20.0,0.0,512.0,0.0,73.0,0.0,210.0,21.0,0.0,0.0,0.0,42.0,0.0,189.0,0.0,943.0,21.0,127.0,268.0,512.0,512.0,11.0,0.0,0.0,6.0,6.0
Burgundy,611.0,0.0,0.0,611.0,0.0,611.0,0.0,0.0,0.0,0.0,0.0,611.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0,0.0,0.0,0.0,611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,411.0,0.0,0.0,0.0,411.0,0.0,0.0,411.0,0.0,0.0,0.0
Kingoffrance,205.0,0.0,0.0,278.0,205.0,0.0,627.0,627.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,627.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,72.0,0.0,145.0,0.0,0.0,0.0,699.0,364.0,0.0,72.0,0.0,0.0,0.0
Dauphin,0.0,0.0,0.0,61.0,0.0,422.0,0.0,1051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,422.0,662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,61.0,0.0,0.0,0.0,943.0,335.0,0.0,0.0,84.0,0.0,0.0
Constable,0.0,0.0,0.0,0.0,0.0,300.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,300.0,780.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,772.0,91.0,0.0,0.0,276.0,0.0,0.0
Pistol 2H4,132.0,0.0,319.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,459.0,506.0,0.0,0.0,0.0,672.0,0.0,0.0,0.0,0.0,0.0,286.0,0.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montjoy,472.0,0.0,363.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,0.0,0.0,0.0,109.0,109.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,472.0,109.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,340.0,0.0,132.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0
Soldiers English Williams,692.0,0.0,317.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,404.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,404.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Queenoffrance,220.0,0.0,0.0,220.0,220.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,123.0,0.0,0.0,0.0,123.0,0.0,0.0,123.0,0.0,0.0,0.0
Chorus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ambassadors 0 1,154.0,154.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,154.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,154.0
Mistressquickly 1H4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,0.0,0.0,0.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,0.0,0.0,0.0,0.0,0.0,108.0,297.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orleans,0.0,0.0,0.0,0.0,0.0,0.0,134.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,361.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,23.0,0.0,0.0
Bishopofely,124.0,278.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,124.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Westmoreland 1H4,139.0,51.0,0.0,171.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,146.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,123.0,62.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,61.0,62.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nym,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,277.0,0.0,0.0,0.0,0.0,0.0,181.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grandpre,0.0,0.0,0.0,0.0,0.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0
