,Brutus,Cassius,Antony,Caesar,Casca,Octavius,Decius,Soldiers Brutus Messala,Servants Antony 1,Metellus,Soldiers Brutus Lucilius,Marullus,Portia,Soldiers Brutus Titinius,Cinna,Flavius,Commoners Cobbler,Artemidorus,Plebeians 0 1,Plebeians 0 2,Plebeians 0 4,Plebeians 0 3,Trebonius,Soothsayer,Lucius,Soldiers Brutus Clitus,Soldiers Brutus Strato,Pindarus,Poet,Plebeians,Calphurnia,Soldiers Brutus Cato,Cinnapoet,Popilius,Soldiers Antony 0 1,Servants Octavius 1,Soldiers Brutus Varro,Ligarius,Publius,Messenger,Soldiers Brutus Volumnius,Soldiers Brutus Dardanus,Lepidus,Cicero,Servants Caesar 1,Soldiers Brutus Claudius,Soldiers Antony 0 2,Commoners Carpenter,Soldiers Brutus 0 2,Soldiers Brutus 0 1,Soldiers Brutus 0 3,Commoners,Soldiers Brutus,Soldiers Cassius,Soldiers Brutus Flavius,Petitioners,Plebeians 0,Soldiers Brutus Labeo,Senators,Soldiers Antony
Brutus,453.0,4053.0,665.0,938.0,1613.0,92.0,1533.0,1024.0,50.0,1451.0,864.0,82.0,237.0,1307.0,1451.0,82.0,0.0,144.0,0.0,0.0,0.0,0.0,1347.0,154.0,1230.0,368.0,576.0,310.0,36.0,556.0,108.0,192.0,0.0,0.0,0.0,0.0,519.0,135.0,170.0,92.0,548.0,368.0,144.0,82.0,6.0,519.0,0.0,0.0,0.0,0.0,0.0,10.0,622.0,141.0,192.0,144.0,3173.0,180.0,144.0,92.0
Cassius,3294.0,0.0,338.0,437.0,1709.0,78.0,755.0,563.0,0.0,701.0,500.0,54.0,54.0,761.0,870.0,54.0,0.0,153.0,0.0,0.0,0.0,0.0,640.0,169.0,128.0,0.0,0.0,322.0,35.0,0.0,54.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,153.0,78.0,0.0,0.0,153.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,452.0,44.0,0.0,153.0,1573.0,0.0,153.0,78.0
Antony,806.0,731.0,0.0,2309.0,622.0,610.0,622.0,184.0,0.0,581.0,252.0,41.0,41.0,115.0,581.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0,19.0,0.0,0.0,69.0,0.0,0.0,1336.0,47.0,68.0,0.0,0.0,0.0,198.0,0.0,6.0,6.0,140.0,0.0,0.0,55.0,41.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,115.0,0.0,0.0,0.0,2090.0,0.0,0.0,328.0
Caesar,865.0,683.0,450.0,30.0,844.0,0.0,1112.0,0.0,0.0,500.0,0.0,344.0,344.0,0.0,500.0,344.0,0.0,339.0,0.0,0.0,0.0,0.0,184.0,473.0,21.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,23.0,0.0,0.0,21.0,161.0,500.0,0.0,0.0,0.0,339.0,344.0,527.0,21.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,339.0,21.0,0.0,339.0,0.0
Casca,771.0,987.0,18.0,51.0,0.0,0.0,135.0,0.0,0.0,117.0,0.0,18.0,18.0,0.0,128.0,18.0,0.0,14.0,0.0,0.0,0.0,0.0,103.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0
Octavius,236.0,151.0,407.0,0.0,0.0,0.0,0.0,236.0,0.0,0.0,236.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,407.0,0.0,0.0,313.0
Decius,161.0,161.0,17.0,274.0,161.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,138.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,40.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0
Soldiers Brutus Messala,159.0,267.0,37.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,46.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,304.0,9.0,0.0,37.0
Servants Antony 1,150.0,150.0,0.0,150.0,150.0,0.0,150.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metellus,137.0,137.0,0.0,58.0,137.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,79.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,58.0,0.0
Soldiers Brutus Lucilius,108.0,10.0,76.0,0.0,0.0,21.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,21.0,77.0,7.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,249.0,0.0,0.0,162.0
Marullus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,0.0,0.0,0.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portia,572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soldiers Brutus Titinius,3.0,306.0,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,0.0,0.0,0.0
Cinna,78.0,163.0,0.0,41.0,163.0,0.0,78.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,37.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,41.0,0.0
Flavius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commoners Cobbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artemidorus,39.0,39.0,39.0,39.0,39.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0
Plebeians 0 1,30.0,6.0,129.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0
Plebeians 0 2,31.0,16.0,109.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0
Plebeians 0 4,9.0,0.0,103.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0
Plebeians 0 3,13.0,0.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0
Trebonius,75.0,51.0,24.0,48.0,75.0,0.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soothsayer,22.0,22.0,22.0,22.0,22.0,0.0,22.0,0.0,0.0,8.0,0.0,14.0,152.0,0.0,8.0,14.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0
Lucius,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0
Soldiers Brutus Clitus,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0
