,Bastard,Kingjohn,Kingphilip,Constance,Citizens 0 1,Dauphin,Pandulph,Salisbury,Blanche,Queeneleanor,Austria,Pembroke,Hubert,Chatillion,Arthur,Melun,Robertfaulconbridge,Princehenry,Messengers English 1,Bigot,Heralds English,Ladyfaulconbridge,Messengers French 1,Essex,Heralds French,Executioners 0 1,Peter,Gurney,Attendants English,Citizens,Soldiers 1,Sheriff,Executioners,Attendants,Soldiers English,Soldiers French,Attendants French
Bastard,382.0,2923.0,860.0,860.0,0.0,1343.0,548.0,2888.0,860.0,1946.0,860.0,1775.0,865.0,199.0,1482.0,483.0,1030.0,350.0,197.0,998.0,578.0,406.0,0.0,1030.0,578.0,0.0,129.0,136.0,56.0,668.0,0.0,0.0,0.0,83.0,1260.0,1260.0,777.0
Kingjohn,2006.0,52.0,1235.0,1235.0,0.0,1235.0,409.0,2168.0,1235.0,2333.0,1235.0,1485.0,1595.0,608.0,1864.0,0.0,329.0,260.0,413.0,260.0,438.0,0.0,0.0,494.0,438.0,0.0,110.0,0.0,887.0,788.0,0.0,30.0,0.0,315.0,920.0,920.0,920.0
Kingphilip,1401.0,1431.0,0.0,1627.0,0.0,1773.0,582.0,1431.0,1431.0,1431.0,1536.0,988.0,0.0,720.0,1536.0,0.0,0.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,668.0,0.0,0.0,0.0,443.0,988.0,1093.0,1330.0
Constance,1064.0,1064.0,1873.0,0.0,0.0,1873.0,1009.0,1740.0,1064.0,1064.0,1146.0,359.0,0.0,359.0,1822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.0,359.0,441.0,1168.0
Citizens 0 1,527.0,527.0,527.0,527.0,0.0,527.0,0.0,527.0,527.0,527.0,527.0,527.0,0.0,89.0,527.0,0.0,0.0,0.0,0.0,0.0,523.0,0.0,0.0,0.0,523.0,0.0,0.0,0.0,0.0,612.0,0.0,0.0,0.0,0.0,527.0,527.0,527.0
Dauphin,287.0,215.0,367.0,321.0,0.0,0.0,671.0,958.0,215.0,215.0,321.0,893.0,0.0,51.0,321.0,743.0,0.0,0.0,0.0,743.0,99.0,0.0,83.0,0.0,99.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,65.0,893.0,999.0,460.0
Pandulph,645.0,711.0,644.0,634.0,0.0,1376.0,0.0,741.0,616.0,616.0,616.0,125.0,0.0,0.0,616.0,125.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,616.0,125.0,125.0,28.0
Salisbury,573.0,400.0,0.0,54.0,0.0,279.0,0.0,0.0,0.0,0.0,0.0,1376.0,187.0,0.0,549.0,426.0,0.0,185.0,0.0,1105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,147.0,0.0,0.0,0.0,279.0,279.0,0.0
Blanche,409.0,409.0,409.0,409.0,0.0,409.0,263.0,409.0,0.0,409.0,409.0,146.0,0.0,18.0,409.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,263.0,146.0,146.0,146.0
Queeneleanor,372.0,501.0,215.0,215.0,0.0,215.0,21.0,479.0,215.0,0.0,215.0,201.0,22.0,94.0,237.0,0.0,152.0,0.0,0.0,0.0,107.0,0.0,0.0,264.0,107.0,0.0,0.0,0.0,22.0,107.0,0.0,0.0,0.0,21.0,194.0,194.0,194.0
