,Lear,Edgar,Kent,Gloucester,Regan,Edmund,Fool,Albany,Goneril,Cordelia,Cornwall,France,Oswald,Attendants Cordelia 1,Doctor,Burgundy,Attendants X 4,Servants 0 1,Messengers X 1,Herald,Attendants Lear 0 3,Attendants X 3,Attendants Albany,Oldman,Curan,Servants 0 3,Attendants X 2,Servants 0 2,Messengers X 3,Soldiers Captains 1,Messengers X 2,Soldiers Captains 2,Attendants X 1,Attendants Lear,Soldiers Cordelia,Attendants,Soldiers,Servants 0,Soldiers Goneril,Soldiers Regan,Attendants 0,Servants,Attendants Cordelia,Servants Cordelia,Attendants Regan
Lear,0.0,1982.0,5101.0,2749.0,2545.0,1313.0,3676.0,1947.0,2692.0,1987.0,2187.0,279.0,753.0,806.0,316.0,279.0,0.0,0.0,0.0,358.0,5786.0,0.0,0.0,0.0,0.0,0.0,1495.0,0.0,82.0,200.0,0.0,358.0,90.0,953.0,0.0,1113.0,558.0,0.0,0.0,0.0,6259.0,1074.0,0.0,448.0,0.0
Edgar,1076.0,0.0,1248.0,1607.0,123.0,736.0,946.0,830.0,311.0,81.0,0.0,0.0,389.0,125.0,0.0,0.0,0.0,0.0,0.0,729.0,3556.0,0.0,15.0,71.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,729.0,0.0,0.0,0.0,0.0,729.0,0.0,16.0,16.0,3618.0,0.0,0.0,0.0,16.0
Kent,1362.0,379.0,0.0,728.0,967.0,872.0,672.0,501.0,484.0,553.0,796.0,0.0,803.0,273.0,74.0,0.0,234.0,0.0,0.0,188.0,2585.0,382.0,0.0,0.0,0.0,0.0,229.0,0.0,74.0,0.0,0.0,188.0,15.0,238.0,0.0,313.0,188.0,0.0,0.0,0.0,2824.0,483.0,0.0,12.0,0.0
Gloucester,500.0,1279.0,792.0,0.0,541.0,1361.0,401.0,15.0,58.0,15.0,541.0,9.0,199.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2338.0,0.0,0.0,257.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,318.0,0.0,0.0,2899.0,484.0,0.0,0.0,78.0
Regan,534.0,0.0,593.0,939.0,0.0,595.0,466.0,236.0,635.0,74.0,1041.0,6.0,705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1537.0,0.0,0.0,0.0,0.0,0.0,466.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,68.0,146.0,155.0,22.0,109.0,1595.0,764.0,0.0,0.0,318.0
Edmund,25.0,797.0,142.0,750.0,435.0,0.0,0.0,588.0,440.0,25.0,164.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,1728.0,0.0,15.0,0.0,23.0,0.0,0.0,0.0,0.0,143.0,0.0,535.0,0.0,0.0,0.0,0.0,560.0,0.0,15.0,86.0,2898.0,54.0,0.0,0.0,115.0
Fool,1693.0,201.0,1520.0,0.0,0.0,0.0,0.0,48.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2083.0,0.0,0.0,0.0,0.0,0.0,374.0,0.0,0.0,0.0,0.0,0.0,189.0,862.0,0.0,0.0,0.0,0.0,0.0,0.0,2083.0,0.0,0.0,0.0,0.0
Albany,181.0,450.0,285.0,0.0,573.0,687.0,45.0,0.0,1022.0,152.0,2.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,92.0,435.0,1280.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,728.0,0.0,23.0,0.0,2.0,728.0,0.0,101.0,101.0,1280.0,0.0,0.0,0.0,101.0
Goneril,480.0,59.0,480.0,98.0,521.0,434.0,433.0,685.0,0.0,110.0,218.0,32.0,630.0,0.0,0.0,0.0,0.0,0.0,44.0,59.0,1268.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,118.0,0.0,315.0,0.0,78.0,118.0,0.0,47.0,47.0,1707.0,140.0,0.0,0.0,47.0
Cordelia,578.0,0.0,526.0,124.0,400.0,342.0,0.0,299.0,400.0,0.0,299.0,225.0,0.0,351.0,563.0,124.0,0.0,0.0,0.0,0.0,606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,65.0,0.0,0.0,0.0,99.0,299.0,43.0,0.0,0.0,0.0,831.0,0.0,212.0,236.0,0.0
Cornwall,38.0,0.0,306.0,601.0,873.0,698.0,36.0,2.0,286.0,2.0,0.0,0.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,129.0,0.0,0.0,965.0,743.0,0.0,0.0,128.0
France,277.0,0.0,0.0,277.0,289.0,277.0,0.0,277.0,289.0,289.0,277.0,0.0,0.0,0.0,0.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0
Oswald,30.0,142.0,247.0,253.0,244.0,248.0,0.0,4.0,165.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,635.0,163.0,0.0,0.0,0.0
Attendants Cordelia 1,65.0,136.0,79.0,127.0,9.0,0.0,0.0,9.0,9.0,26.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,9.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,206.0,0.0,0.0,56.0,0.0
Doctor,100.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,38.0,100.0,0.0
Burgundy,82.0,0.0,0.0,82.0,82.0,82.0,0.0,82.0,82.0,82.0,82.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0
Attendants X 4,0.0,0.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,0.0,0.0,0.0,0.0
Servants 0 1,0.0,0.0,0.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,92.0,92.0,0.0,0.0,0.0
Messengers X 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0
Herald,0.0,18.0,0.0,0.0,0.0,72.0,0.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0
Attendants Lear 0 3,127.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0
Attendants X 3,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0
Attendants Albany,0.0,47.0,0.0,0.0,0.0,47.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0
Oldman,0.0,74.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0
Curan,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0
