,Portia,Bassanio,Shylock,Gratiano,Antonio,Lorenzo,Duke,Morocco,Nerissa,Lanceletgobbo,Arragon,Jessica,Salerio,Salarino,Solanio,Oldgobbo,Musicians,Messenger,Attendants Portia Stephano,Tubal,Servants 1,Servants 2,Attendants Bassanio Leonardo,Attendants Portia Balthazar,Attendants Arragon,Attendants Bassanio,Attendants Portia,Attendants Bassanio 1,Attendants Duke,Attendants Duke 0,Jailer,Attendants Morocco,Attendants Bassanio 2
Portia,0.0,3092.0,1002.0,3169.0,1987.0,1669.0,1028.0,214.0,5465.0,0.0,89.0,1669.0,1504.0,0.0,0.0,0.0,1016.0,57.0,1016.0,0.0,82.0,0.0,0.0,388.0,89.0,1853.0,1521.0,0.0,1028.0,2376.0,0.0,214.0,0.0
Bassanio,2016.0,0.0,365.0,2339.0,1398.0,845.0,266.0,0.0,2025.0,154.0,0.0,816.0,925.0,23.0,23.0,154.0,394.0,0.0,394.0,0.0,0.0,0.0,201.0,0.0,0.0,1662.0,1268.0,45.0,266.0,806.0,0.0,0.0,154.0
Shylock,435.0,2214.0,0.0,973.0,2107.0,0.0,973.0,0.0,497.0,276.0,0.0,305.0,973.0,360.0,529.0,0.0,0.0,0.0,0.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.0,435.0,169.0,0.0,0.0
Gratiano,880.0,1446.0,338.0,0.0,1021.0,749.0,338.0,0.0,1023.0,6.0,0.0,403.0,394.0,157.0,13.0,0.0,347.0,0.0,347.0,0.0,0.0,0.0,4.0,0.0,0.0,649.0,302.0,0.0,338.0,578.0,0.0,0.0,0.0
Antonio,405.0,1356.0,827.0,803.0,0.0,170.0,537.0,0.0,405.0,0.0,0.0,104.0,581.0,146.0,309.0,0.0,104.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,537.0,433.0,163.0,0.0,0.0
Lorenzo,223.0,117.0,0.0,565.0,73.0,0.0,0.0,0.0,223.0,259.0,0.0,1161.0,44.0,344.0,136.0,0.0,258.0,0.0,526.0,0.0,0.0,0.0,0.0,105.0,0.0,57.0,44.0,0.0,0.0,656.0,0.0,0.0,0.0
Duke,143.0,678.0,589.0,678.0,678.0,0.0,0.0,0.0,411.0,0.0,0.0,0.0,678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.0,143.0,0.0,0.0,0.0
Morocco,945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945.0,0.0,0.0,0.0,0.0,945.0,0.0
Nerissa,763.0,320.0,43.0,365.0,269.0,257.0,43.0,0.0,0.0,0.0,0.0,257.0,43.0,0.0,0.0,0.0,257.0,11.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,104.0,0.0,43.0,320.0,0.0,0.0,0.0
Lanceletgobbo,0.0,314.0,126.0,43.0,0.0,221.0,0.0,0.0,0.0,343.0,0.0,535.0,0.0,43.0,43.0,863.0,0.0,0.0,62.0,0.0,0.0,0.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,169.0
Arragon,598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,0.0
Jessica,74.0,66.0,18.0,242.0,0.0,550.0,0.0,0.0,74.0,284.0,0.0,21.0,66.0,176.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,8.0,0.0,66.0,66.0,0.0,0.0,98.0,0.0,0.0,0.0
Salerio,178.0,210.0,19.0,210.0,32.0,178.0,32.0,0.0,178.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,178.0,0.0,32.0,0.0,0.0,0.0,0.0
Salarino,0.0,35.0,106.0,99.0,266.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solanio,0.0,0.0,58.0,23.0,238.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
Oldgobbo,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0
Musicians,72.0,72.0,0.0,72.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
Messenger,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
Attendants Portia Stephano,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0
Tubal,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Servants 1,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Servants 2,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attendants Bassanio Leonardo,0.0,15.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attendants Portia Balthazar,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attendants Arragon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attendants Bassanio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attendants Portia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attendants Bassanio 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attendants Duke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attendants Duke 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jailer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attendants Morocco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Attendants Bassanio 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
