,Othello,Iago,Desdemona,Cassio,Emilia,Brabantio,Lodovico,Duke,Roderigo,Montano,Bianca,Gratiano,Senators 0 1,Clown,Gentlemen 3,Gentlemen 2,Messengers X 1,Musicians 0 1,Senators 0 2,Officers,Messengers X 2,Sailor,Herald,Gentlemen 1,Officers 0 1,Gentlemen 0 1,Senators,Gentlemen,Musicians,Servants Brabantio,Attendants 0,Servants,Officers 0,Attendants
Othello,0.0,4643.0,3937.0,2581.0,2134.0,1068.0,645.0,1035.0,1507.0,1226.0,9.0,741.0,0.0,0.0,274.0,0.0,0.0,0.0,0.0,1565.0,274.0,0.0,0.0,274.0,0.0,0.0,1035.0,51.0,0.0,0.0,5781.0,452.0,7244.0,1392.0
Iago,3511.0,0.0,981.0,2748.0,1281.0,198.0,752.0,0.0,4297.0,1480.0,454.0,701.0,0.0,0.0,562.0,0.0,0.0,0.0,0.0,96.0,562.0,0.0,0.0,562.0,0.0,0.0,0.0,231.0,0.0,0.0,5558.0,817.0,9120.0,748.0
Desdemona,1657.0,1521.0,0.0,982.0,2503.0,243.0,117.0,243.0,489.0,253.0,0.0,0.0,0.0,66.0,246.0,27.0,0.0,0.0,0.0,243.0,246.0,0.0,0.0,246.0,0.0,0.0,243.0,0.0,0.0,0.0,2898.0,7.0,3387.0,146.0
Cassio,534.0,1619.0,470.0,0.0,485.0,0.0,201.0,0.0,305.0,868.0,268.0,202.0,0.0,74.0,475.0,398.0,0.0,0.0,0.0,241.0,403.0,0.0,0.0,475.0,0.0,0.0,0.0,219.0,22.0,0.0,1434.0,275.0,2326.0,154.0
Emilia,952.0,835.0,1762.0,237.0,0.0,0.0,40.0,0.0,21.0,418.0,40.0,437.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2245.0,0.0,2266.0,0.0
Brabantio,846.0,1043.0,297.0,846.0,0.0,0.0,0.0,565.0,1282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,0.0,0.0,239.0,0.0,0.0,846.0,281.0
Lodovico,505.0,600.0,505.0,419.0,383.0,0.0,0.0,0.0,59.0,360.0,0.0,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0,0.0,653.0,234.0
Duke,462.0,457.0,316.0,462.0,0.0,462.0,0.0,0.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0,0.0,6.0,0.0,0.0,0.0,0.0,561.0,0.0,0.0,0.0,0.0,0.0,556.0,0.0
Roderigo,14.0,983.0,0.0,65.0,0.0,293.0,28.0,0.0,0.0,3.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,477.0,3.0,655.0,7.0
Montano,169.0,277.0,62.0,185.0,62.0,0.0,0.0,0.0,28.0,0.0,0.0,62.0,0.0,0.0,96.0,168.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,178.0,0.0,0.0,0.0,44.0,0.0,0.0,62.0,262.0,502.0,107.0
