,Richardiii,Buckingham,Queenelizabeth 3H6,Queenmargaret 1H6,Henryvii,Ladyanne,Duchessofyork,Edwardiv 3H6,Stanley,Hastings 3H6,Edwardv,Rivers 3H6,Clarence 3H6,York,Catesby,Ratcliffe,Murderers 1,Brakenbury,Tyrrel,Dorset,Murderers 2,Messengers 4,Cardinal,Mayoroflondon,Grey,Norfolk,Blunt,Citizens 3,Clarencesboy,Bishopofely,Messengers 3,Archbishop,Henryvi 1H6,Messengers X 1,Attendants 0 1,Princeedward 3H6,Messengers X 2,Citizens 2,Sirchristopher,Vaughan,Messengers 1,Clarencesdaughter,Messengers 2,Citizens 1,Scrivener,Lovell,Oxford 3H6,Jailer,Gentlemen 0 1,Herbert,Surrey,Attendants Richmond 0 1,Messengers X 3,Sheriff,Pursuivant,Sirjohn,Attendants Richmond,Gentlemen,Woodeville,Soldiers Richard,Brandon,Attendants,Guards,Scales,Bishops,Soldiers Richmond,Citizens 0,Citizens,Attendants 0
Richardiii,607.0,3820.0,2758.0,477.0,619.0,1082.0,330.0,338.0,2166.0,2216.0,361.0,1468.0,418.0,155.0,3188.0,3908.0,88.0,418.0,193.0,1685.0,88.0,69.0,267.0,1051.0,1313.0,1114.0,0.0,0.0,155.0,252.0,130.0,0.0,1445.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,130.0,155.0,130.0,0.0,0.0,1575.0,217.0,0.0,0.0,217.0,160.0,0.0,53.0,0.0,0.0,0.0,0.0,1445.0,338.0,1512.0,217.0,3244.0,1863.0,338.0,618.0,0.0,4426.0,618.0,6345.0
Buckingham,2698.0,0.0,407.0,57.0,109.0,0.0,173.0,111.0,533.0,750.0,265.0,407.0,0.0,43.0,1390.0,745.0,0.0,0.0,0.0,407.0,0.0,0.0,232.0,1411.0,234.0,110.0,0.0,0.0,173.0,101.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,0.0,0.0,0.0,0.0,111.0,109.0,0.0,570.0,261.0,111.0,705.0,0.0,651.0,932.0,3048.0
Queenelizabeth 3H6,1538.0,473.0,0.0,235.0,0.0,306.0,895.0,65.0,619.0,373.0,0.0,732.0,0.0,116.0,1198.0,46.0,0.0,37.0,0.0,1038.0,0.0,0.0,0.0,0.0,541.0,0.0,0.0,0.0,191.0,0.0,0.0,116.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,1184.0,0.0,65.0,0.0,0.0,1712.0,0.0,1712.0
Queenmargaret 1H6,1222.0,1222.0,2041.0,0.0,0.0,0.0,819.0,0.0,1222.0,1222.0,0.0,1222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222.0,0.0,0.0,0.0,0.0,1222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.0,0.0,886.0
Henryvii,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,0.0,0.0,572.0,0.0,0.0,0.0,0.0,0.0,0.0,726.0,0.0,0.0,176.0,394.0,0.0,0.0,0.0,0.0,684.0,1298.0,0.0,1298.0
Ladyanne,843.0,0.0,375.0,0.0,77.0,0.0,375.0,0.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.0,0.0,77.0,0.0,0.0,1067.0,0.0,0.0,0.0,452.0,0.0,452.0
Duchessofyork,359.0,21.0,1231.0,115.0,0.0,166.0,0.0,0.0,128.0,21.0,0.0,297.0,0.0,263.0,338.0,21.0,0.0,11.0,0.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,263.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,0.0,0.0,0.0,0.0,671.0,0.0,671.0
Edwardiv 3H6,410.0,644.0,644.0,0.0,0.0,0.0,0.0,0.0,353.0,644.0,0.0,644.0,0.0,0.0,0.0,410.0,0.0,0.0,0.0,644.0,0.0,0.0,0.0,0.0,644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.0,0.0,0.0,0.0,0.0,644.0,0.0,0.0,0.0,0.0,0.0
Stanley,423.0,120.0,224.0,0.0,278.0,112.0,112.0,45.0,0.0,246.0,0.0,112.0,0.0,0.0,163.0,300.0,0.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,112.0,64.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,112.0,0.0,0.0,0.0,90.0,187.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,45.0,187.0,187.0,255.0,0.0,45.0,0.0,91.0,698.0,0.0,899.0
Hastings 3H6,283.0,310.0,67.0,38.0,50.0,0.0,5.0,24.0,375.0,0.0,50.0,67.0,0.0,0.0,403.0,463.0,0.0,0.0,0.0,67.0,0.0,0.0,50.0,50.0,62.0,226.0,0.0,0.0,5.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,38.0,0.0,0.0,24.0,50.0,0.0,276.0,0.0,24.0,0.0,0.0,50.0,0.0,1232.0
