,Theseus,Palamon,Arcite,Emilia,Daughter,Pirithous,Queens 1,Schoolmaster,Hippolyta,Wooer,Queens 2,Jailer,Queens 3,Messengers X 1,Doctor,Boy,Countrymen 0 2,Countrymen 0 3,Epilogue,Friends 2,Countrymen 0 4,Friends 1,Countrymen 0 1,Herald,Brother,Woman,Prologue,Knights Palamon 0 1,Valerius,Servant,Knights Palamon 0 2,Messengers X 2,Messengers X 3,Attendants 1,Knights Palamon 0 3,Others,Countrywomen 0 1,Taborer,Knights Palamon,Countrymen 0 5,Executioner,Artesius,Soldiers 0,Attendants,Knights Arcite,Guards,Soldiers,Nymphs,Maids,Countrywomen,Maid,Countrymen,Hymen
Theseus,0.0,1280.0,1821.0,2397.0,30.0,2552.0,704.0,84.0,2552.0,0.0,704.0,346.0,704.0,123.0,0.0,556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,346.0,172.0,0.0,0.0,0.0,0.0,442.0,0.0,346.0,518.0,2278.0,2950.0,96.0,346.0,398.0,556.0,0.0,30.0,0.0,30.0,556.0
Palamon,509.0,0.0,3531.0,551.0,0.0,536.0,0.0,0.0,509.0,0.0,0.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,120.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,1204.0,0.0,400.0,0.0,4592.0,509.0,108.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arcite,521.0,3638.0,0.0,561.0,0.0,521.0,0.0,0.0,521.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,108.0,30.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,505.0,0.0,55.0,0.0,4164.0,521.0,450.0,55.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0
Emilia,1066.0,710.0,878.0,0.0,17.0,1122.0,176.0,17.0,1545.0,0.0,176.0,32.0,176.0,6.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,356.0,0.0,0.0,32.0,86.0,0.0,0.0,0.0,0.0,32.0,0.0,32.0,176.0,2712.0,1066.0,0.0,32.0,0.0,176.0,386.0,17.0,0.0,17.0,176.0
Daughter,0.0,45.0,45.0,0.0,0.0,0.0,0.0,221.0,0.0,1572.0,0.0,1541.0,0.0,0.0,921.0,0.0,0.0,0.0,0.0,395.0,0.0,395.0,0.0,0.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0,0.0,221.0,0.0,0.0,0.0,0.0,3257.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,489.0,221.0,0.0
Pirithous,600.0,523.0,234.0,653.0,9.0,0.0,17.0,21.0,663.0,0.0,17.0,426.0,17.0,302.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,305.0,0.0,0.0,0.0,0.0,431.0,0.0,426.0,0.0,1009.0,600.0,5.0,426.0,0.0,17.0,0.0,9.0,0.0,9.0,17.0
Queens 1,516.0,0.0,0.0,497.0,0.0,497.0,0.0,0.0,497.0,0.0,554.0,0.0,554.0,0.0,0.0,497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0,38.0,504.0,0.0,0.0,7.0,497.0,0.0,0.0,0.0,0.0,497.0
Schoolmaster,483.0,0.0,0.0,483.0,228.0,483.0,0.0,0.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,962.0,483.0,0.0,0.0,0.0,0.0,0.0,398.0,0.0,619.0,0.0
Hippolyta,460.0,114.0,176.0,849.0,6.0,590.0,179.0,6.0,0.0,0.0,179.0,0.0,179.0,55.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,281.0,460.0,0.0,0.0,0.0,179.0,0.0,6.0,0.0,6.0,179.0
Wooer,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,876.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0,621.0,0.0,621.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0
Queens 2,316.0,0.0,0.0,299.0,0.0,299.0,344.0,0.0,299.0,0.0,0.0,0.0,344.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,28.0,308.0,0.0,0.0,9.0,299.0,0.0,0.0,0.0,0.0,299.0
Jailer,0.0,176.0,57.0,0.0,300.0,0.0,0.0,0.0,0.0,718.0,0.0,0.0,0.0,0.0,259.0,0.0,0.0,0.0,0.0,183.0,0.0,210.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,37.0,0.0,0.0,22.0,0.0,22.0,0.0,922.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Queens 3,275.0,0.0,0.0,227.0,0.0,227.0,336.0,0.0,227.0,0.0,336.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,61.0,244.0,0.0,0.0,17.0,227.0,0.0,0.0,0.0,0.0,227.0
Messengers X 1,407.0,0.0,0.0,407.0,0.0,407.0,0.0,0.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doctor,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,804.0,0.0,679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0
Boy,149.0,0.0,0.0,149.0,0.0,149.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,149.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,149.0
Countrymen 0 2,0.0,0.0,204.0,0.0,8.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,294.0,0.0
Countrymen 0 3,0.0,0.0,138.0,0.0,45.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,200.0,0.0
Epilogue,0.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Friends 2,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,33.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Countrymen 0 4,0.0,0.0,87.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,140.0,0.0
Friends 1,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,40.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Countrymen 0 1,0.0,0.0,90.0,0.0,9.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,130.0,0.0
Herald,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
Brother,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,62.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman,0.0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prologue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knights Palamon 0 1,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,0.0,48.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
