,Leontes,Paulina,Autolycus,Hermione,Polixenes,Shepherdsson,Perdita,Florizell,Shepherd,Camillo,Servants Shepherd 1,Antigonus,Attendants 3,Mopsa,Officers 0 1,Attendants X,Attendants 0 1,Dorcas,Servants X 3,Dion,Attendants 1,Cleomenes,Attendants 2,Ladies Emilia,Mamillius,Servants X 1,Chorus,Sailor,Jailer,Archidamus,Ladies 0 1,Servants X 2,Attendants,Servants 0,Ladies 0 2,Shepherds,Servants,Attendants Paulina 0 1,Musicians,Servants Shepherd,Perdita Infant,Ladies,Attendants Paulina,Officers
Leontes,0.0,2363.0,0.0,2651.0,1714.0,0.0,1031.0,1031.0,0.0,2606.0,0.0,1582.0,0.0,0.0,0.0,174.0,0.0,0.0,84.0,1312.0,0.0,1111.0,0.0,0.0,1355.0,514.0,0.0,0.0,0.0,0.0,0.0,83.0,4002.0,0.0,0.0,0.0,1434.0,3151.0,0.0,0.0,629.0,1137.0,0.0,485.0
Paulina,2552.0,0.0,0.0,529.0,680.0,0.0,715.0,715.0,0.0,680.0,0.0,757.0,0.0,0.0,0.0,35.0,0.0,0.0,85.0,1115.0,0.0,1085.0,0.0,230.0,0.0,582.0,0.0,0.0,323.0,0.0,0.0,0.0,2019.0,0.0,0.0,0.0,1260.0,2875.0,0.0,0.0,757.0,582.0,120.0,17.0
Autolycus,0.0,0.0,0.0,0.0,441.0,1712.0,793.0,793.0,1267.0,793.0,0.0,0.0,0.0,376.0,0.0,0.0,0.0,376.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,0.0,2934.0,441.0,441.0,0.0,0.0,0.0,0.0
Hermione,1807.0,877.0,0.0,0.0,690.0,0.0,68.0,68.0,0.0,690.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1807.0,0.0,0.0,0.0,0.0,877.0,0.0,0.0,0.0,1220.0,0.0,768.0
Polixenes,547.0,70.0,0.0,547.0,0.0,187.0,877.0,877.0,807.0,2337.0,23.0,0.0,0.0,187.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.0,0.0,0.0,187.0,0.0,1269.0,204.0,204.0,0.0,0.0,0.0,0.0
Shepherdsson,0.0,0.0,1441.0,0.0,337.0,0.0,337.0,337.0,1491.0,337.0,66.0,0.0,0.0,337.0,0.0,0.0,0.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,0.0,1920.0,337.0,337.0,372.0,0.0,0.0,0.0
Perdita,75.0,75.0,24.0,56.0,663.0,576.0,0.0,1097.0,705.0,839.0,12.0,0.0,0.0,576.0,0.0,19.0,0.0,576.0,0.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,576.0,19.0,1097.0,576.0,576.0,0.0,0.0,0.0,0.0
Florizell,313.0,313.0,59.0,0.0,493.0,164.0,1695.0,0.0,493.0,1098.0,0.0,0.0,0.0,164.0,0.0,134.0,0.0,164.0,0.0,313.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,313.0,1695.0,164.0,164.0,0.0,0.0,0.0,0.0
Shepherd,0.0,0.0,338.0,0.0,405.0,873.0,528.0,528.0,0.0,528.0,46.0,0.0,0.0,282.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,0.0,1332.0,328.0,328.0,466.0,0.0,0.0,0.0
Camillo,547.0,57.0,322.0,57.0,645.0,40.0,1124.0,1124.0,58.0,132.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,206.0,0.0,0.0,57.0,0.0,0.0,40.0,0.0,1286.0,40.0,40.0,0.0,0.0,0.0,0.0
Servants Shepherd 1,0.0,0.0,0.0,0.0,377.0,253.0,377.0,377.0,377.0,377.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,0.0,377.0,377.0,377.0,0.0,0.0,0.0,0.0
Antigonus,501.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,501.0,0.0,0.0,0.0,232.0,730.0,0.0,0.0,730.0,0.0,0.0,0.0
Attendants 3,0.0,0.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0,0.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0
Mopsa,0.0,0.0,166.0,0.0,172.0,172.0,172.0,172.0,172.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,172.0,172.0,172.0,0.0,0.0,0.0,0.0
