,Westmoreland,ATTENDANTS,Bedford_H5,Northumberland_R2,Hotspur_R2,Worcester,Blunt,HenryV_H5,Falstaff,Vernon,Douglas,SOLDIERS.HENRY,HenryIV,Poins,Bardolph,Peto,Gadshill,TRAVELERS.GENTLEMEN,TRAVELERS.CARRIERS,DRAWERS.Francis,MistressQuickly,Vintner,TRAVELERS.CARRIERS.X,Sheriff,Glendower,Mortimer,MESSENGERS.X,SOLDIERS.HOTSPUR,LadyPercy,SERVANTS.HOTSPUR.1,LadyMortimer,MESSENGERS.1,MESSENGERS.2,TRAVELERS.CARRIERS.1,TRAVELERS.CARRIERS.2,Chamberlain,SirMichael,Archbishop
HenryIV,948.0,1248.0,1377.0,412.0,412.0,509.0,944.0,1937.0,429.0,345.0,58.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Westmoreland,0.0,272.0,285.0,0.0,0.0,0.0,0.0,76.0,78.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Falstaff,145.0,0.0,196.0,0.0,476.0,12.0,288.0,4689.0,904.0,12.0,0.0,0.0,12.0,2944.0,4229.0,3409.0,2777.0,85.0,85.0,2432.0,1986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HenryV_H5,280.0,0.0,585.0,0.0,506.0,173.0,312.0,211.0,3206.0,173.0,90.0,133.0,1024.0,2204.0,1728.0,2008.0,1252.0,0.0,0.0,1346.0,959.0,17.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,344.0,0.0,0.0,0.0,0.0,0.0,164.0,164.0,143.0,0.0,0.0,113.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Worcester,28.0,36.0,444.0,539.0,1010.0,0.0,452.0,444.0,416.0,807.0,268.0,28.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,149.0,200.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northumberland_R2,0.0,67.0,0.0,0.0,234.0,154.0,67.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hotspur_R2,0.0,526.0,0.0,1525.0,437.0,3676.0,1180.0,164.0,103.0,1244.0,1792.0,0.0,526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810.0,996.0,603.0,371.0,578.0,53.0,242.0,196.0,105.0,0.0,0.0,0.0,0.0,0.0
Blunt,0.0,62.0,0.0,62.0,235.0,173.0,0.0,60.0,0.0,173.0,236.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAVELERS.CARRIERS.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,164.0,0.0,0.0,0.0
