,ATTENDANTS.ENGLISH,Gloucester_2H4,Somerset,CardinalBeaufort,HERALDS.ENGLISH,Exeter_H5,Warwick_2H4,MESSENGERS.ENGLISH.1,MESSENGERS.ENGLISH.3,WATCHMEN.2,Talbot,WATCHMEN.1,Burgundy,SOLDIERS.ENGLISH,MESSENGERS.FRENCH.1,Charles,Bastard,Alanson,Pucelle,Reignier,Bedford_H5,SERVANTS.GLOUCESTER,SERVANTS.WINCHESTER,OFFICERS,Mayor,HenryVI,Suffolk,York,Basset,Vernon,Governor,Fastolf,AMBASSADORS.EMPEROR.1,Legate,AMBASSADORS.ARMAGNAC.1,SOLDIERS.ENGLISH.0,ATTENDANTS.FRENCH,SOLDIERS.FRENCH,JohnTalbot,SERVANTS.TALBOT.1,HERALDS.FRENCH.1,Lucy,SOLDIERS.FRENCH.Scout,QueenMargaret,SOLDIERS.FRENCH.PUCELLE,Shepherd,Boy,MasterGunner,Gargrave,Glansdale,Salisbury,MESSENGERS.ENGLISH.X.1,Countess,Porter,SOLDIERS.FRENCH.Sergeant,SOLDIERS.ENGLISH.1,Lawyer,JAILERS,Mortimer_1H4,SOLDIERS.ENGLISH.YORK,MESSENGERS.ENGLISH.X.2,SOLDIERS.ENGLISH.SOMERSET,SOLDIERS.ENGLISH.Captain
Bedford_H5,576.0,438.0,438.0,438.0,438.0,438.0,438.0,33.0,124.0,57.0,241.0,57.0,241.0,94.0,27.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gloucester_2H4,488.0,0.0,1026.0,1374.0,231.0,1298.0,1026.0,29.0,0.0,0.0,258.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,578.0,428.0,77.0,210.0,1052.0,900.0,795.0,94.0,94.0,328.0,29.0,53.0,53.0,53.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exeter_H5,264.0,250.0,208.0,258.0,195.0,245.0,208.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,82.0,32.0,13.0,13.0,13.0,13.0,0.0,50.0,50.0,50.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CardinalBeaufort,143.0,592.0,458.0,59.0,143.0,410.0,617.0,0.0,11.0,0.0,16.0,0.0,0.0,0.0,0.0,89.0,89.0,89.0,0.0,89.0,95.0,231.0,231.0,96.0,145.0,315.0,315.0,474.0,0.0,0.0,16.0,0.0,0.0,32.0,0.0,159.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.ENGLISH.1,167.0,167.0,167.0,167.0,167.0,167.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.ENGLISH.2,67.0,67.0,67.0,67.0,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.ENGLISH.3,410.0,410.0,410.0,410.0,410.0,410.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charles,93.0,0.0,0.0,129.0,0.0,0.0,129.0,0.0,0.0,0.0,137.0,0.0,258.0,0.0,0.0,0.0,666.0,1134.0,688.0,886.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,129.0,662.0,125.0,125.0,81.0,81.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alanson,5.0,0.0,0.0,91.0,0.0,0.0,91.0,0.0,0.0,0.0,5.0,0.0,42.0,0.0,0.0,399.0,255.0,0.0,178.0,379.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reignier,0.0,0.0,0.0,43.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,374.0,170.0,407.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,43.0,142.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bastard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,50.0,0.0,0.0,257.0,0.0,280.0,108.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pucelle,259.0,0.0,0.0,0.0,0.0,0.0,354.0,0.0,0.0,0.0,409.0,0.0,711.0,47.0,0.0,1553.0,1120.0,1262.0,281.0,573.0,175.0,0.0,0.0,354.0,0.0,0.0,0.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,0.0,871.0,149.0,149.0,84.0,84.0,31.0,0.0,121.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WARDERS.1,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
